ACC_NUM*QUAL,NAME,LOC AND GRID,CONDITION
1196-84*A,Acer rubrum,11-NE,good
15350*A,Acer rubrum,11-NW,good
525-2009*A,Acer rubrum,11-SW,good
524-2009*A,Acer rubrum,11-SW,good
12565*C,Acer saccharum,11-SE,good
187-2006*B,Acer saccharum,8-SE,fair
20645*A,Acer saccharum,11-NE,good
22834*B,Acer saccharum,11-NW,good
689-2010*A,Acer saccharum,62-NW,good
12651*C,Aesculus flava,11-NW,good
12651*D,Aesculus flava,11-SW,good
12651*H,Aesculus flava,11-NW,fair
12651*I,Aesculus flava,57-NE,good
925-79*B,Aesculus flava,10-NE,good
12843*A,Betula alleghaniensis,14-SW,alive
12843*D,Betula alleghaniensis,14-SW,alive
12843*E,Betula alleghaniensis,14-SW,alive
12843*H,Betula alleghaniensis,14-SW,alive
1199*D,Betula nigra,13-SE,alive
1199*J,Betula nigra,13-NE,fair
1251-79*A,Betula nigra,13-SE,alive
1251-79*B,Betula nigra,13-SE,good
1251-79*E,Betula nigra,13-SE,alive
20098*A,Carya glabra,25-SW,good
2019*R,Carya glabra,25-SW,good
2019*S,Carya glabra,25-SW,good
6990*A,Carya glabra,25-SW,good
12907*B,Carya ovata var. ovata,19-NW,good
12907*D,Carya ovata var. ovata,19-NW,good
12907*G,Carya ovata var. ovata,19-NW,good
12907*I,Carya ovata var. ovata,19-NW,good
12907*N,Carya ovata var. ovata,19-NW,good
16611*F,Populus deltoides ssp. deltoides,51-SE,good
16611*J,Populus deltoides ssp. deltoides,55-NE,good
16611*K,Populus deltoides ssp. deltoides,55-NE,fair
22099*A,Populus deltoides ssp. deltoides,55-NE,good
21815*E,Quercus alba,32-NW,alive
227-2011*A,Quercus alba,31-NE,alive
22886*D,Quercus alba,31-NE,alive
358-82*A,Quercus alba,32-NW,alive
611-2010*A,Quercus alba,57-NE,good
20517*A,Quercus coccinea,64-NE,removed
20517*B,Quercus coccinea,64-NE,fair
11253*A,Quercus rubra,25-SE,alive
5859*A,Quercus rubra,26-SW,fair
5859*B,Quercus rubra,26-SW,alive
8197*A,Quercus rubra,25-SE,alive
1323-82*A,Tilia americana,51-NW,good
17527*D,Tilia americana,7-NE,good
17538*A,Tilia americana,53-SE,good
19804*A,Tilia americana,7-SE,good
7141*A,Tilia americana,7-SE,good
52 record(s) processed,,,
