 ,Label,Area,Mean,Min,Max,Angle,Length
1,ACRU_524-2009_A_II.tif:03097-01070,9.208E-6,173.280,117.667,193.578,-85.446,0.079
2,ACRU_524-2009_A_II.tif:03707-01047,7.274E-6,172.135,150.262,200.884,-83.589,0.062
3,ACRU_524-2009_A_II.tif:04548-01083,1.529E-5,169.366,139.489,198.532,-83.906,0.131
4,ACRU_524-2009_A_II.tif:05567-01102,1.211E-5,171.405,151.227,203.527,-84.226,0.104
5,ACRU_524-2009_A_II.tif:06491-01129,1.306E-5,172.006,150.841,190.442,-83.096,0.112
6,ACRU_524-2009_A_II.tif:07530-01225,1.483E-5,166.863,139.809,194.408,-81.027,0.127
7,ACRU_524-2009_A_II.tif:08526-01240,1.175E-5,164.629,139.619,195.967,-80.245,0.101
8,ACRU_524-2009_A_II.tif:09258-01203,7.355E-6,158.591,138.301,188.326,-81.736,0.063
9,ACRU_524-2009_A_II.tif:09789-01241,7.153E-6,163.023,142.292,191.404,-79.200,0.061
10,ACRU_524-2009_A_II.tif:10234-01259,4.786E-6,159.850,136.468,188.702,-76.555,0.041
11,ACRU_524-2009_A_II.tif:10524-01226,2.907E-6,169.071,147.599,184.181,-80.318,0.025
12,ACRU_524-2009_A_II.tif:10952-01272,8.883E-6,164.297,132.107,187.880,-78.399,0.076
13,ACRU_524-2009_A_II.tif:11588-01316,8.261E-6,159.846,132.631,189.634,-77.512,0.071
14,ACRU_524-2009_A_II.tif:12317-01330,1.103E-5,160.568,133.518,191.153,-78.097,0.095
15,ACRU_524-2009_A_II.tif:13078-01344,9.154E-6,158.755,132.573,183.570,-81.402,0.079
16,ACRU_524-2009_A_II.tif:13708-01378,7.788E-6,161.148,132.289,184.227,-81.898,0.067
17,ACRU_524-2009_A_II.tif:14397-01390,1.060E-5,163.596,126.697,193.058,-78.963,0.091
18,ACRU_524-2009_A_II.tif:15144-01425,4.827E-6,155.506,131.243,184.767,-78.501,0.041
19,ACRU_524-2009_A_II.tif:15535-01444,5.760E-6,156.715,129.849,189.694,-77.632,0.049
20,ACRU_524-2009_A_II.tif:15959-01473,5.598E-6,152.719,135.145,184.109,-74.550,0.048
21,ACRU_524-2009_A_II.tif:16194-01507,8.653E-7,154.324,141.017,170.128,-71.565,0.007
22,ACRU_524-2009_A_II.tif:16478-01504,6.504E-6,153.797,122.423,189.948,-75.384,0.056
23,ACRU_524-2009_A_II.tif:17123-01524,1.040E-5,156.794,124.919,193.122,-75.059,0.089
24,ACRU_524-2009_A_II.tif:17846-01549,8.261E-6,153.305,126.900,184.178,-73.436,0.071
25,ACRU_524-2009_A_II.tif:18772-01572,1.532E-5,153.218,123.145,182.785,-75.632,0.132
26,ACRU_524-2009_A_II.tif:19779-01622,1.078E-5,151.598,116.878,183.928,-73.956,0.093
27,ACRU_524-2009_A_II.tif:21299-01387,2.760E-5,152.492,124.088,185.624,-78.404,0.237
28,ACRU_524-2009_A_II.tif:23121-01567,2.125E-5,153.700,121.821,186.172,-80.694,0.183
29,ACRU_524-2009_A_II.tif:24751-01487,2.135E-5,153.267,119.968,189.285,-84.398,0.183
30,ACRU_524-2009_A_II.tif:26185-01575,1.797E-5,148.289,120.260,189.951,-84.556,0.154
31,ACRU_524-2009_A_II.tif:27485-01604,1.752E-5,152.444,116.675,188.120,-88.406,0.151
32,ACRU_524-2009_A_II.tif:28882-01591,2.020E-5,150.305,123.799,188.770,-88.081,0.174
33,ACRU_524-2009_A_II.tif:30895-01669,3.436E-5,147.737,120.246,190.987,-83.172,0.295
34,ACRU_524-2009_A_II.tif:33014-01518,2.227E-5,146.984,117.583,189.100,-80.629,0.191
35,ACRU_524-2009_A_II.tif:34974-01578,3.039E-5,151.325,101.703,185.806,-77.745,0.261
36,ACRU_524-2009_A_II.tif:37305-01539,3.142E-5,147.419,120.452,186.043,-77.543,0.270
37,ACRU_524-2009_A_II.tif:39353-01507,2.190E-5,150.145,118.690,183.867,-71.867,0.188
38,ACRU_524-2009_A_II.tif:41180-01531,2.546E-5,147.149,120.256,186.605,-68.300,0.219
39,ACRU_524-2009_A_II.tif:42759-01717,1.533E-5,146.364,117.165,185.120,-69.550,0.132
40,ACRU_524-2009_A_II.tif:44082-01669,1.690E-5,147.546,117.407,184.364,-72.087,0.145
41,ACRU_524-2009_A_II.tif:45375-01696,1.639E-5,146.746,116.540,181.086,-70.308,0.141
42,ACRU_524-2009_A_II.tif:46840-01717,2.054E-5,146.757,104.813,183.548,-66.221,0.176
