 ,Label,Area,Mean,Min,Max,Angle,Length
1,ACSA_12565_C_I.tif:02558-00602,3.056E-6,167.141,131.333,189.348,-85.914,0.026
2,ACSA_12565_C_I.tif:02769-00597,2.691E-6,169.220,154.152,192.848,-87.109,0.023
3,ACSA_12565_C_I.tif:03252-00641,3.150E-6,164.835,140.917,189.438,-90.741,0.027
4,ACSA_12565_C_I.tif:03255-00641,4.110E-6,160.834,147.146,185.402,-89.055,0.035
5,ACSA_12565_C_I.tif:03600-00701,5.151E-6,166.601,156.803,174.336,-83.660,0.044
6,ACSA_12565_C_I.tif:03865-00693,2.001E-6,166.361,148.728,190.664,-86.885,0.017
7,ACSA_12565_C_I.tif:04067-00728,3.529E-6,159.544,139.207,193.721,-85.804,0.030
8,ACSA_12565_C_I.tif:04454-00675,7.004E-6,158.879,135.085,191.596,-84.223,0.060
9,ACSA_12565_C_I.tif:05121-00710,1.118E-5,162.438,143.998,189.395,-82.066,0.096
10,ACSA_12565_C_I.tif:05919-00709,1.037E-5,161.485,136.690,190.148,-82.494,0.089
11,ACSA_12565_C_I.tif:06751-00713,1.155E-5,158.861,132.061,194.173,-80.549,0.099
12,ACSA_12565_C_I.tif:07574-00711,9.965E-6,157.033,141.011,189.600,-79.744,0.086
13,ACSA_12565_C_I.tif:08494-00647,1.371E-5,162.186,135.715,194.667,-77.858,0.118
14,ACSA_12565_C_I.tif:09390-00555,9.059E-6,158.769,136.296,180.337,-76.524,0.078
15,ACSA_12565_C_I.tif:10059-00674,9.208E-6,152.515,135.144,186.936,-74.922,0.079
16,ACSA_12565_C_I.tif:10678-00668,7.342E-6,153.758,129.529,181.722,-75.041,0.063
17,ACSA_12565_C_I.tif:11262-00696,8.234E-6,158.502,137.844,190.977,-75.141,0.071
18,ACSA_12565_C_I.tif:12160-00679,1.487E-5,153.651,124.786,190.194,-76.419,0.128
19,ACSA_12565_C_I.tif:13245-00746,1.379E-5,165.747,144.219,179.044,-76.373,0.118
20,ACSA_12565_C_I.tif:14319-00729,1.287E-5,155.465,135.584,184.063,-74.005,0.111
21,ACSA_12565_C_I.tif:15326-00680,1.272E-5,157.517,135.937,187.494,-73.184,0.109
22,ACSA_12565_C_I.tif:16593-00686,1.866E-5,155.907,126.931,189.707,-75.722,0.160
23,ACSA_12565_C_I.tif:17943-00734,1.593E-5,152.224,131.667,186.420,-74.028,0.137
24,ACSA_12565_C_I.tif:18631-00812,1.933E-6,143.555,134.455,157.651,-73.610,0.016
25,ACSA_12565_C_I.tif:19056-00824,9.194E-6,153.761,122.599,183.442,-74.368,0.079
26,ACSA_12565_C_I.tif:19754-00803,7.896E-6,156.970,133.115,178.399,-74.176,0.068
27,ACSA_12565_C_I.tif:20367-00807,8.221E-6,154.672,123.331,182.813,-72.342,0.071
28,ACSA_12565_C_I.tif:21381-00859,1.805E-5,151.734,123.218,187.107,-72.733,0.155
29,ACSA_12565_C_I.tif:22494-00792,9.356E-6,151.571,124.743,183.086,-71.617,0.080
30,ACSA_12565_C_I.tif:23231-00803,9.546E-6,153.594,127.154,175.282,-71.822,0.082
31,ACSA_12565_C_I.tif:23957-00838,9.262E-6,152.969,113.269,187.100,-70.718,0.080
32,ACSA_12565_C_I.tif:24736-00844,9.749E-6,147.308,114.349,184.173,-71.716,0.084
33,ACSA_12565_C_I.tif:25491-00843,8.964E-6,149.771,117.675,185.475,-73.152,0.077
34,ACSA_12565_C_I.tif:26544-00886,1.875E-5,146.795,122.042,184.580,-74.520,0.161
35,ACSA_12565_C_I.tif:28178-01008,2.428E-5,148.873,121.727,190.711,-75.809,0.209
36,ACSA_12565_C_I.tif:29614-00988,1.318E-5,148.441,125.521,178.843,-76.706,0.113
37,ACSA_12565_C_I.tif:30564-00924,1.092E-5,153.967,125.060,182.603,-76.239,0.094
38,ACSA_12565_C_I.tif:31728-01022,1.913E-5,147.124,124.616,185.669,-74.077,0.164
39,ACSA_12565_C_I.tif:33322-01000,1.858E-5,148.723,121.088,184.888,-70.245,0.160
40,ACSA_12565_C_I.tif:34796-00990,1.531E-5,146.143,119.808,184.003,-69.064,0.131
41,ACSA_12565_C_I.tif:36004-01032,1.307E-5,146.786,112.471,187.936,-64.496,0.112
42,ACSA_12565_C_I.tif:37316-01058,1.816E-5,142.239,112.714,181.146,-70.323,0.156
43,ACSA_12565_C_I.tif:38484-01070,1.034E-5,145.853,116.289,184.940,-65.581,0.089
