 ,Label,Area,Mean,Min,Max,Angle,Length
1,ACSA_187-2006_B_II.tif:02407-00867,2.610E-6,154.022,143.792,166.479,86.424,0.022
2,ACSA_187-2006_B_II.tif:02814-00844,2.388E-5,154.603,136.242,176.677,-91.818,0.205
3,ACSA_187-2006_B_II.tif:05239-00786,4.185E-5,156.186,131.340,180.693,-91.222,0.360
4,ACSA_187-2006_B_II.tif:07584-00816,2.085E-5,159.241,128.229,184.213,-89.182,0.179
5,ACSA_187-2006_B_II.tif:10253-00843,5.204E-5,155.636,124.682,182.663,-90.089,0.447
6,ACSA_187-2006_B_II.tif:13185-00802,2.716E-5,151.831,126.829,179.304,-90.799,0.234
7,ACSA_187-2006_B_II.tif:15961-00848,4.761E-5,150.199,117.545,179.318,-89.479,0.409
8,ACSA_187-2006_B_II.tif:19281-00894,4.208E-5,155.754,118.621,176.774,-89.337,0.362
9,ACSA_187-2006_B_II.tif:22184-00931,3.630E-5,150.034,120.760,185.096,-90.470,0.312
10,ACSA_187-2006_B_II.tif:24382-00905,2.308E-5,147.063,126.348,177.955,-93.023,0.198
11,ACSA_187-2006_B_II.tif:26354-00886,3.031E-5,145.846,116.647,183.074,-91.330,0.261
12,ACSA_187-2006_B_II.tif:28790-01022,3.591E-5,153.443,129.459,187.698,-99.803,0.309
13,ACSA_187-2006_B_II.tif:31964-00993,4.763E-5,151.285,125.655,178.988,-106.799,0.410
