 ,Label,Area,Mean,Min,Max,Angle,Length
1,ACSA_20645_A_II.tif:02857-00757,1.637E-5,203.796,134.000,234.242,-90.506,0.105
2,ACSA_20645_A_II.tif:03454-00781,1.228E-5,211.930,185.275,228.349,-90.674,0.079
3,ACSA_20645_A_II.tif:04007-00722,1.406E-5,210.322,167.904,239.336,-91.177,0.091
4,ACSA_20645_A_II.tif:04495-00732,9.543E-6,211.846,187.475,236.909,-91.736,0.061
5,ACSA_20645_A_II.tif:05000-00697,1.440E-5,195.602,168.363,211.853,-89.425,0.093
6,ACSA_20645_A_II.tif:05646-00728,1.690E-5,192.548,164.895,229.959,-90.326,0.109
7,ACSA_20645_A_II.tif:06410-00688,1.988E-5,194.752,153.784,247.729,-90.832,0.128
8,ACSA_20645_A_II.tif:07097-00697,1.300E-5,194.483,161.917,227.000,-90.955,0.084
9,ACSA_20645_A_II.tif:07589-00632,1.041E-5,188.750,163.759,221.241,-90.796,0.067
10,ACSA_20645_A_II.tif:08300-00691,2.389E-5,209.314,182.669,239.621,-88.615,0.154
11,ACSA_20645_A_II.tif:09276-00648,2.310E-5,183.686,162.938,233.146,-88.747,0.149
12,ACSA_20645_A_II.tif:10200-00681,2.195E-5,184.964,154.526,226.914,-89.058,0.141
13,ACSA_20645_A_II.tif:11119-00678,2.175E-5,188.865,168.635,229.675,-87.337,0.140
14,ACSA_20645_A_II.tif:11909-00686,1.620E-5,184.090,162.801,211.769,-87.699,0.104
15,ACSA_20645_A_II.tif:12706-00696,2.163E-5,185.308,153.976,221.749,-86.555,0.139
16,ACSA_20645_A_II.tif:13744-00593,2.721E-5,184.399,156.515,243.570,-84.214,0.175
17,ACSA_20645_A_II.tif:14657-00639,1.671E-5,183.364,158.924,226.729,-84.043,0.108
18,ACSA_20645_A_II.tif:15376-00653,1.731E-5,190.789,160.373,218.265,-85.455,0.112
19,ACSA_20645_A_II.tif:16088-00678,1.697E-5,193.083,162.059,224.567,-85.115,0.109
20,ACSA_20645_A_II.tif:17041-00689,2.848E-5,189.721,165.562,228.492,-84.911,0.184
21,ACSA_20645_A_II.tif:18223-00663,2.771E-5,181.045,157.501,235.917,-86.116,0.179
22,ACSA_20645_A_II.tif:19141-00671,1.632E-5,179.529,148.602,218.973,-84.415,0.105
23,ACSA_20645_A_II.tif:19949-00671,2.238E-5,184.954,160.290,218.935,-88.152,0.144
24,ACSA_20645_A_II.tif:21190-00636,3.747E-5,179.592,157.436,224.097,-87.573,0.242
25,ACSA_20645_A_II.tif:22618-00658,3.115E-5,177.745,149.543,229.916,-86.945,0.201
26,ACSA_20645_A_II.tif:23603-00662,1.596E-5,191.174,169.667,206.647,-84.806,0.103
27,ACSA_20645_A_II.tif:24196-00683,1.255E-5,180.568,156.350,218.307,-85.045,0.081
28,ACSA_20645_A_II.tif:24530-00672,3.509E-6,177.946,161.659,206.149,-82.875,0.022
29,ACSA_20645_A_II.tif:24979-00699,1.755E-5,177.061,147.589,207.636,-82.904,0.113
30,ACSA_20645_A_II.tif:25904-00744,2.695E-5,176.534,147.737,208.823,-85.083,0.174
31,ACSA_20645_A_II.tif:26833-00614,1.644E-5,191.967,156.166,222.939,-85.215,0.106
32,ACSA_20645_A_II.tif:27485-00615,1.421E-5,181.027,157.343,212.689,-84.753,0.092
33,ACSA_20645_A_II.tif:28120-00690,1.685E-5,201.911,178.008,220.059,-86.561,0.109
34,ACSA_20645_A_II.tif:28834-00626,1.671E-5,183.966,152.004,213.100,-87.274,0.108
35,ACSA_20645_A_II.tif:29522-00624,1.635E-5,182.277,160.091,216.593,-86.455,0.105
36,ACSA_20645_A_II.tif:30392-00636,2.514E-5,174.922,153.152,215.689,-87.368,0.162
37,ACSA_20645_A_II.tif:31535-00629,2.961E-5,170.815,138.262,218.443,-88.184,0.191
38,ACSA_20645_A_II.tif:32360-00692,1.043E-5,172.598,142.503,194.226,-87.217,0.067
39,ACSA_20645_A_II.tif:32943-00624,1.675E-5,195.141,167.333,207.000,-88.519,0.108
40,ACSA_20645_A_II.tif:33750-00668,2.252E-5,173.223,147.896,205.060,-89.082,0.145
