 ,Label,Area,Mean,Min,Max,Angle,Length
1,ACSA_689-2010_A_I.tif:01092-00692,1.424E-5,159.485,126.667,186.211,-74.458,0.122
2,ACSA_689-2010_A_I.tif:02103-00877,1.364E-5,153.923,137.925,194.265,-74.640,0.117
3,ACSA_689-2010_A_I.tif:03084-00865,1.234E-5,155.052,133.204,189.751,-70.194,0.106
4,ACSA_689-2010_A_I.tif:04331-00948,2.046E-5,152.981,135.878,182.762,-74.971,0.176
5,ACSA_689-2010_A_I.tif:05704-00960,1.631E-5,153.398,129.143,179.043,-68.225,0.140
6,ACSA_689-2010_A_I.tif:07159-00840,2.171E-5,148.564,128.630,174.000,-71.362,0.187
7,ACSA_689-2010_A_I.tif:08681-00933,1.874E-5,146.974,124.921,170.963,-75.061,0.161
8,ACSA_689-2010_A_I.tif:09751-00982,9.681E-6,148.636,134.022,174.024,-77.888,0.083
9,ACSA_689-2010_A_I.tif:10459-00933,8.978E-6,153.587,132.370,172.723,-76.656,0.077
10,ACSA_689-2010_A_I.tif:11540-01123,2.080E-5,169.945,143.714,183.083,-78.515,0.179
11,ACSA_689-2010_A_I.tif:13019-01132,1.852E-5,148.312,130.400,176.351,-80.414,0.159
12,ACSA_689-2010_A_I.tif:14383-01159,1.789E-5,149.514,124.085,174.118,-82.440,0.154
13,ACSA_689-2010_A_I.tif:15746-01066,1.817E-5,151.315,133.198,181.274,-85.130,0.156
14,ACSA_689-2010_A_I.tif:16733-01165,8.856E-6,149.251,128.367,176.954,-87.898,0.076
15,ACSA_689-2010_A_I.tif:17680-01144,1.670E-5,144.066,123.226,171.128,-87.771,0.143
16,ACSA_689-2010_A_I.tif:19027-01122,1.977E-5,144.160,121.030,169.436,-90.588,0.170
17,ACSA_689-2010_A_I.tif:20402-01117,1.718E-5,145.268,126.329,176.912,-94.606,0.148
18,ACSA_689-2010_A_I.tif:21145-01078,2.758E-6,145.747,134.039,161.288,-98.489,0.024
19,ACSA_689-2010_A_I.tif:21630-01065,1.025E-5,138.555,123.528,160.814,-96.674,0.088
20,ACSA_689-2010_A_I.tif:22501-01039,1.326E-5,140.575,116.876,171.668,-93.511,0.114
21,ACSA_689-2010_A_I.tif:23653-01029,1.777E-5,138.945,104.060,165.897,-95.771,0.153
22,ACSA_689-2010_A_I.tif:25056-01055,2.019E-5,142.107,115.421,164.023,-93.998,0.173
23,ACSA_689-2010_A_I.tif:26467-01155,1.812E-5,141.407,98.679,179.793,-91.798,0.156
24,ACSA_689-2010_A_I.tif:27765-01098,1.683E-5,141.495,115.522,174.061,-97.622,0.145
25,ACSA_689-2010_A_I.tif:29301-01249,2.480E-5,143.655,123.664,171.665,-90.969,0.213
26,ACSA_689-2010_A_I.tif:30522-01157,8.018E-6,135.882,120.500,149.082,-93.196,0.069
27,ACSA_689-2010_A_I.tif:31399-01156,1.575E-5,143.824,122.811,167.134,-91.181,0.135
28,ACSA_689-2010_A_I.tif:32509-01173,1.421E-5,138.617,116.333,168.071,-89.182,0.122
29,ACSA_689-2010_A_I.tif:33459-01215,1.157E-5,137.761,119.702,162.710,-88.593,0.099
30,ACSA_689-2010_A_I.tif:34336-01189,1.234E-5,143.323,121.316,162.158,-88.869,0.106
31,ACSA_689-2010_A_I.tif:35535-01260,2.043E-5,139.282,122.649,163.141,-88.064,0.176
32,ACSA_689-2010_A_I.tif:36877-01246,1.585E-5,137.382,119.601,162.319,-88.238,0.136
33,ACSA_689-2010_A_I.tif:38080-01326,1.683E-5,143.343,116.750,169.083,-87.096,0.145
34,ACSA_689-2010_A_I.tif:39096-01291,1.047E-5,138.394,123.359,161.283,-85.994,0.090
35,ACSA_689-2010_A_I.tif:39879-01317,1.041E-5,145.626,123.406,184.785,-84.401,0.089
36,ACSA_689-2010_A_I.tif:40612-01317,9.356E-6,136.687,121.253,168.023,-86.269,0.080
37,ACSA_689-2010_A_I.tif:41460-01350,1.372E-5,138.886,118.458,160.218,-85.419,0.118
38,ACSA_689-2010_A_I.tif:42681-01389,1.938E-5,135.329,114.737,164.763,-87.479,0.167
39,ACSA_689-2010_A_I.tif:43905-01404,1.403E-5,139.315,120.692,162.810,-84.190,0.121
40,ACSA_689-2010_A_I.tif:44793-01504,9.938E-6,142.692,116.750,167.588,-86.248,0.085
