 ,Label,Area,Mean,Min,Max,Angle,Length
1,AEFL_12651_C_II_guides.tif:04856-01117,2.393E-6,168.970,138.667,185.525,-80.538,0.021
2,AEFL_12651_C_II_guides.tif:04995-01134,1.433E-6,170.971,152.750,184.333,-80.716,0.012
3,AEFL_12651_C_II_guides.tif:05102-01168,1.514E-6,170.734,151.451,190.778,-80.707,0.013
4,AEFL_12651_C_II_guides.tif:05313-01193,4.259E-6,170.448,141.997,197.516,-79.156,0.036
5,AEFL_12651_C_II_guides.tif:05572-01215,2.758E-6,166.945,144.208,188.487,-79.519,0.024
6,AEFL_12651_C_II_guides.tif:05858-01250,5.003E-6,174.973,150.403,195.598,-77.959,0.043
7,AEFL_12651_C_II_guides.tif:06116-01276,1.893E-6,182.301,154.238,199.974,-77.560,0.016
8,AEFL_12651_C_II_guides.tif:06255-01286,1.839E-6,172.549,161.267,190.667,-77.196,0.016
9,AEFL_12651_C_II_guides.tif:06467-01289,3.569E-6,172.946,150.305,199.992,-81.254,0.031
10,AEFL_12651_C_II_guides.tif:06692-01338,2.691E-6,169.100,143.052,196.869,-80.109,0.023
11,AEFL_12651_C_II_guides.tif:06868-01352,2.177E-6,169.534,150.619,186.945,-81.363,0.019
12,AEFL_12651_C_II_guides.tif:07043-01357,2.542E-6,165.701,149.005,188.667,-82.608,0.022
13,AEFL_12651_C_II_guides.tif:07304-01335,4.394E-6,167.866,150.853,191.381,-81.469,0.038
14,AEFL_12651_C_II_guides.tif:07574-01328,2.812E-6,173.028,156.642,198.739,-80.538,0.024
15,AEFL_12651_C_II_guides.tif:07787-01304,2.812E-6,173.843,158.130,190.151,-80.811,0.024
16,AEFL_12651_C_II_guides.tif:07997-01325,2.893E-6,172.749,151.000,194.210,-79.430,0.025
17,AEFL_12651_C_II_guides.tif:08243-01325,3.569E-6,174.688,150.309,197.450,-80.358,0.031
18,AEFL_12651_C_II_guides.tif:08478-01324,2.677E-6,173.934,158.427,188.634,-80.967,0.023
19,AEFL_12651_C_II_guides.tif:08658-01321,2.109E-6,170.193,157.939,182.660,-82.600,0.018
20,AEFL_12651_C_II_guides.tif:08874-01314,3.691E-6,170.226,149.579,186.671,-82.405,0.032
21,AEFL_12651_C_II_guides.tif:09153-01335,3.853E-6,176.030,156.987,194.245,-81.699,0.033
22,AEFL_12651_C_II_guides.tif:09424-01337,3.407E-6,174.580,158.673,194.313,-80.613,0.029
23,AEFL_12651_C_II_guides.tif:09623-01324,2.001E-6,181.227,166.487,192.910,-82.200,0.017
24,AEFL_12651_C_II_guides.tif:09939-01349,6.517E-6,172.252,148.367,194.925,-80.303,0.056
25,AEFL_12651_C_II_guides.tif:10327-01310,3.407E-6,167.652,154.697,186.513,-80.350,0.029
26,AEFL_12651_C_II_guides.tif:10624-01328,4.678E-6,169.245,149.768,190.988,-80.483,0.040
27,AEFL_12651_C_II_guides.tif:10946-01334,3.962E-6,171.212,144.695,193.272,-79.730,0.034
28,AEFL_12651_C_II_guides.tif:11130-01330,9.465E-7,170.291,152.429,190.776,-79.992,0.008
29,AEFL_12651_C_II_guides.tif:11259-01337,2.650E-6,177.805,157.240,199.136,-79.958,0.023
30,AEFL_12651_C_II_guides.tif:11396-01342,9.870E-7,173.597,158.649,185.146,-81.193,0.008
31,AEFL_12651_C_II_guides.tif:11522-01346,2.407E-6,171.928,148.890,195.861,-78.245,0.021
32,AEFL_12651_C_II_guides.tif:11737-01348,3.299E-6,170.652,146.011,195.669,-81.970,0.028
33,AEFL_12651_C_II_guides.tif:11961-01360,2.677E-6,174.168,148.077,190.813,-83.596,0.023
34,AEFL_12651_C_II_guides.tif:12166-01350,2.758E-6,170.167,151.060,191.446,-82.630,0.024
35,AEFL_12651_C_II_guides.tif:12362-01352,2.542E-6,175.305,153.492,197.590,-81.697,0.022
36,AEFL_12651_C_II_guides.tif:12571-01353,2.907E-6,165.800,149.038,188.463,-82.742,0.025
37,AEFL_12651_C_II_guides.tif:12790-01353,2.975E-6,171.569,155.031,191.772,-82.907,0.025
38,AEFL_12651_C_II_guides.tif:12993-01349,2.380E-6,175.265,154.019,194.678,-83.443,0.020
39,AEFL_12651_C_II_guides.tif:13246-01358,4.354E-6,165.750,142.050,195.221,-84.822,0.037
40,AEFL_12651_C_II_guides.tif:13516-01361,2.907E-6,170.455,149.769,192.439,-82.742,0.025
41,AEFL_12651_C_II_guides.tif:13709-01359,2.271E-6,168.159,145.696,194.768,-84.153,0.019
42,AEFL_12651_C_II_guides.tif:13826-01350,9.870E-7,176.784,159.815,188.917,-84.447,0.008
43,AEFL_12651_C_II_guides.tif:13987-01376,3.353E-6,167.999,149.832,193.051,-85.352,0.029
44,AEFL_12651_C_II_guides.tif:14176-01372,1.758E-6,172.573,156.845,194.109,-87.780,0.015
45,AEFL_12651_C_II_guides.tif:14303-01397,1.609E-6,182.284,155.339,199.955,-86.121,0.014
46,AEFL_12651_C_II_guides.tif:14413-01377,1.447E-6,175.956,156.531,188.956,-88.379,0.012
47,AEFL_12651_C_II_guides.tif:14543-01329,2.299E-6,169.907,149.123,181.702,-85.236,0.020
48,AEFL_12651_C_II_guides.tif:14682-01305,1.312E-6,177.432,158.528,192.915,-82.801,0.011
49,AEFL_12651_C_II_guides.tif:14811-01292,2.082E-6,160.346,141.907,180.937,-83.991,0.018
50,AEFL_12651_C_II_guides.tif:14976-01286,2.258E-6,172.625,150.590,188.896,-85.865,0.019
51,AEFL_12651_C_II_guides.tif:15174-01279,3.123E-6,171.868,153.971,187.361,-84.265,0.027
52,AEFL_12651_C_II_guides.tif:15428-01288,3.799E-6,170.168,148.969,198.450,-84.880,0.033
53,AEFL_12651_C_II_guides.tif:15702-01292,3.502E-6,173.207,151.667,194.441,-83.758,0.030
54,AEFL_12651_C_II_guides.tif:15904-01295,1.961E-6,164.956,151.721,184.185,-82.432,0.017
55,AEFL_12651_C_II_guides.tif:16108-01304,3.610E-6,170.177,152.667,188.395,-82.235,0.031
56,AEFL_12651_C_II_guides.tif:16357-01321,3.204E-6,175.712,150.658,193.859,-82.453,0.027
57,AEFL_12651_C_II_guides.tif:16715-01349,6.652E-6,167.860,147.682,199.173,-83.570,0.057
58,AEFL_12651_C_II_guides.tif:17084-01373,3.488E-6,173.890,153.000,197.717,-82.847,0.030
59,AEFL_12651_C_II_guides.tif:17266-01365,1.609E-6,168.362,155.447,183.120,-82.694,0.014
60,AEFL_12651_C_II_guides.tif:17402-01352,2.136E-6,171.629,149.240,187.577,-82.333,0.018
