 ,Label,Area,Mean,Min,Max,Angle,Length
1,AEFL_12651_D_I.tif:05018-01190,9.167E-6,136.133,83.119,174.689,-93.555,0.079
2,AEFL_12651_D_I.tif:05650-01174,5.314E-6,136.991,114.466,161.837,-91.753,0.046
3,AEFL_12651_D_I.tif:06258-01208,1.129E-5,131.198,104.761,169.050,-93.851,0.097
4,AEFL_12651_D_I.tif:07120-01200,1.201E-5,126.770,107.609,173.496,-94.656,0.103
5,AEFL_12651_D_I.tif:07640-01178,2.069E-6,122.749,103.386,162.228,-94.514,0.018
6,AEFL_12651_D_I.tif:07959-01169,6.612E-6,121.768,107.690,147.107,-94.939,0.057
7,AEFL_12651_D_I.tif:08448-01143,6.693E-6,120.456,104.712,149.298,-94.879,0.057
8,AEFL_12651_D_I.tif:08938-01126,6.747E-6,121.548,108.209,160.931,-94.611,0.058
9,AEFL_12651_D_I.tif:09292-01116,2.948E-6,129.117,108.413,159.221,-96.340,0.025
10,AEFL_12651_D_I.tif:09609-01121,5.638E-6,123.248,104.199,159.135,-95.244,0.048
11,AEFL_12651_D_I.tif:09994-01106,4.840E-6,120.163,102.498,161.588,-95.136,0.042
12,AEFL_12651_D_I.tif:10398-01123,5.922E-6,120.797,101.000,156.281,-94.459,0.051
13,AEFL_12651_D_I.tif:10754-01116,3.651E-6,120.807,102.667,153.111,-94.268,0.031
14,AEFL_12651_D_I.tif:11139-01106,6.760E-6,121.065,100.716,157.212,-93.218,0.058
15,AEFL_12651_D_I.tif:11551-01122,4.313E-6,115.588,104.145,153.176,-92.161,0.037
16,AEFL_12651_D_I.tif:11945-01138,6.368E-6,120.030,96.662,148.827,-89.512,0.055
17,AEFL_12651_D_I.tif:12515-01149,9.235E-6,120.505,95.351,154.069,-91.176,0.079
18,AEFL_12651_D_I.tif:13217-01150,9.776E-6,117.681,98.052,148.981,-90.952,0.084
19,AEFL_12651_D_I.tif:13674-01159,2.772E-6,128.735,103.441,150.196,-91.685,0.024
20,AEFL_12651_D_I.tif:14547-01169,2.086E-5,114.399,98.706,152.992,-90.520,0.179
21,AEFL_12651_D_I.tif:16176-01204,2.305E-5,119.239,96.268,156.934,-89.866,0.198
22,AEFL_12651_D_I.tif:17487-01272,1.237E-5,119.840,98.999,145.471,-95.274,0.106
23,AEFL_12651_D_I.tif:18147-01234,5.530E-6,120.867,94.082,161.928,-95.627,0.047
24,AEFL_12651_D_I.tif:18781-01218,1.157E-5,115.032,98.130,149.268,-93.217,0.099
25,AEFL_12651_D_I.tif:19467-01253,6.666E-6,120.893,99.093,147.039,-99.118,0.057
