 ,Label,Area,Mean,Min,Max,Angle,Length
1,AEFL_12651_D_II_guides.tif:02013-00763,1.603E-5,214.064,185.694,238.234,-96.036,0.103
2,AEFL_12651_D_II_guides.tif:02584-00728,1.137E-5,215.629,195.379,239.553,-97.787,0.073
3,AEFL_12651_D_II_guides.tif:03069-00705,1.197E-5,217.323,188.151,241.625,-96.696,0.077
4,AEFL_12651_D_II_guides.tif:03801-00660,2.329E-5,218.851,182.739,243.555,-96.170,0.150
5,AEFL_12651_D_II_guides.tif:04443-00640,7.427E-6,221.066,187.985,243.167,-96.710,0.048
6,AEFL_12651_D_II_guides.tif:05110-00685,2.387E-5,214.318,186.795,241.330,-94.975,0.154
7,AEFL_12651_D_II_guides.tif:05972-00674,1.719E-5,218.372,187.673,245.524,-94.497,0.111
8,AEFL_12651_D_II_guides.tif:06602-00676,1.322E-5,217.346,188.685,241.871,-94.175,0.085
9,AEFL_12651_D_II_guides.tif:07080-00691,9.735E-6,215.754,190.403,237.762,-92.551,0.063
10,AEFL_12651_D_II_guides.tif:07753-00687,2.288E-5,215.763,186.703,242.757,-93.013,0.147
11,AEFL_12651_D_II_guides.tif:08708-00670,2.332E-5,215.982,185.917,240.150,-92.603,0.150
12,AEFL_12651_D_II_guides.tif:09827-00665,3.017E-5,218.603,185.214,243.619,-94.301,0.194
13,AEFL_12651_D_II_guides.tif:10894-00651,2.089E-5,221.418,188.857,243.886,-95.684,0.135
14,AEFL_12651_D_II_guides.tif:11898-00630,2.747E-5,216.837,194.135,244.026,-95.830,0.177
15,AEFL_12651_D_II_guides.tif:13153-00662,3.216E-5,221.795,195.600,245.128,-97.221,0.207
16,AEFL_12651_D_II_guides.tif:14451-00659,3.045E-5,218.901,193.390,245.539,-97.900,0.196
17,AEFL_12651_D_II_guides.tif:15479-00672,1.803E-5,216.674,200.775,244.283,-97.979,0.116
18,AEFL_12651_D_II_guides.tif:16357-00635,2.421E-5,218.212,192.186,243.274,-95.133,0.156
19,AEFL_12651_D_II_guides.tif:17193-00637,1.620E-5,219.660,190.767,244.375,-95.287,0.104
20,AEFL_12651_D_II_guides.tif:18389-00626,4.144E-5,219.598,185.859,245.087,-95.730,0.267
21,AEFL_12651_D_II_guides.tif:19712-00632,2.221E-5,216.679,194.186,241.450,-94.475,0.143
22,AEFL_12651_D_II_guides.tif:20547-00637,1.812E-5,213.431,193.183,238.576,-94.726,0.117
23,AEFL_12651_D_II_guides.tif:21017-00633,4.086E-6,224.585,200.512,240.719,-99.518,0.026
24,AEFL_12651_D_II_guides.tif:21410-00614,1.488E-5,215.876,194.487,235.060,-96.504,0.096
25,AEFL_12651_D_II_guides.tif:22035-00579,1.548E-5,215.000,196.600,239.376,-95.178,0.100
26,AEFL_12651_D_II_guides.tif:22603-00563,1.190E-5,208.568,184.962,231.836,-93.019,0.077
27,AEFL_12651_D_II_guides.tif:23111-00573,1.255E-5,212.202,190.703,238.000,-90.990,0.081
28,AEFL_12651_D_II_guides.tif:23546-00571,8.437E-6,210.568,187.120,238.200,-92.291,0.054
29,AEFL_12651_D_II_guides.tif:23835-00581,5.577E-6,208.833,188.323,230.607,-90.248,0.036
30,AEFL_12651_D_II_guides.tif:24083-00609,6.370E-6,212.611,188.020,238.788,-90.868,0.041
31,AEFL_12651_D_II_guides.tif:24438-00616,1.067E-5,210.939,188.667,234.651,-90.259,0.069
32,AEFL_12651_D_II_guides.tif:24989-00644,1.606E-5,208.624,186.783,236.817,-89.742,0.103
33,AEFL_12651_D_II_guides.tif:25602-00660,1.344E-5,211.200,187.464,242.802,-90.719,0.087
34,AEFL_12651_D_II_guides.tif:26125-00630,1.178E-5,212.020,124.693,238.748,-92.576,0.076
35,AEFL_12651_D_II_guides.tif:26576-00651,9.903E-6,215.332,196.986,234.614,-95.030,0.064
36,AEFL_12651_D_II_guides.tif:27060-00643,1.341E-5,219.415,193.326,239.437,-97.112,0.086
37,AEFL_12651_D_II_guides.tif:27642-00616,1.454E-5,221.084,200.094,239.399,-98.371,0.094
