 ,Label,Area,Mean,Min,Max,Angle,Length
1,AEFL_925-79_B_II.tif:01518-00574,3.589E-5,172.061,95.663,239.192,-89.539,0.231
2,AEFL_925-79_B_II.tif:02936-00612,3.139E-5,181.635,140.195,230.079,-87.541,0.202
3,AEFL_925-79_B_II.tif:04388-00707,3.875E-5,187.923,148.069,249.190,-81.286,0.250
4,AEFL_925-79_B_II.tif:05692-00654,2.284E-5,185.915,154.893,246.643,-80.538,0.147
5,AEFL_925-79_B_II.tif:07196-00604,4.757E-5,183.506,125.748,244.104,-80.690,0.307
6,AEFL_925-79_B_II.tif:09022-00696,3.937E-5,183.208,139.104,242.201,-81.850,0.254
7,AEFL_925-79_B_II.tif:10742-00742,4.154E-5,166.894,121.147,244.740,-83.484,0.268
8,AEFL_925-79_B_II.tif:11992-00678,1.731E-5,187.490,148.416,217.962,-82.005,0.111
9,AEFL_925-79_B_II.tif:13004-00728,3.120E-5,189.169,157.362,229.551,-83.270,0.201
10,AEFL_925-79_B_II.tif:14644-00748,4.658E-5,190.574,163.548,255.000,-82.405,0.300
11,AEFL_925-79_B_II.tif:16942-00652,6.096E-5,191.154,160.953,223.457,-81.653,0.393
12,AEFL_925-79_B_II.tif:19432-00860,5.829E-5,189.147,154.318,221.275,-80.693,0.376
13,AEFL_925-79_B_II.tif:21746-00826,5.007E-5,190.987,151.422,223.949,-77.913,0.323
14,AEFL_925-79_B_II.tif:23814-00694,4.372E-5,189.787,161.797,217.065,-78.196,0.282
15,AEFL_925-79_B_II.tif:26082-00768,6.113E-5,189.972,161.708,220.371,-74.674,0.394
16,AEFL_925-79_B_II.tif:28884-00874,6.408E-5,184.413,158.398,216.893,-68.981,0.413
17,AEFL_925-79_B_II.tif:31600-00852,3.856E-5,180.780,156.075,207.618,-59.723,0.248
18,AEFL_925-79_B_II.tif:33770-00892,4.252E-5,167.330,120.359,198.936,-58.036,0.274
19,AEFL_925-79_B_II.tif:36216-00980,5.055E-5,175.845,144.679,219.687,-59.335,0.326
