 ,Label,Area,Mean,Min,Max,Angle,Length
1,BEAL_12843_A_II.tif:05333-00647,4.354E-6,137.948,101.629,178.792,-93.755,0.037
2,BEAL_12843_A_II.tif:05765-00587,7.355E-6,152.723,130.766,189.911,-94.860,0.063
3,BEAL_12843_A_II.tif:06363-00574,8.816E-6,150.644,123.341,207.610,-95.816,0.076
4,BEAL_12843_A_II.tif:06979-00541,7.937E-6,142.533,120.435,194.493,-95.283,0.068
5,BEAL_12843_A_II.tif:07432-00523,4.381E-6,148.082,119.120,187.388,-95.323,0.038
6,BEAL_12843_A_II.tif:07935-00515,9.127E-6,145.386,122.168,186.988,-94.933,0.078
7,BEAL_12843_A_II.tif:08466-00484,5.206E-6,152.369,120.850,187.292,-95.978,0.045
8,BEAL_12843_A_II.tif:08917-00490,6.855E-6,146.546,122.861,187.708,-95.440,0.059
9,BEAL_12843_A_II.tif:09269-00504,2.447E-6,152.275,134.444,170.333,-93.814,0.021
10,BEAL_12843_A_II.tif:09724-00499,9.857E-6,147.834,125.461,186.225,-94.568,0.085
11,BEAL_12843_A_II.tif:10348-00496,6.990E-6,145.633,114.580,181.674,-94.450,0.060
12,BEAL_12843_A_II.tif:10838-00533,6.220E-6,146.468,119.743,178.945,-93.249,0.053
13,BEAL_12843_A_II.tif:11253-00569,5.111E-6,141.613,115.366,174.616,-93.956,0.044
14,BEAL_12843_A_II.tif:11552-00583,2.866E-6,145.476,130.333,160.567,-95.981,0.025
15,BEAL_12843_A_II.tif:11851-00577,5.273E-6,147.928,127.366,178.341,-95.008,0.045
16,BEAL_12843_A_II.tif:12335-00573,7.653E-6,146.787,115.544,186.715,-97.528,0.066
17,BEAL_12843_A_II.tif:12724-00586,2.704E-6,136.185,124.012,157.471,-96.911,0.023
18,BEAL_12843_A_II.tif:13033-00571,5.584E-6,137.878,114.949,179.427,-98.091,0.048
19,BEAL_12843_A_II.tif:13793-00571,1.485E-5,143.682,113.008,183.404,-92.821,0.128
20,BEAL_12843_A_II.tif:14759-00588,1.132E-5,141.885,117.000,182.000,-90.000,0.097
21,BEAL_12843_A_II.tif:15473-00630,8.018E-6,139.528,109.000,179.667,-90.000,0.069
22,BEAL_12843_A_II.tif:16318-00643,1.489E-5,135.392,113.011,184.613,-93.232,0.128
23,BEAL_12843_A_II.tif:17304-00691,1.153E-5,133.116,108.531,186.482,-93.904,0.099
24,BEAL_12843_A_II.tif:18105-00682,1.025E-5,132.383,108.956,169.404,-92.424,0.088
25,BEAL_12843_A_II.tif:19214-00695,1.978E-5,134.112,104.329,182.261,-91.019,0.170
26,BEAL_12843_A_II.tif:20142-00704,5.206E-6,128.987,110.502,168.905,-94.330,0.045
27,BEAL_12843_A_II.tif:20759-00698,1.152E-5,137.441,118.539,177.988,-96.273,0.099
28,BEAL_12843_A_II.tif:21332-00683,3.948E-6,131.674,112.845,158.934,-97.712,0.034
29,BEAL_12843_A_II.tif:21638-00702,4.502E-6,138.555,108.329,175.904,-96.226,0.039
30,BEAL_12843_A_II.tif:21926-00738,3.204E-6,135.826,119.102,156.551,-97.306,0.027
31,BEAL_12843_A_II.tif:22333-00731,7.788E-6,132.974,107.495,174.248,-95.086,0.067
32,BEAL_12843_A_II.tif:22816-00735,5.435E-6,127.087,106.333,170.995,-95.156,0.047
33,BEAL_12843_A_II.tif:23333-00722,8.491E-6,126.048,103.529,161.575,-95.219,0.073
34,BEAL_12843_A_II.tif:23929-00765,7.288E-6,129.546,102.016,172.268,-93.835,0.063
35,BEAL_12843_A_II.tif:24644-00821,1.156E-5,131.019,102.977,178.004,-93.827,0.099
36,BEAL_12843_A_II.tif:25438-00843,9.951E-6,121.417,92.849,168.276,-91.870,0.086
37,BEAL_12843_A_II.tif:26018-00858,5.773E-6,122.733,92.305,159.531,-91.614,0.050
38,BEAL_12843_A_II.tif:26464-00879,6.395E-6,120.949,100.920,168.215,-92.917,0.055
39,BEAL_12843_A_II.tif:27091-00824,1.060E-5,126.357,95.391,184.415,-89.780,0.091
40,BEAL_12843_A_II.tif:27827-00891,9.262E-6,121.716,94.205,180.246,-90.503,0.080
41,BEAL_12843_A_II.tif:28321-00848,4.354E-6,132.829,113.140,152.171,-92.675,0.037
42,BEAL_12843_A_II.tif:28760-00896,7.639E-6,136.539,103.135,182.844,-89.695,0.066
43,BEAL_12843_A_II.tif:29468-00923,1.153E-5,131.060,99.089,190.191,-91.815,0.099
44,BEAL_12843_A_II.tif:30197-00944,8.045E-6,131.349,101.805,184.955,-92.025,0.069
45,BEAL_12843_A_II.tif:30766-00972,7.518E-6,124.982,103.739,171.023,-91.239,0.065
46,BEAL_12843_A_II.tif:31337-00903,8.369E-6,131.166,100.871,172.417,-92.224,0.072
47,BEAL_12843_A_II.tif:31916-00950,7.071E-6,132.804,99.851,175.575,-90.988,0.061
48,BEAL_12843_A_II.tif:32584-00965,1.087E-5,131.803,101.126,167.950,-94.497,0.093
49,BEAL_12843_A_II.tif:33229-00966,6.652E-6,138.136,113.081,167.612,-95.606,0.057
50,BEAL_12843_A_II.tif:33863-00948,1.064E-5,122.066,98.920,174.465,-97.017,0.091
51,BEAL_12843_A_II.tif:34772-00972,1.360E-5,115.676,79.423,158.072,-94.451,0.117
52,BEAL_12843_A_II.tif:36240-01164,2.482E-5,102.193,74.363,158.639,-97.137,0.213
53,BEAL_12843_A_II.tif:37852-01124,1.836E-5,105.343,74.278,166.149,-98.005,0.158
54,BEAL_12843_A_II.tif:38947-01182,1.098E-5,114.700,79.711,168.563,-104.139,0.094
55,BEAL_12843_A_II.tif:39922-01190,1.452E-5,111.552,78.676,173.906,-101.781,0.125
56,BEAL_12843_A_II.tif:41019-01181,1.391E-5,116.775,79.767,172.560,-105.050,0.120
