 ,Label,Area,Mean,Min,Max,Angle,Length
1,BEAL_12843_D_I.tif:04261-00509,2.582E-6,159.539,122.474,181.930,-86.987,0.022
2,BEAL_12843_D_I.tif:04517-00550,4.259E-6,149.963,123.794,184.667,-87.083,0.037
3,BEAL_12843_D_I.tif:04797-00588,3.299E-6,150.483,129.121,186.735,-85.276,0.028
4,BEAL_12843_D_I.tif:04959-00625,1.176E-6,156.502,138.395,172.574,-88.668,0.010
5,BEAL_12843_D_I.tif:05146-00583,3.813E-6,156.280,130.094,189.041,-86.322,0.033
6,BEAL_12843_D_I.tif:05432-00622,3.962E-6,138.317,117.183,185.840,-86.864,0.034
7,BEAL_12843_D_I.tif:05681-00575,2.799E-6,158.999,126.602,186.023,-86.112,0.024
8,BEAL_12843_D_I.tif:05936-00624,4.313E-6,149.256,121.649,181.363,-83.501,0.037
9,BEAL_12843_D_I.tif:06186-00601,2.190E-6,147.891,128.124,177.990,-83.581,0.019
10,BEAL_12843_D_I.tif:06485-00592,5.652E-6,138.416,118.083,174.794,-83.387,0.048
11,BEAL_12843_D_I.tif:06874-00648,5.057E-6,136.018,119.751,181.591,-85.696,0.043
12,BEAL_12843_D_I.tif:07288-00647,6.044E-6,145.751,122.817,178.879,-85.108,0.052
13,BEAL_12843_D_I.tif:07646-00652,3.745E-6,140.120,114.754,175.739,-86.682,0.032
14,BEAL_12843_D_I.tif:07881-00687,2.650E-6,143.687,119.000,183.115,-84.699,0.023
15,BEAL_12843_D_I.tif:08193-00665,5.679E-6,136.504,117.537,190.131,-86.441,0.049
16,BEAL_12843_D_I.tif:08624-00706,5.922E-6,131.557,111.637,185.335,-86.326,0.051
17,BEAL_12843_D_I.tif:08943-00671,2.691E-6,131.329,111.088,176.044,-85.956,0.023
18,BEAL_12843_D_I.tif:09254-00662,5.760E-6,134.704,111.854,179.174,-86.760,0.049
19,BEAL_12843_D_I.tif:09670-00712,5.489E-6,130.537,110.658,185.031,-86.035,0.047
20,BEAL_12843_D_I.tif:10237-00716,1.009E-5,140.137,117.566,183.126,-85.070,0.087
21,BEAL_12843_D_I.tif:10804-00715,5.070E-6,131.250,111.067,165.254,-84.778,0.043
22,BEAL_12843_D_I.tif:11249-00688,6.882E-6,138.543,108.121,180.021,-85.030,0.059
23,BEAL_12843_D_I.tif:11796-00712,7.950E-6,137.568,114.925,189.839,-83.746,0.068
24,BEAL_12843_D_I.tif:12285-00694,5.151E-6,127.067,106.562,170.467,-83.959,0.044
25,BEAL_12843_D_I.tif:12716-00701,6.504E-6,129.635,104.487,169.128,-82.579,0.056
26,BEAL_12843_D_I.tif:13074-00710,3.083E-6,136.341,110.333,181.551,-80.870,0.026
27,BEAL_12843_D_I.tif:13596-00715,1.083E-5,131.062,103.705,178.660,-84.118,0.093
28,BEAL_12843_D_I.tif:14094-00721,2.461E-6,125.085,108.333,146.180,-83.032,0.021
29,BEAL_12843_D_I.tif:14314-00695,3.448E-6,120.833,111.176,129.646,-82.316,0.030
