 ,Label,Area,Mean,Min,Max,Angle,Length
1,BEAL_12843_E_II.tif:07222-00533,7.017E-6,147.897,107.188,179.955,-86.017,0.060
2,BEAL_12843_E_II.tif:07909-00543,1.155E-5,151.126,128.584,188.387,-85.292,0.099
3,BEAL_12843_E_II.tif:08516-00517,4.584E-6,146.775,121.560,181.818,-84.222,0.039
4,BEAL_12843_E_II.tif:08791-00518,3.042E-6,143.243,125.333,153.172,-82.811,0.026
5,BEAL_12843_E_II.tif:09086-00510,5.003E-6,146.421,122.536,170.735,-85.030,0.043
6,BEAL_12843_E_II.tif:09586-00526,8.572E-6,139.945,117.449,180.199,-86.379,0.074
7,BEAL_12843_E_II.tif:10061-00533,4.259E-6,136.354,118.862,154.463,-87.447,0.037
8,BEAL_12843_E_II.tif:10483-00537,7.193E-6,134.229,117.049,173.810,-86.329,0.062
9,BEAL_12843_E_II.tif:10883-00548,3.732E-6,139.018,126.895,147.437,-85.825,0.032
10,BEAL_12843_E_II.tif:11323-00553,8.167E-6,143.231,126.542,180.189,-86.388,0.070
11,BEAL_12843_E_II.tif:11786-00564,4.300E-6,145.855,113.550,181.804,-84.936,0.037
12,BEAL_12843_E_II.tif:12269-00570,8.559E-6,144.233,117.333,186.841,-85.643,0.073
13,BEAL_12843_E_II.tif:12754-00583,4.624E-6,132.786,115.667,152.000,-86.298,0.040
14,BEAL_12843_E_II.tif:13010-00586,2.299E-6,143.393,116.487,178.075,-84.560,0.020
15,BEAL_12843_E_II.tif:13293-00596,5.408E-6,144.596,117.312,173.939,-85.403,0.046
16,BEAL_12843_E_II.tif:13689-00596,5.192E-6,148.768,112.149,182.898,-86.405,0.045
17,BEAL_12843_E_II.tif:13946-00595,1.744E-6,156.776,110.833,188.188,-85.533,0.015
18,BEAL_12843_E_II.tif:14206-00635,5.368E-6,134.012,114.470,168.975,-87.975,0.046
19,BEAL_12843_E_II.tif:14761-00635,9.694E-6,135.449,109.799,187.764,-85.994,0.083
20,BEAL_12843_E_II.tif:15414-00636,7.923E-6,134.362,112.082,184.894,-87.255,0.068
21,BEAL_12843_E_II.tif:15869-00673,4.489E-6,127.546,108.582,149.422,-86.186,0.038
22,BEAL_12843_E_II.tif:16249-00667,5.841E-6,148.822,105.816,186.911,-86.009,0.050
23,BEAL_12843_E_II.tif:16796-00674,8.897E-6,136.033,107.204,188.182,-86.511,0.076
24,BEAL_12843_E_II.tif:17366-00679,6.463E-6,137.070,105.898,180.265,-87.354,0.055
25,BEAL_12843_E_II.tif:17859-00668,6.801E-6,130.317,103.312,181.574,-88.631,0.058
26,BEAL_12843_E_II.tif:18238-00622,3.624E-6,131.625,114.367,169.597,-85.700,0.031
27,BEAL_12843_E_II.tif:18610-00679,1.003E-5,130.611,101.442,181.593,-86.284,0.086
28,BEAL_12843_E_II.tif:19274-00696,4.462E-6,133.590,111.243,172.740,-86.163,0.038
29,BEAL_12843_E_II.tif:19553-00698,3.191E-6,132.561,98.578,168.875,-85.601,0.027
30,BEAL_12843_E_II.tif:19778-00728,2.975E-6,141.387,108.402,178.589,-86.342,0.026
31,BEAL_12843_E_II.tif:20032-00724,3.867E-6,130.030,104.596,169.385,-85.170,0.033
32,BEAL_12843_E_II.tif:20310-00723,3.637E-6,130.548,106.786,182.881,-87.436,0.031
