 ,Label,Area,Mean,Min,Max,Angle,Length
1,BEAL_12843_H_II.tif:03726-00464,4.448E-6,157.432,105.333,183.471,-93.674,0.038
2,BEAL_12843_H_II.tif:04072-00459,4.976E-6,158.367,141.662,197.463,-93.752,0.043
3,BEAL_12843_H_II.tif:04381-00465,3.272E-6,161.447,142.986,186.414,-95.711,0.028
4,BEAL_12843_H_II.tif:04523-00446,5.814E-7,173.378,147.244,188.661,-96.116,0.005
5,BEAL_12843_H_II.tif:04873-00442,1.974E-6,158.612,149.912,177.129,-96.340,0.017
6,BEAL_12843_H_II.tif:05316-00428,6.774E-6,163.078,145.170,187.355,85.408,0.058
7,BEAL_12843_H_II.tif:05600-00458,3.231E-6,163.886,136.546,187.718,82.755,0.028
8,BEAL_12843_H_II.tif:05601-00434,4.475E-6,151.433,140.421,165.267,-96.263,0.038
9,BEAL_12843_H_II.tif:05843-00441,2.096E-6,161.538,140.435,188.845,-98.236,0.018
10,BEAL_12843_H_II.tif:06318-00449,6.287E-6,149.110,131.422,189.242,-93.461,0.054
11,BEAL_12843_H_II.tif:06926-00457,4.529E-6,143.365,131.715,161.767,84.852,0.039
12,BEAL_12843_H_II.tif:07261-00484,5.503E-6,150.001,128.346,175.887,84.627,0.047
13,BEAL_12843_H_II.tif:07563-00443,3.421E-6,146.059,136.748,153.556,82.706,0.029
14,BEAL_12843_H_II.tif:07571-00508,4.867E-6,154.468,136.106,188.308,-94.472,0.042
15,BEAL_12843_H_II.tif:07927-00434,4.908E-6,141.160,125.026,179.058,-98.264,0.042
16,BEAL_12843_H_II.tif:08354-00478,6.193E-6,151.672,134.096,188.336,-98.059,0.053
17,BEAL_12843_H_II.tif:08868-00462,7.653E-6,144.381,125.777,189.699,-97.326,0.066
18,BEAL_12843_H_II.tif:09210-00442,1.541E-6,148.895,124.904,179.528,-98.130,0.013
19,BEAL_12843_H_II.tif:09441-00463,4.705E-6,150.234,122.223,186.387,-94.955,0.040
20,BEAL_12843_H_II.tif:09987-00499,9.897E-6,142.534,122.865,191.531,-92.353,0.085
