 ,Label,Area,Mean,Min,Max,Angle,Length
1,BENI_1251-79_E_I.tif:01080-00799,1.713E-5,164.094,115.433,191.749,-90.860,0.147
2,BENI_1251-79_E_I.tif:02930-00804,3.292E-5,164.138,123.969,190.241,-90.942,0.283
3,BENI_1251-79_E_I.tif:04478-00835,9.127E-6,159.320,136.395,193.392,-88.810,0.078
4,BENI_1251-79_E_I.tif:05801-00899,2.668E-5,166.116,140.086,207.076,-88.780,0.229
5,BENI_1251-79_E_I.tif:07167-00949,1.024E-5,162.765,138.288,202.305,-90.152,0.088
6,BENI_1251-79_E_I.tif:08408-00955,2.326E-5,161.523,137.095,198.129,-92.067,0.200
7,BENI_1251-79_E_I.tif:09939-00960,1.808E-5,160.468,134.623,194.637,-89.657,0.155
8,BENI_1251-79_E_I.tif:11322-00977,1.940E-5,160.398,132.386,201.198,-90.080,0.167
9,BENI_1251-79_E_I.tif:12439-00919,1.090E-5,159.301,135.692,190.915,-92.422,0.094
10,BENI_1251-79_E_I.tif:13448-00957,1.659E-5,158.109,127.978,204.522,-90.093,0.143
11,BENI_1251-79_E_I.tif:14843-00808,2.144E-5,155.355,129.181,193.147,-80.704,0.184
12,BENI_1251-79_E_I.tif:16399-00903,2.048E-5,155.461,132.049,200.055,-82.180,0.176
13,BENI_1251-79_E_I.tif:17918-00956,2.061E-5,158.594,133.368,191.562,-81.540,0.177
14,BENI_1251-79_E_I.tif:19141-01057,1.226E-5,156.684,124.421,197.518,-83.534,0.105
15,BENI_1251-79_E_I.tif:20302-01145,1.948E-5,158.068,129.350,200.200,-82.095,0.167
16,BENI_1251-79_E_I.tif:21971-01282,2.596E-5,157.807,133.346,198.747,-83.897,0.223
17,BENI_1251-79_E_I.tif:23658-01209,1.863E-5,157.381,130.219,192.909,-82.906,0.160
18,BENI_1251-79_E_I.tif:24885-01275,1.463E-5,153.945,130.597,186.661,-87.773,0.126
19,BENI_1251-79_E_I.tif:26050-01310,1.697E-5,159.745,130.959,201.475,-90.731,0.146
20,BENI_1251-79_E_I.tif:27210-01337,1.426E-5,158.017,136.028,192.955,-89.891,0.123
21,BENI_1251-79_E_I.tif:28468-01294,1.978E-5,156.451,132.438,198.998,-88.746,0.170
22,BENI_1251-79_E_I.tif:30039-01392,2.288E-5,155.157,125.369,199.260,-86.474,0.197
23,BENI_1251-79_E_I.tif:30978-01356,2.366E-6,154.055,142.667,167.352,-87.368,0.020
24,BENI_1251-79_E_I.tif:31627-01409,1.528E-5,140.574,113.453,184.847,-87.462,0.131
25,BENI_1251-79_E_I.tif:33461-01549,3.457E-5,149.518,118.638,196.476,-81.496,0.297
26,BENI_1251-79_E_I.tif:36158-01286,3.648E-5,154.577,125.411,196.026,-77.582,0.314
27,BENI_1251-79_E_I.tif:37597-01371,1.839E-6,143.892,127.987,168.333,-77.196,0.016
28,BENI_1251-79_E_I.tif:38016-01423,9.708E-6,148.374,126.455,183.050,-72.979,0.083
29,BENI_1251-79_E_I.tif:39216-01451,2.151E-5,150.759,128.123,191.036,-72.659,0.185
30,BENI_1251-79_E_I.tif:40657-01213,1.343E-5,150.264,123.583,186.039,-74.451,0.115
31,BENI_1251-79_E_I.tif:42024-01571,2.478E-5,148.179,126.949,186.180,-74.098,0.213
32,BENI_1251-79_E_I.tif:43106-01518,1.541E-6,150.483,135.719,163.000,-69.326,0.013
33,BENI_1251-79_E_I.tif:43463-01548,7.531E-6,149.154,121.912,186.840,-64.448,0.065
