 ,Label,Area,Mean,Min,Max,Angle,Length
1,BENI_1251-79_E_II.tif:01936-01001,1.317E-5,170.964,142.545,193.751,-92.474,0.113
2,BENI_1251-79_E_II.tif:03207-00911,2.132E-5,168.019,144.050,201.821,-92.692,0.183
3,BENI_1251-79_E_II.tif:04359-00902,9.938E-6,164.907,138.906,195.901,-91.561,0.085
4,BENI_1251-79_E_II.tif:05540-00856,2.217E-5,167.856,142.151,202.992,-93.637,0.191
5,BENI_1251-79_E_II.tif:06768-00846,1.095E-5,157.053,129.516,200.727,-92.268,0.094
6,BENI_1251-79_E_II.tif:08280-00858,2.965E-5,158.729,135.420,195.885,-94.920,0.255
7,BENI_1251-79_E_II.tif:10483-00930,2.870E-5,159.794,134.548,199.386,-98.565,0.247
8,BENI_1251-79_E_II.tif:12401-01037,2.216E-5,162.161,132.753,203.333,-91.189,0.191
9,BENI_1251-79_E_II.tif:13704-00992,1.314E-5,160.403,134.848,193.034,-85.746,0.113
10,BENI_1251-79_E_II.tif:14976-01049,2.135E-5,157.344,134.188,198.761,-87.312,0.183
11,BENI_1251-79_E_II.tif:16814-01089,2.822E-5,162.307,132.196,198.450,-87.417,0.243
12,BENI_1251-79_E_II.tif:19265-01123,3.817E-5,161.523,137.875,201.199,-89.066,0.328
13,BENI_1251-79_E_II.tif:21976-01187,3.506E-5,163.220,130.582,201.590,-89.337,0.301
14,BENI_1251-79_E_II.tif:23812-01208,1.463E-5,164.415,140.897,200.236,-92.227,0.126
15,BENI_1251-79_E_II.tif:23816-01236,2.128E-5,163.150,127.137,199.466,-95.218,0.183
16,BENI_1251-79_E_II.tif:25132-01050,1.203E-5,158.189,135.338,187.425,87.292,0.103
17,BENI_1251-79_E_II.tif:27549-01092,1.971E-5,160.130,136.951,198.501,92.281,0.169
18,BENI_1251-79_E_II.tif:27106-01367,5.185E-5,157.527,125.941,198.482,100.185,0.446
19,BENI_1251-79_E_II.tif:30112-01707,3.103E-5,160.046,135.125,200.741,102.691,0.267
20,BENI_1251-79_E_II.tif:33376-01309,2.028E-5,158.575,136.715,202.362,102.442,0.174
21,BENI_1251-79_E_II.tif:35352-01225,2.006E-5,160.914,135.014,196.787,98.573,0.172
22,BENI_1251-79_E_II.tif:36840-01433,2.166E-5,161.038,135.158,192.742,100.145,0.186
23,BENI_1251-79_E_II.tif:38416-01458,2.178E-5,162.399,133.928,200.016,98.538,0.187
24,BENI_1251-79_E_II.tif:40024-01644,3.075E-5,161.973,133.399,196.122,103.119,0.264
25,BENI_1251-79_E_II.tif:42006-01686,8.505E-6,163.294,136.806,195.424,102.885,0.073
