 ,Label,Area,Mean,Min,Max,Angle,Length
1,CAGL_20098_A_II.tif:01850-00594,1.449E-5,187.105,154.804,237.870,-99.181,0.093
2,CAGL_20098_A_II.tif:02260-00553,5.673E-6,190.354,169.369,214.778,-101.310,0.036
3,CAGL_20098_A_II.tif:02470-00531,4.519E-6,195.101,172.000,209.653,-101.731,0.029
4,CAGL_20098_A_II.tif:02720-00499,7.764E-6,184.354,149.834,217.267,-101.101,0.050
5,CAGL_20098_A_II.tif:03057-00462,8.437E-6,185.125,132.513,228.087,-96.557,0.054
6,CAGL_20098_A_II.tif:03464-00425,1.113E-5,195.390,158.602,241.872,-96.956,0.072
7,CAGL_20098_A_II.tif:03893-00391,9.567E-6,202.620,164.614,242.876,-96.356,0.062
8,CAGL_20098_A_II.tif:04372-00373,1.346E-5,201.024,177.829,242.781,-94.925,0.087
9,CAGL_20098_A_II.tif:04831-00368,8.461E-6,202.018,171.009,244.584,-94.737,0.054
10,CAGL_20098_A_II.tif:05281-00355,1.317E-5,209.720,180.630,246.885,-93.772,0.085
11,CAGL_20098_A_II.tif:05759-00341,9.831E-6,216.585,181.535,246.269,-93.094,0.063
12,CAGL_20098_A_II.tif:06129-00331,8.413E-6,217.925,174.264,247.329,-94.273,0.054
13,CAGL_20098_A_II.tif:06471-00318,8.125E-6,215.713,185.782,242.842,-94.255,0.052
14,CAGL_20098_A_II.tif:06790-00319,7.019E-6,192.266,166.553,213.034,-91.181,0.045
15,CAGL_20098_A_II.tif:07146-00333,1.022E-5,211.250,170.068,245.866,-91.216,0.066
16,CAGL_20098_A_II.tif:07697-00325,1.622E-5,192.706,145.268,213.100,-93.916,0.104
17,CAGL_20098_A_II.tif:08190-00296,7.451E-6,186.277,168.230,206.613,-96.504,0.048
18,CAGL_20098_A_II.tif:08462-00291,5.913E-6,194.141,179.139,211.446,-95.152,0.038
19,CAGL_20098_A_II.tif:08728-00296,6.730E-6,205.404,168.660,243.326,-95.751,0.043
20,CAGL_20098_A_II.tif:09030-00311,7.596E-6,204.000,176.185,244.988,-95.458,0.049
21,CAGL_20098_A_II.tif:09411-00326,1.084E-5,195.917,177.614,218.314,-95.609,0.070
22,CAGL_20098_A_II.tif:09954-00340,1.473E-5,190.678,158.436,216.106,-94.872,0.095
23,CAGL_20098_A_II.tif:10654-00347,1.906E-5,194.894,161.778,243.576,-93.910,0.123
24,CAGL_20098_A_II.tif:11487-00353,2.086E-5,191.755,166.928,216.331,-94.368,0.134
25,CAGL_20098_A_II.tif:12110-00375,8.894E-6,197.737,159.369,243.975,-97.164,0.057
26,CAGL_20098_A_II.tif:12569-00370,1.327E-5,188.502,167.285,208.879,-96.248,0.085
27,CAGL_20098_A_II.tif:13023-00388,8.173E-6,201.182,166.502,243.804,-98.130,0.053
28,CAGL_20098_A_II.tif:13451-00369,1.243E-5,194.871,165.700,230.454,-97.345,0.080
29,CAGL_20098_A_II.tif:13850-00333,6.971E-6,194.319,177.567,210.446,-98.354,0.045
30,CAGL_20098_A_II.tif:14134-00363,6.754E-6,197.358,172.357,241.782,-96.973,0.043
31,CAGL_20098_A_II.tif:14504-00362,1.115E-5,178.059,143.362,221.181,-94.456,0.072
32,CAGL_20098_A_II.tif:14990-00391,1.211E-5,155.432,114.386,243.279,-93.420,0.078
33,CAGL_20098_A_II.tif:15450-00400,9.975E-6,155.169,110.849,242.126,-92.766,0.064
34,CAGL_20098_A_II.tif:15904-00417,1.180E-5,143.182,112.279,214.981,-92.104,0.076
35,CAGL_20098_A_II.tif:16381-00422,1.098E-5,154.084,105.170,237.596,-92.010,0.071
36,CAGL_20098_A_II.tif:16787-00441,8.677E-6,155.811,105.333,243.917,-91.591,0.056
37,CAGL_20098_A_II.tif:17130-00451,7.572E-6,140.651,115.781,177.488,-91.824,0.049
38,CAGL_20098_A_II.tif:17400-00464,5.649E-6,153.459,127.667,177.778,-90.979,0.036
39,CAGL_20098_A_II.tif:17680-00475,7.860E-6,154.296,131.391,185.601,-92.459,0.051
40,CAGL_20098_A_II.tif:17959-00484,5.793E-6,148.402,124.867,176.333,-92.862,0.037
41,CAGL_20098_A_II.tif:18211-00496,6.490E-6,158.661,122.879,203.765,-94.268,0.042
42,CAGL_20098_A_II.tif:18496-00509,7.307E-6,164.874,116.062,207.883,-94.167,0.047
43,CAGL_20098_A_II.tif:18884-00509,1.154E-5,171.347,120.412,246.719,-94.069,0.074
44,CAGL_20098_A_II.tif:19357-00499,1.151E-5,160.542,117.800,246.187,-94.564,0.074
45,CAGL_20098_A_II.tif:19736-00497,6.634E-6,157.897,131.524,181.767,-93.759,0.043
46,CAGL_20098_A_II.tif:20092-00497,1.036E-5,151.873,125.064,192.738,-91.865,0.067
47,CAGL_20098_A_II.tif:20491-00505,8.894E-6,165.007,111.847,244.461,-93.421,0.057
48,CAGL_20098_A_II.tif:21045-00494,1.793E-5,134.973,110.984,218.333,-92.770,0.115
49,CAGL_20098_A_II.tif:21685-00480,1.305E-5,148.198,114.000,234.682,-94.658,0.084
50,CAGL_20098_A_II.tif:22117-00483,7.620E-6,143.197,112.498,196.591,-91.813,0.049
51,CAGL_20098_A_II.tif:22613-00496,1.647E-5,161.563,108.439,248.421,-91.005,0.106
52,CAGL_20098_A_II.tif:23164-00498,1.038E-5,135.634,111.180,170.291,-93.726,0.067
53,CAGL_20098_A_II.tif:23658-00488,1.336E-5,152.772,113.510,244.520,-93.718,0.086
54,CAGL_20098_A_II.tif:24205-00481,1.322E-5,145.418,109.049,241.332,-92.716,0.085
55,CAGL_20098_A_II.tif:24680-00473,9.903E-6,132.036,106.927,167.967,-94.741,0.064
56,CAGL_20098_A_II.tif:25049-00486,7.764E-6,180.543,117.395,244.611,-95.711,0.050
57,CAGL_20098_A_II.tif:25362-00492,7.211E-6,130.057,102.098,160.939,-94.604,0.046
58,CAGL_20098_A_II.tif:25642-00492,6.274E-6,167.525,118.006,238.221,-96.194,0.040
59,CAGL_20098_A_II.tif:26000-00476,1.091E-5,146.215,112.562,238.678,-96.089,0.070
60,CAGL_20098_A_II.tif:26470-00479,1.125E-5,158.547,107.087,242.707,-96.638,0.072
61,CAGL_20098_A_II.tif:26917-00461,9.975E-6,137.515,104.024,193.214,-97.503,0.064
62,CAGL_20098_A_II.tif:27336-00476,9.495E-6,157.548,114.471,239.008,-95.826,0.061
63,CAGL_20098_A_II.tif:27797-00476,1.233E-5,151.215,102.333,243.328,-98.542,0.079
64,CAGL_20098_A_II.tif:28370-00429,1.488E-5,149.070,109.509,242.252,-97.999,0.096
65,CAGL_20098_A_II.tif:28893-00425,1.007E-5,156.252,107.696,242.058,-97.431,0.065
66,CAGL_20098_A_II.tif:29289-00402,9.062E-6,146.984,103.932,236.482,-95.498,0.058
67,CAGL_20098_A_II.tif:29675-00408,9.158E-6,153.200,98.474,244.098,-95.440,0.059
68,CAGL_20098_A_II.tif:30004-00418,6.346E-6,145.933,112.606,189.599,-98.746,0.041
69,CAGL_20098_A_II.tif:30307-00419,7.740E-6,155.434,109.833,233.184,-98.231,0.050
70,CAGL_20098_A_II.tif:30627-00398,7.355E-6,161.193,104.676,243.721,-97.545,0.047
