 ,Label,Area,Mean,Min,Max,Angle,Length
1,CAGL_2019_R_I.tif:01775-00488,5.096E-6,174.261,158.746,197.821,-88.371,0.033
2,CAGL_2019_R_I.tif:01994-00512,5.649E-6,185.202,168.009,221.325,-86.576,0.036
3,CAGL_2019_R_I.tif:02200-00507,4.110E-6,173.302,126.598,223.029,-87.642,0.026
4,CAGL_2019_R_I.tif:02390-00522,5.072E-6,187.120,167.133,208.222,-88.091,0.033
5,CAGL_2019_R_I.tif:02635-00511,6.827E-6,180.923,146.949,207.855,-89.190,0.044
6,CAGL_2019_R_I.tif:02903-00529,5.985E-6,177.506,148.922,200.450,-91.155,0.038
7,CAGL_2019_R_I.tif:03189-00543,7.740E-6,171.458,148.224,195.103,-91.428,0.050
8,CAGL_2019_R_I.tif:03478-00550,6.105E-6,186.855,166.809,224.382,-91.811,0.039
9,CAGL_2019_R_I.tif:03865-00522,1.252E-5,180.465,154.674,233.051,-88.788,0.081
10,CAGL_2019_R_I.tif:04218-00537,4.519E-6,161.215,136.934,194.718,-90.919,0.029
11,CAGL_2019_R_I.tif:04437-00549,6.202E-6,162.051,137.455,183.397,-90.669,0.040
12,CAGL_2019_R_I.tif:04655-00560,4.327E-6,175.609,144.667,205.000,-90.000,0.028
13,CAGL_2019_R_I.tif:04820-00572,3.509E-6,172.495,156.000,195.333,-90.000,0.022
14,CAGL_2019_R_I.tif:04940-00581,2.284E-6,171.972,153.000,196.333,-90.000,0.015
15,CAGL_2019_R_I.tif:05068-00593,3.846E-6,170.940,153.799,206.495,-87.479,0.025
16,CAGL_2019_R_I.tif:05202-00605,2.596E-6,162.897,141.710,203.667,-90.535,0.017
17,CAGL_2019_R_I.tif:05320-00620,3.125E-6,170.034,158.207,182.217,-90.444,0.020
18,CAGL_2019_R_I.tif:05464-00635,3.726E-6,172.207,151.212,193.667,-91.488,0.024
19,CAGL_2019_R_I.tif:05723-00629,8.749E-6,175.671,155.140,235.532,-88.107,0.056
20,CAGL_2019_R_I.tif:06182-00657,1.348E-5,170.112,136.046,197.310,-87.542,0.087
21,CAGL_2019_R_I.tif:06598-00669,6.514E-6,158.490,116.068,184.807,-83.191,0.042
