 ,Label,Area,Mean,Min,Max,Angle,Length
1,CAGL_2019_R_II_guides.tif:05098-01154,6.652E-6,146.710,86.621,173.449,-101.035,0.057
2,CAGL_2019_R_II_guides.tif:05475-01124,3.569E-6,150.077,127.348,162.577,-103.614,0.031
3,CAGL_2019_R_II_guides.tif:05792-01113,4.827E-6,151.265,126.899,168.729,-100.362,0.041
4,CAGL_2019_R_II_guides.tif:06733-01042,6.733E-6,156.246,134.581,185.500,-100.790,0.058
5,CAGL_2019_R_II_guides.tif:06728-01013,7.274E-6,148.119,119.863,174.536,-99.427,0.062
6,CAGL_2019_R_II_guides.tif:07212-01010,5.800E-6,154.793,129.000,176.776,-96.163,0.050
7,CAGL_2019_R_II_guides.tif:07640-01001,5.692E-6,157.018,130.576,180.355,-99.328,0.049
8,CAGL_2019_R_II_guides.tif:08037-00988,4.867E-6,156.004,135.918,178.945,-97.995,0.042
9,CAGL_2019_R_II_guides.tif:08485-00949,7.409E-6,160.691,139.469,177.588,-95.877,0.064
10,CAGL_2019_R_II_guides.tif:08971-00930,5.544E-6,159.989,148.112,176.525,-94.205,0.048
11,CAGL_2019_R_II_guides.tif:09428-00910,6.896E-6,155.904,132.348,175.756,-96.092,0.059
12,CAGL_2019_R_II_guides.tif:09819-00885,3.745E-6,149.924,125.970,166.616,-97.074,0.032
13,CAGL_2019_R_II_guides.tif:10102-00873,3.975E-6,158.786,145.336,173.863,-94.309,0.034
14,CAGL_2019_R_II_guides.tif:10448-00834,5.557E-6,151.698,128.814,172.117,-95.599,0.048
15,CAGL_2019_R_II_guides.tif:10814-00845,4.043E-6,159.584,148.816,170.259,-95.787,0.035
16,CAGL_2019_R_II_guides.tif:11131-00831,4.489E-6,149.346,112.875,167.669,-95.194,0.039
17,CAGL_2019_R_II_guides.tif:11410-00824,3.056E-6,159.096,149.080,167.866,-96.116,0.026
18,CAGL_2019_R_II_guides.tif:11640-00822,3.056E-6,150.650,128.761,170.448,-96.116,0.026
19,CAGL_2019_R_II_guides.tif:11879-00829,3.286E-6,158.668,145.154,167.672,-92.366,0.028
20,CAGL_2019_R_II_guides.tif:12135-00832,3.718E-6,150.014,99.827,170.061,-93.342,0.032
21,CAGL_2019_R_II_guides.tif:12440-00834,4.246E-6,162.334,146.616,172.630,-92.196,0.036
22,CAGL_2019_R_II_guides.tif:12781-00820,5.206E-6,151.219,103.794,172.925,-94.627,0.045
23,CAGL_2019_R_II_guides.tif:13161-00793,5.138E-6,155.490,123.192,175.278,-95.605,0.044
24,CAGL_2019_R_II_guides.tif:13553-00778,5.408E-6,159.721,141.084,177.898,-97.481,0.046
