 ,Label,Area,Mean,Min,Max,Angle,Length
1,CAGL_2019_S_I.tif:02030-01091,5.557E-6,167.854,150.734,187.460,-84.401,0.048
2,CAGL_2019_S_I.tif:02368-01146,3.759E-6,167.049,146.461,181.492,-84.618,0.032
3,CAGL_2019_S_I.tif:02729-01157,5.909E-6,163.507,145.899,186.411,-84.211,0.051
4,CAGL_2019_S_I.tif:03182-01216,6.301E-6,161.997,135.567,186.830,-85.809,0.054
5,CAGL_2019_S_I.tif:03642-01217,5.868E-6,159.957,143.008,185.413,-85.764,0.050
6,CAGL_2019_S_I.tif:04104-01214,6.571E-6,161.106,142.928,180.297,-85.982,0.056
7,CAGL_2019_S_I.tif:04598-01229,6.896E-6,156.561,104.359,173.915,-86.396,0.059
8,CAGL_2019_S_I.tif:05176-01244,8.789E-6,161.860,140.840,185.839,-86.468,0.075
9,CAGL_2019_S_I.tif:05756-01308,7.085E-6,158.417,81.724,182.968,-84.289,0.061
10,CAGL_2019_S_I.tif:06374-01327,9.451E-6,162.728,137.054,192.026,-86.219,0.081
11,CAGL_2019_S_I.tif:07075-01335,9.221E-6,169.547,146.393,191.840,-84.943,0.079
12,CAGL_2019_S_I.tif:07823-01275,1.080E-5,158.934,136.621,188.762,-84.247,0.093
13,CAGL_2019_S_I.tif:08468-01239,5.773E-6,165.672,148.109,190.595,-84.075,0.050
14,CAGL_2019_S_I.tif:08816-01259,3.664E-6,166.779,142.818,198.720,-83.191,0.031
15,CAGL_2019_S_I.tif:09157-01275,5.489E-6,158.311,134.246,174.267,-83.191,0.047
16,CAGL_2019_S_I.tif:09646-01348,7.788E-6,155.958,125.094,202.013,-84.210,0.067
17,CAGL_2019_S_I.tif:10233-01374,8.058E-6,145.817,128.299,172.559,-82.278,0.069
18,CAGL_2019_S_I.tif:10716-01390,4.867E-6,157.047,135.470,173.174,-82.321,0.042
19,CAGL_2019_S_I.tif:11108-01407,5.462E-6,160.255,142.820,187.954,-82.875,0.047
20,CAGL_2019_S_I.tif:11615-01456,8.302E-6,162.799,138.296,187.612,-81.368,0.071
21,CAGL_2019_S_I.tif:12286-01498,9.397E-6,158.120,138.750,175.294,-78.366,0.081
22,CAGL_2019_S_I.tif:13152-01362,1.259E-5,164.637,138.249,186.040,-80.213,0.108
23,CAGL_2019_S_I.tif:13980-01417,9.546E-6,153.851,134.449,185.135,-81.019,0.082
24,CAGL_2019_S_I.tif:14649-01496,8.734E-6,151.994,131.792,184.876,-79.632,0.075
