 ,Label,Area,Mean,Min,Max,Angle,Length
1,CAGL_6990_A_I.tif:00818-00846,7.626E-6,156.537,132.536,185.368,-98.994,0.065
2,CAGL_6990_A_I.tif:01403-00811,8.099E-6,165.121,143.504,186.010,-94.604,0.070
3,CAGL_6990_A_I.tif:01910-00807,5.395E-6,158.919,146.206,180.074,-93.603,0.046
4,CAGL_6990_A_I.tif:02321-00807,5.584E-6,149.317,121.595,180.845,-91.668,0.048
5,CAGL_6990_A_I.tif:02742-00812,5.895E-6,153.338,117.805,195.899,-91.580,0.051
6,CAGL_6990_A_I.tif:03186-00791,6.003E-6,157.127,128.333,180.884,-91.164,0.052
7,CAGL_6990_A_I.tif:03639-00809,6.247E-6,171.320,150.542,194.920,-89.379,0.054
8,CAGL_6990_A_I.tif:04145-00785,7.436E-6,159.172,135.756,192.067,-91.356,0.064
9,CAGL_6990_A_I.tif:04676-00804,6.842E-6,160.986,141.271,174.613,-88.525,0.059
10,CAGL_6990_A_I.tif:05306-00779,1.022E-5,154.545,127.333,180.333,-90.000,0.088
11,CAGL_6990_A_I.tif:05999-00813,8.518E-6,162.944,132.381,186.423,-86.628,0.073
12,CAGL_6990_A_I.tif:06638-00839,8.775E-6,159.796,128.269,192.365,-86.374,0.075
13,CAGL_6990_A_I.tif:07256-00866,7.910E-6,169.775,151.076,196.923,-83.021,0.068
14,CAGL_6990_A_I.tif:07761-00878,5.638E-6,157.908,130.280,190.614,-82.260,0.048
15,CAGL_6990_A_I.tif:08119-00896,4.043E-6,159.998,139.972,178.000,-85.188,0.035
16,CAGL_6990_A_I.tif:08463-00927,5.327E-6,172.802,142.675,196.454,-76.776,0.046
17,CAGL_6990_A_I.tif:08878-00901,5.625E-6,160.757,132.013,194.197,-76.902,0.048
18,CAGL_6990_A_I.tif:09263-00929,4.543E-6,160.735,120.944,181.699,-74.970,0.039
19,CAGL_6990_A_I.tif:09563-00901,2.907E-6,169.113,158.883,187.000,-76.744,0.025
20,CAGL_6990_A_I.tif:09816-00930,3.894E-6,166.176,131.498,190.794,-77.710,0.033
21,CAGL_6990_A_I.tif:10110-00953,3.948E-6,159.554,142.852,179.823,-78.111,0.034
22,CAGL_6990_A_I.tif:10483-00998,6.409E-6,155.504,113.244,176.645,-79.403,0.055
23,CAGL_6990_A_I.tif:10945-00953,5.516E-6,157.724,136.345,180.584,-78.524,0.047
24,CAGL_6990_A_I.tif:11467-01055,8.829E-6,157.740,129.195,178.508,-81.795,0.076
25,CAGL_6990_A_I.tif:12119-01103,8.856E-6,153.688,126.694,185.104,-82.353,0.076
26,CAGL_6990_A_I.tif:12706-01083,6.598E-6,150.884,130.311,172.339,-82.219,0.057
27,CAGL_6990_A_I.tif:13256-01119,8.261E-6,161.462,126.643,191.717,-83.224,0.071
28,CAGL_6990_A_I.tif:13813-01127,6.693E-6,155.365,129.393,182.835,-81.968,0.057
29,CAGL_6990_A_I.tif:14327-01128,7.166E-6,162.569,129.343,192.824,-80.858,0.061
30,CAGL_6990_A_I.tif:14782-01146,4.881E-6,148.605,127.236,171.651,-82.342,0.042
31,CAGL_6990_A_I.tif:15215-01119,6.531E-6,156.057,131.939,181.458,-79.249,0.056
32,CAGL_6990_A_I.tif:15734-01146,7.315E-6,143.959,124.599,199.333,-77.816,0.063
33,CAGL_6990_A_I.tif:16273-01230,7.369E-6,154.156,125.508,190.280,-77.266,0.063
34,CAGL_6990_A_I.tif:16862-01178,7.288E-6,154.192,133.084,189.132,-76.119,0.063
35,CAGL_6990_A_I.tif:17680-01011,1.220E-5,153.364,128.516,179.068,-74.159,0.105
36,CAGL_6990_A_I.tif:18643-01100,1.345E-5,145.133,123.013,186.281,-78.690,0.116
37,CAGL_6990_A_I.tif:19639-01158,1.295E-5,142.162,119.729,180.919,-80.981,0.111
38,CAGL_6990_A_I.tif:20518-01085,9.681E-6,155.166,126.651,188.645,-80.340,0.083
