 ,Label,Area,Mean,Min,Max,Angle,Length
1,CAOV_12907_I_I.tif:04636-00858,1.800E-5,154.984,134.740,185.408,-72.137,0.155
2,CAOV_12907_I_I.tif:05752-01016,1.138E-5,159.049,139.588,193.453,-71.500,0.098
3,CAOV_12907_I_I.tif:06594-01097,1.030E-5,147.819,55.690,174.825,-71.851,0.088
4,CAOV_12907_I_I.tif:07248-01121,5.909E-6,161.981,127.185,190.359,-72.810,0.051
5,CAOV_12907_I_I.tif:07819-01166,8.680E-6,157.332,129.158,191.799,-74.533,0.075
6,CAOV_12907_I_I.tif:08422-01161,6.098E-6,165.830,136.094,195.854,-73.740,0.052
7,CAOV_12907_I_I.tif:08955-01128,7.071E-6,164.996,146.319,186.892,-76.044,0.061
8,CAOV_12907_I_I.tif:09420-01170,5.192E-6,164.233,90.402,182.564,-74.548,0.045
9,CAOV_12907_I_I.tif:09897-01097,6.517E-6,162.155,143.736,185.934,-78.130,0.056
10,CAOV_12907_I_I.tif:09897-01097,6.517E-6,162.155,143.736,185.934,-78.130,0.056
11,CAOV_12907_I_I.tif:10398-01128,6.923E-6,161.993,143.049,187.444,-78.492,0.059
12,CAOV_12907_I_I.tif:10894-01161,6.152E-6,158.590,138.447,179.567,-77.800,0.053
13,CAOV_12907_I_I.tif:11407-01193,7.518E-6,162.097,134.322,186.667,-76.564,0.065
14,CAOV_12907_I_I.tif:12009-01211,8.234E-6,161.645,134.919,203.880,-76.581,0.071
15,CAOV_12907_I_I.tif:12565-01299,6.869E-6,160.415,132.213,187.269,-79.089,0.059
16,CAOV_12907_I_I.tif:13095-01241,6.801E-6,157.397,136.013,180.794,-80.707,0.058
17,CAOV_12907_I_I.tif:13587-01235,6.341E-6,166.497,142.938,187.563,-78.546,0.054
18,CAOV_12907_I_I.tif:14074-01218,6.341E-6,165.680,145.561,191.266,-81.142,0.054
19,CAOV_12907_I_I.tif:14500-01227,5.043E-6,171.184,123.959,197.282,-79.778,0.043
