 ,Label,Area,Mean,Min,Max,Angle,Length
1,CAOV_12907_N_I.tif:00468-00783,3.853E-6,161.853,140.667,181.634,-76.551,0.033
2,CAOV_12907_N_I.tif:00830-00844,6.017E-6,164.713,132.302,201.057,-76.590,0.052
3,CAOV_12907_N_I.tif:01244-00878,4.895E-6,151.209,133.262,171.969,-77.041,0.042
4,CAOV_12907_N_I.tif:01685-00934,7.017E-6,160.204,136.245,194.993,-78.647,0.060
5,CAOV_12907_N_I.tif:02137-01003,5.327E-6,164.972,135.906,198.351,-76.459,0.046
6,CAOV_12907_N_I.tif:02539-01041,5.233E-6,160.343,141.041,183.488,-78.632,0.045
7,CAOV_12907_N_I.tif:02954-01036,5.138E-6,163.528,141.161,195.245,-76.404,0.044
8,CAOV_12907_N_I.tif:03408-01054,6.436E-6,164.651,137.312,182.960,-76.870,0.055
9,CAOV_12907_N_I.tif:03854-01109,5.584E-6,162.567,133.598,201.979,-77.682,0.048
10,CAOV_12907_N_I.tif:04433-01085,8.910E-6,158.675,137.437,192.927,-76.640,0.076
11,CAOV_12907_N_I.tif:04964-01108,4.557E-6,160.802,140.410,181.263,-74.640,0.039
12,CAOV_12907_N_I.tif:05424-01090,6.787E-6,167.340,140.144,200.852,-73.301,0.058
13,CAOV_12907_N_I.tif:05907-01144,5.936E-6,172.106,149.220,198.825,-76.789,0.051
14,CAOV_12907_N_I.tif:06352-01187,5.990E-6,167.385,134.386,203.041,-75.586,0.051
15,CAOV_12907_N_I.tif:06828-01112,5.530E-6,170.959,146.473,194.458,-76.953,0.047
16,CAOV_12907_N_I.tif:07191-01143,4.124E-6,168.098,157.264,191.387,-74.365,0.035
17,CAOV_12907_N_I.tif:07562-01094,4.854E-6,157.364,135.542,188.887,-73.439,0.042
18,CAOV_12907_N_I.tif:07880-01138,3.840E-6,175.089,150.212,195.850,-75.669,0.033
19,CAOV_12907_N_I.tif:08242-01112,5.070E-6,172.323,143.782,208.953,-76.075,0.043
20,CAOV_12907_N_I.tif:08612-01166,4.895E-6,156.893,138.850,184.219,-76.887,0.042
21,CAOV_12907_N_I.tif:09032-01186,5.827E-6,161.597,133.926,192.947,-75.576,0.050
22,CAOV_12907_N_I.tif:09475-01228,5.990E-6,159.681,139.839,190.617,-75.586,0.051
23,CAOV_12907_N_I.tif:09975-01209,6.436E-6,152.456,129.866,168.451,-76.870,0.055
24,CAOV_12907_N_I.tif:10468-01256,6.598E-6,163.677,135.935,204.828,-76.591,0.057
25,CAOV_12907_N_I.tif:11048-01217,8.234E-6,162.680,142.494,201.226,-77.747,0.071
26,CAOV_12907_N_I.tif:11708-01164,8.559E-6,161.191,142.846,192.395,-77.943,0.073
27,CAOV_12907_N_I.tif:12415-01178,1.002E-5,159.465,138.582,196.346,-79.965,0.086
28,CAOV_12907_N_I.tif:13061-01161,7.098E-6,147.116,130.486,183.617,-80.106,0.061
29,CAOV_12907_N_I.tif:13577-01188,6.517E-6,151.490,124.891,185.649,-79.951,0.056
30,CAOV_12907_N_I.tif:14071-01133,6.706E-6,159.434,135.933,197.753,-81.280,0.058
31,CAOV_12907_N_I.tif:14509-01176,5.097E-6,170.980,149.156,200.559,-78.959,0.044
32,CAOV_12907_N_I.tif:14972-01217,7.477E-6,154.688,139.169,175.702,-81.562,0.064
33,CAOV_12907_N_I.tif:15458-01232,5.408E-6,168.103,146.645,200.701,-82.661,0.046
34,CAOV_12907_N_I.tif:15866-01232,5.327E-6,155.223,140.517,174.753,-82.550,0.046
35,CAOV_12907_N_I.tif:16312-01235,6.193E-6,154.021,136.751,168.762,-82.082,0.053
36,CAOV_12907_N_I.tif:16763-01203,5.855E-6,156.367,121.954,183.302,-80.407,0.050
37,CAOV_12907_N_I.tif:17216-01224,6.274E-6,163.336,135.594,195.432,-80.293,0.054
38,CAOV_12907_N_I.tif:17609-01211,3.475E-6,154.359,142.814,166.798,-79.875,0.030
39,CAOV_12907_N_I.tif:17941-01088,5.057E-6,162.993,152.431,175.334,-82.131,0.043
40,CAOV_12907_N_I.tif:18307-01113,4.840E-6,168.539,147.414,197.875,-79.351,0.042
41,CAOV_12907_N_I.tif:18650-01113,4.232E-6,170.028,132.204,202.169,-78.906,0.036
42,CAOV_12907_N_I.tif:18977-01130,4.786E-6,171.276,141.988,198.882,-80.698,0.041
43,CAOV_12907_N_I.tif:19343-01161,5.057E-6,161.202,149.736,175.215,-78.871,0.043
44,CAOV_12907_N_I.tif:19675-01172,3.610E-6,165.604,143.941,199.881,-78.944,0.031
45,CAOV_12907_N_I.tif:19996-01158,5.030E-6,162.155,144.949,191.253,-77.873,0.043
46,CAOV_12907_N_I.tif:20347-01166,3.786E-6,167.802,148.306,196.418,-78.207,0.032
47,CAOV_12907_N_I.tif:20641-01134,3.651E-6,156.376,138.762,187.379,-82.321,0.031
48,CAOV_12907_N_I.tif:20890-01193,3.218E-6,178.695,153.346,204.304,-86.379,0.028
49,CAOV_12907_N_I.tif:21152-01229,3.826E-6,153.476,134.897,169.890,-88.172,0.033
50,CAOV_12907_N_I.tif:21380-01197,2.528E-6,168.661,151.333,189.333,-90.000,0.022
51,CAOV_12907_N_I.tif:21553-01229,2.001E-6,164.183,147.762,188.422,-88.831,0.017
52,CAOV_12907_N_I.tif:21697-01209,1.839E-6,158.797,146.281,174.333,-87.455,0.016
53,CAOV_12907_N_I.tif:21888-01233,3.245E-6,173.833,148.713,198.128,-87.126,0.028
54,CAOV_12907_N_I.tif:22123-01218,3.177E-6,165.622,143.859,193.410,-89.265,0.027
55,CAOV_12907_N_I.tif:22360-01238,3.353E-6,175.502,145.074,198.726,-91.160,0.029
56,CAOV_12907_N_I.tif:22608-01249,3.367E-6,172.270,142.828,201.634,-89.076,0.029
57,CAOV_12907_N_I.tif:22875-01232,3.799E-6,154.222,132.000,170.200,-91.637,0.033
58,CAOV_12907_N_I.tif:23199-01244,4.976E-6,167.000,147.175,196.085,-89.376,0.043
59,CAOV_12907_N_I.tif:23560-01235,4.773E-6,167.891,133.106,198.417,-87.722,0.041
60,CAOV_12907_N_I.tif:23828-01225,2.488E-6,169.852,132.248,199.333,-88.748,0.021
