 ,Label,Area,Mean,Min,Max,Angle,Length
1,CAOV_12907_N_II.tif:00615-00921,3.745E-6,157.978,137.194,167.171,-96.661,0.032
2,CAOV_12907_N_II.tif:00935-00905,5.003E-6,158.637,90.188,180.949,-96.855,0.043
3,CAOV_12907_N_II.tif:01253-00886,3.583E-6,152.532,138.978,169.667,-97.394,0.031
4,CAOV_12907_N_II.tif:01594-00870,5.841E-6,153.178,135.510,166.244,-97.191,0.050
5,CAOV_12907_N_II.tif:01952-00809,4.110E-6,154.268,143.695,173.202,-97.595,0.035
6,CAOV_12907_N_II.tif:02279-00830,4.557E-6,153.911,139.704,170.677,-96.152,0.039
7,CAOV_12907_N_II.tif:02600-00819,4.218E-6,129.034,48.563,171.612,-97.765,0.036
8,CAOV_12907_N_II.tif:02981-00792,5.990E-6,141.473,72.538,172.815,-97.800,0.051
9,CAOV_12907_N_II.tif:03386-00813,4.665E-6,159.504,138.205,179.378,-98.366,0.040
10,CAOV_12907_N_II.tif:03895-00841,8.180E-6,156.190,141.303,171.860,-94.370,0.070
11,CAOV_12907_N_II.tif:04389-00825,5.300E-6,155.213,135.189,177.649,-93.814,0.045
12,CAOV_12907_N_II.tif:04862-00877,7.017E-6,149.276,122.429,169.326,-94.653,0.060
13,CAOV_12907_N_II.tif:05371-00860,6.814E-6,152.624,132.324,173.557,-94.102,0.059
14,CAOV_12907_N_II.tif:05888-00850,7.166E-6,158.269,135.280,178.088,-93.900,0.062
15,CAOV_12907_N_II.tif:06582-00842,1.165E-5,145.396,115.493,166.664,-92.397,0.100
16,CAOV_12907_N_II.tif:07265-00792,6.923E-6,147.010,116.758,173.308,-93.590,0.059
17,CAOV_12907_N_II.tif:08227-00802,1.904E-5,147.207,91.341,175.019,-94.892,0.164
18,CAOV_12907_N_II.tif:09211-00761,7.680E-6,144.694,116.576,220.770,-92.832,0.066
19,CAOV_12907_N_II.tif:09977-00759,1.302E-5,148.300,125.982,171.917,-91.191,0.112
20,CAOV_12907_N_II.tif:10886-00800,1.153E-5,145.726,126.164,177.081,-88.252,0.099
21,CAOV_12907_N_II.tif:11681-00838,1.005E-5,146.159,114.883,178.642,-88.302,0.086
22,CAOV_12907_N_II.tif:12404-00890,9.654E-6,147.429,111.285,167.824,-87.587,0.083
23,CAOV_12907_N_II.tif:13056-00935,8.031E-6,145.201,130.470,165.333,-87.292,0.069
24,CAOV_12907_N_II.tif:13666-00986,8.572E-6,148.907,129.746,179.494,-86.198,0.074
25,CAOV_12907_N_II.tif:14278-01058,8.004E-6,149.684,99.078,168.480,-83.981,0.069
26,CAOV_12907_N_II.tif:14815-01069,6.612E-6,151.342,131.188,180.842,-84.359,0.057
27,CAOV_12907_N_II.tif:15255-01091,5.300E-6,158.340,140.281,178.875,-85.309,0.046
28,CAOV_12907_N_II.tif:15629-01143,4.895E-6,135.943,88.996,165.269,-82.993,0.042
29,CAOV_12907_N_II.tif:16011-01124,5.503E-6,152.066,137.669,161.524,-82.349,0.047
30,CAOV_12907_N_II.tif:16454-01157,6.436E-6,147.198,111.101,189.437,-83.234,0.055
31,CAOV_12907_N_II.tif:16919-01141,6.111E-6,143.616,107.311,162.333,-85.426,0.052
32,CAOV_12907_N_II.tif:17504-01196,9.708E-6,148.402,127.834,165.944,-87.281,0.083
33,CAOV_12907_N_II.tif:18133-01208,7.450E-6,151.831,128.560,168.133,-87.709,0.064
34,CAOV_12907_N_II.tif:18692-01189,7.599E-6,148.710,125.866,165.640,-86.730,0.065
35,CAOV_12907_N_II.tif:19293-01174,8.964E-6,146.451,123.723,166.983,-88.442,0.077
36,CAOV_12907_N_II.tif:19951-01172,8.802E-6,145.742,113.289,173.113,-88.414,0.076
37,CAOV_12907_N_II.tif:20563-01156,7.612E-6,142.790,130.345,157.744,-88.573,0.065
38,CAOV_12907_N_II.tif:20983-01143,3.718E-6,149.207,126.370,169.640,-89.164,0.032
39,CAOV_12907_N_II.tif:21261-01122,3.880E-6,146.440,119.000,163.333,-90.000,0.033
40,CAOV_12907_N_II.tif:21579-01139,4.692E-6,147.792,102.048,166.191,-89.007,0.040
41,CAOV_12907_N_II.tif:21865-01120,3.015E-6,154.097,137.000,168.000,-90.000,0.026
42,CAOV_12907_N_II.tif:22084-01143,3.042E-6,132.802,97.333,164.000,-88.466,0.026
43,CAOV_12907_N_II.tif:22298-01092,2.664E-6,147.611,107.333,172.000,-90.000,0.023
44,CAOV_12907_N_II.tif:22470-01115,1.961E-6,130.296,92.000,162.014,-92.386,0.017
45,CAOV_12907_N_II.tif:22622-01132,2.231E-6,157.780,132.756,165.805,-91.397,0.019
46,CAOV_12907_N_II.tif:22787-01156,2.366E-6,138.143,96.613,163.671,-91.317,0.020
47,CAOV_12907_N_II.tif:22946-01168,1.961E-6,154.720,131.537,171.333,-90.796,0.017
48,CAOV_12907_N_II.tif:23107-01165,2.312E-6,156.909,143.059,165.078,-91.348,0.020
49,CAOV_12907_N_II.tif:23293-01147,2.853E-6,137.583,98.000,164.000,-90.000,0.024
50,CAOV_12907_N_II.tif:23470-01164,2.015E-6,133.374,92.342,161.000,-90.774,0.017
51,CAOV_12907_N_II.tif:23616-01144,1.961E-6,155.208,144.278,170.125,-90.796,0.017
52,CAOV_12907_N_II.tif:23777-01168,2.582E-6,136.396,97.000,165.000,-90.000,0.022
53,CAOV_12907_N_II.tif:24009-01148,3.610E-6,148.421,136.203,161.261,-90.862,0.031
54,CAOV_12907_N_II.tif:24283-01166,3.718E-6,153.292,139.691,164.905,-89.164,0.032
55,CAOV_12907_N_II.tif:24562-01144,3.908E-6,139.167,93.000,166.167,-88.409,0.034
56,CAOV_12907_N_II.tif:24878-01178,4.949E-6,146.497,115.686,163.204,-85.601,0.042
57,CAOV_12907_N_II.tif:25248-01178,5.003E-6,147.933,124.708,170.168,-85.030,0.043
58,CAOV_12907_N_II.tif:25662-01226,6.301E-6,136.293,97.216,169.492,-86.055,0.054
59,CAOV_12907_N_II.tif:26169-01216,7.396E-6,134.570,103.502,162.392,-89.161,0.063
60,CAOV_12907_N_II.tif:26605-01241,4.529E-6,137.425,116.958,161.281,-88.971,0.039
