 ,Label,Area,Mean,Min,Max,Angle,Length
1,PODE_16611_J_I.tif:03007-00448,7.288E-6,174.074,148.553,196.140,-85.307,0.063
2,PODE_16611_J_I.tif:03599-00474,8.667E-6,173.168,152.191,198.181,-85.251,0.074
3,PODE_16611_J_I.tif:04131-00482,5.665E-6,174.636,146.670,202.132,-88.219,0.049
4,PODE_16611_J_I.tif:04882-00447,1.459E-5,170.508,148.332,194.296,-90.531,0.125
5,PODE_16611_J_I.tif:05608-00461,5.097E-6,172.332,153.313,190.116,-89.238,0.044
6,PODE_16611_J_I.tif:06151-00475,9.559E-6,165.917,136.392,193.708,-90.243,0.082
7,PODE_16611_J_I.tif:06750-00451,6.625E-6,167.301,147.333,195.333,-90.000,0.057
8,PODE_16611_J_I.tif:07302-00458,8.356E-6,166.928,149.033,187.328,-91.764,0.072
9,PODE_16611_J_I.tif:07876-00479,7.058E-6,164.054,142.499,187.668,-94.180,0.061
10,PODE_16611_J_I.tif:08560-00459,1.145E-5,141.441,97.203,181.859,-92.845,0.098
11,PODE_16611_J_I.tif:09441-00475,1.216E-5,131.825,99.599,170.890,-94.536,0.104
12,PODE_16611_J_I.tif:10217-00521,8.640E-6,138.433,101.877,176.371,-97.203,0.074
13,PODE_16611_J_I.tif:10686-00535,3.569E-6,116.427,87.730,148.013,-98.961,0.031
14,PODE_16611_J_I.tif:11038-00526,5.827E-6,94.091,73.494,123.737,-97.885,0.050
15,PODE_16611_J_I.tif:11435-00509,4.759E-6,116.470,85.370,147.001,-96.882,0.041
16,PODE_16611_J_I.tif:11765-00563,3.664E-6,134.049,111.333,162.536,-97.230,0.031
17,PODE_16611_J_I.tif:12071-00561,4.732E-6,143.092,109.630,177.052,-96.086,0.041
18,PODE_16611_J_I.tif:12482-00531,6.544E-6,129.842,80.085,160.303,-96.065,0.056
19,PODE_16611_J_I.tif:13112-00482,1.064E-5,138.832,101.753,182.417,-94.745,0.091
20,PODE_16611_J_I.tif:13838-00496,8.937E-6,135.251,106.020,167.052,-91.128,0.077
21,PODE_16611_J_I.tif:14397-00532,6.152E-6,134.412,102.492,164.352,-86.841,0.053
22,PODE_16611_J_I.tif:14876-00547,6.896E-6,132.084,114.036,156.022,-85.946,0.059
23,PODE_16611_J_I.tif:15351-00555,6.071E-6,135.374,99.042,170.558,-95.125,0.052
24,PODE_16611_J_I.tif:16050-00587,1.251E-5,135.490,95.324,171.486,-94.408,0.107
