 ,Label,Area,Mean,Min,Max,Angle,Length
1,PODE_16611_K_I.tif:03334-00526,3.339E-5,215.176,180.275,245.605,-96.121,0.215
2,PODE_16611_K_I.tif:04438-00466,1.978E-5,209.143,176.739,242.647,-94.185,0.127
3,PODE_16611_K_I.tif:05048-00458,9.495E-6,199.031,168.366,220.546,-95.247,0.061
4,PODE_16611_K_I.tif:05470-00472,1.070E-5,194.199,171.369,215.550,-92.064,0.069
5,PODE_16611_K_I.tif:06000-00494,1.483E-5,186.556,144.732,232.152,-91.116,0.096
6,PODE_16611_K_I.tif:06790-00442,2.300E-5,156.112,81.982,223.841,-90.240,0.148
7,PODE_16611_K_I.tif:07766-00472,2.416E-5,153.478,105.234,197.471,-90.457,0.156
8,PODE_16611_K_I.tif:08736-00476,2.274E-5,172.248,123.822,235.722,-91.941,0.146
9,PODE_16611_K_I.tif:09658-00412,2.127E-5,177.697,141.501,222.100,-91.555,0.137
10,PODE_16611_K_I.tif:10426-00426,1.591E-5,179.738,157.175,210.196,-92.429,0.102
11,PODE_16611_K_I.tif:11330-00448,3.300E-5,191.458,154.411,225.811,-90.501,0.213
12,PODE_16611_K_I.tif:12704-00461,2.738E-5,173.386,93.602,216.521,-89.899,0.176
13,PODE_16611_K_I.tif:13577-00480,1.464E-5,174.672,135.092,203.193,-90.754,0.094
14,PODE_16611_K_I.tif:14100-00499,1.046E-5,167.708,134.667,207.691,-90.264,0.067
15,PODE_16611_K_I.tif:14528-00483,1.007E-5,169.805,108.915,208.474,-90.274,0.065
16,PODE_16611_K_I.tif:15206-00484,2.231E-5,143.534,61.778,230.841,-92.473,0.144
17,PODE_16611_K_I.tif:15867-00424,9.543E-6,144.955,94.545,182.000,-91.736,0.061
18,PODE_16611_K_I.tif:16256-00399,9.014E-6,172.359,135.567,210.102,-90.919,0.058
19,PODE_16611_K_I.tif:16593-00456,6.947E-6,174.387,145.833,193.426,-90.796,0.045
20,PODE_16611_K_I.tif:17020-00469,1.373E-5,178.026,138.032,209.947,-91.809,0.088
21,PODE_16611_K_I.tif:17620-00461,1.500E-5,170.862,74.789,211.622,-93.496,0.097
22,PODE_16611_K_I.tif:18637-00402,3.377E-5,182.205,133.229,227.873,-96.214,0.218
23,PODE_16611_K_I.tif:20146-00309,3.858E-5,172.406,127.046,209.885,-96.372,0.249
24,PODE_16611_K_I.tif:21263-00333,1.481E-5,172.899,138.404,200.763,-98.420,0.095
25,PODE_16611_K_I.tif:21845-00316,1.300E-5,168.422,136.395,223.206,-97.230,0.084
26,PODE_16611_K_I.tif:22692-00382,2.738E-5,169.104,128.995,223.864,-99.711,0.176
27,PODE_16611_K_I.tif:23667-00357,1.836E-5,171.631,126.977,217.449,-98.598,0.118
28,PODE_16611_K_I.tif:24385-00282,1.627E-5,179.517,106.706,236.148,-97.819,0.105
