 ,Label,Area,Mean,Min,Max,Angle,Length
1,PODE_16611_K_II.tif:03993-01123,9.762E-6,162.570,136.397,187.811,-93.021,0.084
2,PODE_16611_K_II.tif:04725-01141,1.007E-5,167.332,137.888,192.266,-87.999,0.087
3,PODE_16611_K_II.tif:05405-01145,8.410E-6,168.826,143.685,198.514,-86.125,0.072
4,PODE_16611_K_II.tif:05923-01125,5.368E-6,180.250,152.652,201.318,-87.397,0.046
5,PODE_16611_K_II.tif:06310-01105,5.070E-6,173.774,138.166,201.221,-87.245,0.044
6,PODE_16611_K_II.tif:06824-01096,8.964E-6,171.056,141.167,205.439,-88.615,0.077
7,PODE_16611_K_II.tif:07389-01132,6.138E-6,174.513,154.913,199.222,-86.961,0.053
8,PODE_16611_K_II.tif:07806-01128,5.070E-6,173.170,149.619,201.545,-88.162,0.044
9,PODE_16611_K_II.tif:08272-01130,7.531E-6,165.454,89.007,196.803,-85.459,0.065
10,PODE_16611_K_II.tif:08916-01127,1.002E-5,175.116,142.807,202.970,-85.815,0.086
11,PODE_16611_K_II.tif:09593-01150,8.383E-6,173.837,139.440,202.917,-84.437,0.072
12,PODE_16611_K_II.tif:10146-01089,6.490E-6,171.093,105.149,200.279,-81.599,0.056
13,PODE_16611_K_II.tif:10560-01133,4.867E-6,175.588,151.379,192.823,-80.066,0.042
14,PODE_16611_K_II.tif:10969-01164,6.233E-6,173.961,140.996,202.229,-82.504,0.053
15,PODE_16611_K_II.tif:11538-01138,9.059E-6,172.892,138.288,200.422,-81.749,0.078
16,PODE_16611_K_II.tif:12096-01201,6.071E-6,168.118,148.412,190.427,-80.496,0.052
17,PODE_16611_K_II.tif:12571-01129,6.936E-6,167.397,125.402,197.600,-83.042,0.060
18,PODE_16611_K_II.tif:13096-01151,7.382E-6,160.833,124.915,189.044,-83.892,0.063
19,PODE_16611_K_II.tif:13602-01119,5.922E-6,165.310,136.289,186.006,-79.719,0.051
20,PODE_16611_K_II.tif:14023-01169,5.692E-6,165.586,145.874,191.679,-78.744,0.049
21,PODE_16611_K_II.tif:14391-01189,4.191E-6,156.629,131.086,198.028,-79.198,0.036
22,PODE_16611_K_II.tif:14794-01147,6.395E-6,154.582,115.302,191.655,-80.498,0.055
23,PODE_16611_K_II.tif:15268-01166,6.125E-6,149.040,116.312,176.872,-80.830,0.053
24,PODE_16611_K_II.tif:15980-01238,1.301E-5,149.099,111.084,185.532,-81.381,0.112
25,PODE_16611_K_II.tif:16969-01354,1.382E-5,151.517,111.613,196.212,-79.394,0.119
26,PODE_16611_K_II.tif:17744-01242,6.301E-6,151.673,118.426,183.582,-75.545,0.054
27,PODE_16611_K_II.tif:18191-01317,6.030E-6,150.368,111.359,181.323,-72.461,0.052
28,PODE_16611_K_II.tif:18579-01291,3.799E-6,158.041,119.103,183.848,-72.987,0.033
29,PODE_16611_K_II.tif:18900-01297,4.827E-6,148.008,111.201,184.807,-74.010,0.041
30,PODE_16611_K_II.tif:19281-01274,5.097E-6,142.018,111.816,177.231,-73.301,0.044
31,PODE_16611_K_II.tif:19815-01370,9.586E-6,142.408,102.165,172.214,-74.944,0.082
32,PODE_16611_K_II.tif:20762-01522,1.624E-5,139.154,93.672,183.604,-76.311,0.140
33,PODE_16611_K_II.tif:22308-01356,2.219E-5,133.815,93.421,185.612,-75.879,0.191
34,PODE_16611_K_II.tif:23635-01400,1.301E-5,134.889,89.759,180.322,-77.005,0.112
35,PODE_16611_K_II.tif:24487-01407,9.302E-6,138.483,100.429,174.337,-76.368,0.080
36,PODE_16611_K_II.tif:25417-01440,1.552E-5,124.793,83.491,170.949,-74.219,0.133
37,PODE_16611_K_II.tif:26529-01485,1.284E-5,112.801,77.126,158.790,-70.687,0.110
