 ,Label,Area,Mean,Min,Max,Angle,Length
1,PODE_22099_A_I.tif:02313-00963,9.167E-6,167.713,98.656,199.755,-98.322,0.079
2,PODE_22099_A_I.tif:03011-00912,9.654E-6,171.854,152.710,203.335,-96.447,0.083
3,PODE_22099_A_I.tif:03598-00881,6.098E-6,173.240,148.017,202.631,-96.635,0.052
4,PODE_22099_A_I.tif:04100-00849,7.423E-6,172.566,148.460,206.397,-97.021,0.064
5,PODE_22099_A_I.tif:04582-00802,5.692E-6,176.944,147.560,197.037,-98.342,0.049
6,PODE_22099_A_I.tif:05137-00740,9.140E-6,173.079,147.526,201.739,-100.062,0.079
7,PODE_22099_A_I.tif:05714-00658,6.706E-6,174.945,151.330,200.237,-97.901,0.058
8,PODE_22099_A_I.tif:06196-00641,6.314E-6,174.512,148.779,201.651,-96.774,0.054
9,PODE_22099_A_I.tif:06627-00601,5.476E-6,166.822,147.000,196.728,-97.829,0.047
10,PODE_22099_A_I.tif:07092-00579,7.166E-6,172.636,145.759,200.254,-94.665,0.061
11,PODE_22099_A_I.tif:07591-00600,6.247E-6,170.396,152.029,191.118,-90.373,0.054
12,PODE_22099_A_I.tif:08070-00581,6.855E-6,173.319,146.755,199.750,-91.019,0.059
13,PODE_22099_A_I.tif:08576-00600,6.747E-6,169.005,148.667,194.333,-90.000,0.058
14,PODE_22099_A_I.tif:09032-00584,5.625E-6,173.352,150.000,199.667,-90.000,0.048
15,PODE_22099_A_I.tif:09469-00595,6.165E-6,172.714,146.897,194.956,-89.496,0.053
16,PODE_22099_A_I.tif:09970-00619,7.409E-6,173.660,148.207,197.338,-88.639,0.064
17,PODE_22099_A_I.tif:10443-00615,5.476E-6,161.848,137.153,194.160,-89.575,0.047
18,PODE_22099_A_I.tif:10892-00635,6.666E-6,169.005,141.789,198.748,-89.651,0.057
19,PODE_22099_A_I.tif:11431-00673,7.802E-6,168.837,146.333,201.736,-87.614,0.067
20,PODE_22099_A_I.tif:11953-00710,6.341E-6,171.763,140.834,196.846,-87.920,0.054
21,PODE_22099_A_I.tif:12396-00699,5.652E-6,168.194,139.247,191.933,-87.391,0.049
22,PODE_22099_A_I.tif:12879-00728,7.355E-6,166.767,141.370,195.582,-88.418,0.063
23,PODE_22099_A_I.tif:13430-00713,7.572E-6,164.566,133.417,202.593,-89.078,0.065
24,PODE_22099_A_I.tif:13782-00717,1.798E-6,158.967,135.333,184.333,-90.000,0.015
25,PODE_22099_A_I.tif:14129-00716,7.693E-6,164.626,131.676,196.884,-92.726,0.066
26,PODE_22099_A_I.tif:14711-00708,8.261E-6,167.765,130.391,192.523,-93.945,0.071
27,PODE_22099_A_I.tif:15180-00716,4.475E-6,165.646,135.167,195.727,-92.603,0.038
28,PODE_22099_A_I.tif:15591-00756,6.436E-6,171.654,134.337,199.431,-92.899,0.055
29,PODE_22099_A_I.tif:16049-00762,6.071E-6,166.447,142.042,195.379,-94.604,0.052
30,PODE_22099_A_I.tif:16557-00750,7.666E-6,164.794,136.414,196.759,-94.865,0.066
31,PODE_22099_A_I.tif:17066-00744,6.071E-6,163.719,139.898,189.995,-93.840,0.052
32,PODE_22099_A_I.tif:17553-00749,6.950E-6,166.137,134.940,194.787,-94.133,0.060
33,PODE_22099_A_I.tif:18066-00731,6.977E-6,170.512,133.718,220.452,-93.673,0.060
34,PODE_22099_A_I.tif:18602-00723,7.518E-6,164.645,129.852,196.414,-92.481,0.064
35,PODE_22099_A_I.tif:19045-00724,4.543E-6,173.614,141.706,199.700,-92.905,0.039
36,PODE_22099_A_I.tif:19461-00739,6.882E-6,167.648,139.320,203.761,-89.323,0.059
37,PODE_22099_A_I.tif:20032-00723,8.329E-6,162.892,136.759,200.863,-90.186,0.072
38,PODE_22099_A_I.tif:20558-00732,5.895E-6,165.346,142.345,202.892,-91.054,0.051
39,PODE_22099_A_I.tif:21008-00735,6.287E-6,165.128,129.244,204.013,-90.741,0.054
40,PODE_22099_A_I.tif:21494-00752,6.828E-6,160.096,126.503,194.794,-87.841,0.059
41,PODE_22099_A_I.tif:21989-00746,6.612E-6,153.153,121.765,187.404,-90.939,0.057
42,PODE_22099_A_I.tif:22512-00775,7.491E-6,154.974,116.271,187.777,-88.653,0.064
43,PODE_22099_A_I.tif:22991-00801,5.489E-6,142.238,115.774,173.948,-88.020,0.047
44,PODE_22099_A_I.tif:23423-00773,6.233E-6,148.605,115.123,190.799,-89.875,0.053
45,PODE_22099_A_I.tif:23831-00803,4.854E-6,154.534,124.600,187.045,-88.720,0.042
46,PODE_22099_A_I.tif:24274-00822,7.031E-6,150.173,106.569,193.601,-89.117,0.060
47,PODE_22099_A_I.tif:24755-00845,5.895E-6,146.249,104.877,180.448,-88.683,0.051
48,PODE_22099_A_I.tif:25252-00842,7.639E-6,143.967,103.969,187.333,-88.274,0.066
49,PODE_22099_A_I.tif:25890-00853,9.654E-6,135.976,101.111,175.452,-87.346,0.083
50,PODE_22099_A_I.tif:26547-00865,8.248E-6,144.583,111.172,182.105,-86.424,0.071
51,PODE_22099_A_I.tif:27274-00941,1.149E-5,149.624,105.258,187.978,-85.270,0.099
52,PODE_22099_A_I.tif:28072-01033,1.019E-5,147.103,111.162,184.375,-84.668,0.088
53,PODE_22099_A_I.tif:29342-01192,2.451E-5,139.382,106.012,189.594,-80.340,0.211
54,PODE_22099_A_I.tif:31968-01085,4.312E-5,144.350,108.789,191.671,-79.208,0.371
55,PODE_22099_A_I.tif:33913-01198,8.951E-6,126.281,92.740,173.492,-80.595,0.077
56,PODE_22099_A_I.tif:34611-01236,9.600E-6,125.966,86.877,168.663,-78.944,0.082
57,PODE_22099_A_I.tif:35247-01302,7.612E-6,135.964,96.959,171.248,-78.930,0.065
58,PODE_22099_A_I.tif:35861-01386,9.140E-6,133.921,91.816,179.915,-78.024,0.078
59,PODE_22099_A_I.tif:36505-01438,8.167E-6,141.092,112.267,183.357,-77.347,0.070
60,PODE_22099_A_I.tif:37115-01394,7.856E-6,140.614,111.080,188.195,-78.457,0.067
