 ,Label,Area,Mean,Min,Max,Angle,Length
1,QUAL_22886_D_II.tif:03771-00996,9.113E-6,164.944,100.398,185.409,-86.594,0.078
2,QUAL_22886_D_II.tif:04331-00962,5.503E-6,144.930,86.172,171.776,-84.908,0.047
3,QUAL_22886_D_II.tif:04724-01007,5.557E-6,165.446,129.521,179.197,-83.274,0.048
4,QUAL_22886_D_II.tif:05149-01072,6.247E-6,160.872,141.017,174.206,-84.772,0.054
5,QUAL_22886_D_II.tif:05659-01044,7.450E-6,169.651,155.009,179.494,-84.890,0.064
6,QUAL_22886_D_II.tif:06295-01113,9.911E-6,150.157,104.248,176.163,-86.082,0.085
7,QUAL_22886_D_II.tif:06924-01101,7.071E-6,157.130,127.023,174.299,-88.464,0.061
8,QUAL_22886_D_II.tif:07483-01078,7.991E-6,158.443,108.607,177.011,-86.599,0.069
9,QUAL_22886_D_II.tif:08129-01149,9.546E-6,155.860,123.623,170.516,-88.294,0.082
10,QUAL_22886_D_II.tif:08945-01162,1.241E-5,153.319,83.513,179.018,-86.623,0.107
11,QUAL_22886_D_II.tif:09852-01158,1.180E-5,148.295,109.975,172.693,-82.288,0.101
12,QUAL_22886_D_II.tif:10766-01167,1.180E-5,154.428,119.936,170.616,-80.700,0.101
13,QUAL_22886_D_II.tif:11687-01161,1.207E-5,151.725,114.548,172.969,-80.126,0.104
14,QUAL_22886_D_II.tif:12620-01185,1.179E-5,145.780,117.490,166.946,-81.479,0.101
15,QUAL_22886_D_II.tif:13535-01098,1.098E-5,137.481,104.894,166.599,-80.851,0.094
16,QUAL_22886_D_II.tif:14456-01405,1.470E-5,140.678,95.985,178.325,-82.698,0.126
17,QUAL_22886_D_II.tif:15575-01347,1.385E-5,129.373,75.115,157.430,-83.771,0.119
18,QUAL_22886_D_II.tif:16502-01261,9.627E-6,127.446,90.206,155.148,-82.725,0.083
19,QUAL_22886_D_II.tif:17271-01224,1.064E-5,133.867,113.047,155.134,-83.201,0.091
20,QUAL_22886_D_II.tif:18092-01176,1.032E-5,130.185,86.765,162.099,-81.168,0.089
21,QUAL_22886_D_II.tif:18929-01144,1.084E-5,132.665,82.364,165.899,-80.079,0.093
22,QUAL_22886_D_II.tif:19803-01096,1.109E-5,132.106,85.488,165.424,-81.573,0.095
23,QUAL_22886_D_II.tif:20817-01011,1.463E-5,120.046,76.631,153.714,-83.467,0.126
24,QUAL_22886_D_II.tif:22041-00949,1.659E-5,112.694,77.518,158.790,-86.354,0.143
25,QUAL_22886_D_II.tif:23202-01059,1.504E-5,125.948,50.776,162.288,-92.012,0.129
26,QUAL_22886_D_II.tif:24101-01066,9.235E-6,120.397,87.029,155.292,-93.529,0.079
27,QUAL_22886_D_II.tif:24839-01063,1.075E-5,130.783,102.839,161.663,-96.508,0.092
28,QUAL_22886_D_II.tif:25556-01066,8.680E-6,111.021,78.698,149.861,-94.296,0.075
29,QUAL_22886_D_II.tif:26235-01042,9.870E-6,113.338,69.922,139.865,-95.194,0.085
30,QUAL_22886_D_II.tif:26933-01222,9.072E-6,121.073,87.393,164.786,-81.761,0.078
31,QUAL_22886_D_II.tif:27641-01237,9.519E-6,125.096,53.193,164.383,-80.176,0.082
32,QUAL_22886_D_II.tif:28407-01174,9.465E-6,125.310,72.818,160.278,-78.111,0.081
33,QUAL_22886_D_II.tif:29208-01162,1.074E-5,122.134,58.954,155.203,-77.330,0.092
34,QUAL_22886_D_II.tif:29973-01125,8.058E-6,117.466,63.015,145.834,-73.301,0.069
35,QUAL_22886_D_II.tif:30704-01066,9.573E-6,112.152,82.870,145.513,-78.738,0.082
36,QUAL_22886_D_II.tif:31473-01042,9.708E-6,121.752,69.944,143.950,-78.408,0.083
37,QUAL_22886_D_II.tif:32147-01068,7.436E-6,124.898,89.014,161.208,-75.129,0.064
38,QUAL_22886_D_II.tif:32760-01089,8.315E-6,116.274,83.690,146.681,-80.722,0.071
39,QUAL_22886_D_II.tif:33411-01105,8.870E-6,115.804,82.268,161.896,-87.374,0.076
40,QUAL_22886_D_II.tif:34214-01141,1.305E-5,130.461,76.779,158.022,-92.141,0.112
41,QUAL_22886_D_II.tif:35108-01108,1.134E-5,127.361,93.197,157.604,-97.405,0.097
42,QUAL_22886_D_II.tif:35864-01099,8.613E-6,130.854,108.539,150.760,-99.773,0.074
43,QUAL_22886_D_II.tif:36537-01129,8.802E-6,126.650,72.092,160.827,-101.725,0.076
44,QUAL_22886_D_II.tif:37127-01161,6.287E-6,119.699,79.476,163.857,-102.328,0.054
45,QUAL_22886_D_II.tif:37784-01332,9.884E-6,125.563,64.533,168.252,-92.592,0.085
46,QUAL_22886_D_II.tif:38493-01264,9.194E-6,131.951,111.788,162.099,-92.534,0.079
47,QUAL_22886_D_II.tif:39150-01245,8.748E-6,120.634,70.295,151.252,-96.663,0.075
48,QUAL_22886_D_II.tif:39872-01219,1.068E-5,110.601,65.001,163.471,-96.990,0.092
49,QUAL_22886_D_II.tif:40632-01152,1.014E-5,107.629,79.765,159.059,-99.915,0.087
50,QUAL_22886_D_II.tif:41444-01167,1.030E-5,114.470,82.504,145.984,-108.149,0.088
51,QUAL_22886_D_II.tif:42164-01117,8.518E-6,110.909,75.669,148.938,-108.349,0.073
52,QUAL_22886_D_II.tif:42864-01135,8.167E-6,137.300,112.967,173.251,-109.156,0.070
