 ,Label,Area,Mean,Min,Max,Angle,Length
1,QUAL_385-82_A_I.tif:04392-00482,2.527E-5,141.167,64.667,170.001,-95.344,0.217
2,QUAL_385-82_A_I.tif:06528-00471,3.149E-5,145.917,74.847,173.412,-93.991,0.271
3,QUAL_385-82_A_I.tif:08352-00444,1.781E-5,140.626,120.854,162.235,-93.397,0.153
4,QUAL_385-82_A_I.tif:09999-00542,2.674E-5,141.071,119.693,161.411,-84.514,0.230
5,QUAL_385-82_A_I.tif:11796-00474,2.005E-5,149.042,117.144,169.185,-82.789,0.172
6,QUAL_385-82_A_I.tif:13571-00558,2.695E-5,138.600,108.989,168.754,-82.907,0.232
7,QUAL_385-82_A_I.tif:15419-00521,2.194E-5,146.485,110.699,173.024,-81.810,0.189
8,QUAL_385-82_A_I.tif:17198-00602,2.610E-5,128.633,102.111,162.542,-82.223,0.224
9,QUAL_385-82_A_I.tif:19134-00570,2.476E-5,140.927,108.110,170.958,-77.695,0.213
10,QUAL_385-82_A_I.tif:21257-00552,2.883E-5,124.334,91.422,166.835,-78.136,0.248
11,QUAL_385-82_A_I.tif:23429-00621,2.768E-5,124.095,83.061,155.795,-75.047,0.238
12,QUAL_385-82_A_I.tif:25734-00624,3.002E-5,124.515,81.535,159.859,-76.076,0.258
13,QUAL_385-82_A_I.tif:28379-00692,3.857E-5,122.159,79.958,160.754,-76.183,0.332
14,QUAL_385-82_A_I.tif:31584-00722,4.140E-5,110.398,74.434,168.641,-76.454,0.356
15,QUAL_385-82_A_I.tif:34490-00744,3.002E-5,108.246,79.705,152.189,-71.883,0.258
16,QUAL_385-82_A_I.tif:37067-00782,3.912E-5,105.180,76.235,158.244,-75.892,0.336
17,QUAL_385-82_A_I.tif:40166-00836,4.244E-5,117.799,77.255,155.629,-75.552,0.365
18,QUAL_385-82_A_I.tif:43320-00626,3.286E-5,111.331,81.125,148.526,-82.120,0.282
