 ,Label,Area,Mean,Min,Max,Angle,Length
1,QUAL_611-2010_A_II.tif:03219-00508,4.651E-6,154.236,116.333,186.457,-85.986,0.040
2,QUAL_611-2010_A_II.tif:03649-00500,6.909E-6,154.759,105.569,186.314,-87.754,0.059
3,QUAL_611-2010_A_II.tif:04073-00570,4.786E-6,160.892,124.342,182.890,-82.835,0.041
4,QUAL_611-2010_A_II.tif:04472-00579,6.003E-6,165.660,136.431,186.043,-83.517,0.051
5,QUAL_611-2010_A_II.tif:04851-00661,4.611E-6,160.180,135.287,183.339,-79.484,0.040
6,QUAL_611-2010_A_II.tif:05180-00633,3.989E-6,157.842,86.554,180.442,-83.358,0.034
7,QUAL_611-2010_A_II.tif:05490-00682,4.678E-6,168.373,142.535,185.604,-84.685,0.040
8,QUAL_611-2010_A_II.tif:05881-00618,4.597E-6,169.787,156.845,181.125,-79.816,0.039
9,QUAL_611-2010_A_II.tif:06227-00641,4.489E-6,171.469,161.153,183.364,-79.912,0.039
10,QUAL_611-2010_A_II.tif:06578-00675,5.178E-6,173.783,161.341,186.805,-80.044,0.044
11,QUAL_611-2010_A_II.tif:06963-00716,5.246E-6,158.738,119.563,184.340,-80.489,0.045
12,QUAL_611-2010_A_II.tif:07320-00692,4.218E-6,171.303,145.481,197.106,-81.870,0.036
13,QUAL_611-2010_A_II.tif:07618-00755,3.908E-6,157.543,126.834,175.214,-80.800,0.033
14,QUAL_611-2010_A_II.tif:07916-00743,3.678E-6,170.656,156.000,183.785,-81.930,0.031
15,QUAL_611-2010_A_II.tif:08209-00739,3.853E-6,172.188,160.778,187.115,-83.928,0.033
16,QUAL_611-2010_A_II.tif:08509-00799,4.489E-6,163.766,134.872,178.460,-84.806,0.039
17,QUAL_611-2010_A_II.tif:08799-00782,3.502E-6,166.573,153.845,176.447,-89.112,0.030
18,QUAL_611-2010_A_II.tif:09079-00827,4.097E-6,164.920,128.389,179.572,-91.897,0.035
19,QUAL_611-2010_A_II.tif:09322-00803,2.501E-6,164.352,153.138,176.424,-88.132,0.021
20,QUAL_611-2010_A_II.tif:09534-00836,3.313E-6,163.454,138.000,181.000,-90.000,0.028
21,QUAL_611-2010_A_II.tif:09782-00862,3.529E-6,156.363,126.333,176.538,-90.881,0.030
22,QUAL_611-2010_A_II.tif:10039-00839,3.461E-6,161.157,147.091,181.335,-86.396,0.030
23,QUAL_611-2010_A_II.tif:10291-00846,3.353E-6,139.014,78.286,173.890,-85.352,0.029
24,QUAL_611-2010_A_II.tif:10568-00874,4.178E-6,153.857,126.511,182.896,-87.769,0.036
25,QUAL_611-2010_A_II.tif:10876-00900,4.286E-6,147.730,128.709,167.021,-87.825,0.037
26,QUAL_611-2010_A_II.tif:11178-00886,4.016E-6,152.153,123.360,187.113,-89.226,0.034
27,QUAL_611-2010_A_II.tif:11462-00913,3.691E-6,146.457,117.240,169.703,-92.946,0.032
28,QUAL_611-2010_A_II.tif:11703-00922,3.137E-6,149.162,91.399,172.625,-93.979,0.027
29,QUAL_611-2010_A_II.tif:11963-00927,3.718E-6,133.060,74.803,168.148,-91.254,0.032
30,QUAL_611-2010_A_II.tif:12244-00942,3.867E-6,137.206,73.409,158.640,-94.830,0.033
31,QUAL_611-2010_A_II.tif:12534-00935,4.029E-6,138.410,113.676,164.460,-95.020,0.035
32,QUAL_611-2010_A_II.tif:12826-00927,4.137E-6,126.036,81.975,158.497,-94.888,0.035
33,QUAL_611-2010_A_II.tif:13111-00915,3.569E-6,139.903,115.756,175.031,-95.667,0.031
34,QUAL_611-2010_A_II.tif:13342-00905,2.582E-6,126.121,95.746,152.124,-97.874,0.022
35,QUAL_611-2010_A_II.tif:13587-00923,3.556E-6,127.248,109.349,144.969,-86.273,0.030
36,QUAL_611-2010_A_II.tif:13928-00560,3.948E-6,131.724,114.667,153.454,-87.049,0.034
37,QUAL_611-2010_A_II.tif:14214-00578,3.867E-6,135.977,79.051,178.603,-86.574,0.033
38,QUAL_611-2010_A_II.tif:14524-00553,4.313E-6,117.339,87.000,144.642,-91.441,0.037
39,QUAL_611-2010_A_II.tif:14795-00564,3.110E-6,125.164,104.333,153.333,-90.000,0.027
40,QUAL_611-2010_A_II.tif:15050-00569,3.759E-6,124.506,95.717,170.447,-98.306,0.032
41,QUAL_611-2010_A_II.tif:15300-00547,3.015E-6,132.182,107.367,159.366,-100.905,0.026
42,QUAL_611-2010_A_II.tif:15540-00571,2.988E-6,110.375,79.785,145.119,-97.577,0.026
43,QUAL_611-2010_A_II.tif:15834-00567,4.935E-6,112.913,60.741,163.888,-90.787,0.042
44,QUAL_611-2010_A_II.tif:16126-00561,2.988E-6,142.467,108.055,179.732,-99.933,0.026
45,QUAL_611-2010_A_II.tif:16404-00562,4.083E-6,123.243,85.183,178.689,-100.526,0.035
46,QUAL_611-2010_A_II.tif:16713-00536,4.137E-6,116.213,85.497,158.624,-102.671,0.036
47,QUAL_611-2010_A_II.tif:17047-00553,4.070E-6,133.350,105.500,185.561,-100.936,0.035
48,QUAL_611-2010_A_II.tif:17379-00571,4.313E-6,116.355,79.769,142.269,-101.063,0.037
49,QUAL_611-2010_A_II.tif:17771-00553,6.247E-6,105.270,76.958,131.885,-97.726,0.054
50,QUAL_611-2010_A_II.tif:18250-00563,6.220E-6,119.888,74.815,153.976,-97.760,0.053
51,QUAL_611-2010_A_II.tif:18763-00558,7.707E-6,121.078,85.796,165.532,-91.208,0.066
52,QUAL_611-2010_A_II.tif:19320-00599,7.396E-6,123.129,92.976,169.857,-91.574,0.064
53,QUAL_611-2010_A_II.tif:19920-00608,8.721E-6,123.931,87.797,156.740,-94.542,0.075
54,QUAL_611-2010_A_II.tif:20495-00623,6.652E-6,113.676,61.983,153.257,-94.560,0.057
55,QUAL_611-2010_A_II.tif:21055-00633,8.383E-6,119.970,79.204,172.989,-97.056,0.072
56,QUAL_611-2010_A_II.tif:21615-00631,6.328E-6,122.240,82.533,157.372,-98.877,0.054
57,QUAL_611-2010_A_II.tif:22129-00645,7.166E-6,137.159,108.540,175.006,-96.077,0.062
58,QUAL_611-2010_A_II.tif:22591-00646,5.151E-6,125.272,99.247,148.284,-96.490,0.044
59,QUAL_611-2010_A_II.tif:22973-00640,4.895E-6,126.609,108.973,164.614,-94.922,0.042
60,QUAL_611-2010_A_II.tif:23349-00635,5.273E-6,115.971,74.249,170.629,-93.834,0.045
