 ,Label,Area,Mean,Min,Max,Angle,Length
1,QURU_11253_A_II.tif:05795-00928,7.491E-6,162.286,124.333,179.064,-108.762,0.064
2,QURU_11253_A_II.tif:06294-00767,6.909E-6,144.059,38.842,173.811,-114.555,0.059
3,QURU_11253_A_II.tif:06853-00806,7.301E-6,165.483,88.561,187.164,-106.821,0.063
4,QURU_11253_A_II.tif:07357-00705,6.463E-6,150.116,95.288,176.569,-111.779,0.055
5,QURU_11253_A_II.tif:07833-00608,6.476E-6,160.952,101.784,185.834,-106.768,0.056
6,QURU_11253_A_II.tif:08404-00602,7.639E-6,158.709,123.023,181.369,-108.306,0.066
7,QURU_11253_A_II.tif:09056-00680,8.599E-6,154.389,98.779,178.242,-103.380,0.074
8,QURU_11253_A_II.tif:09652-00627,7.261E-6,148.898,121.977,167.184,-104.270,0.062
9,QURU_11253_A_II.tif:10210-00660,7.274E-6,144.303,41.073,183.007,-102.251,0.062
10,QURU_11253_A_II.tif:10898-00771,9.262E-6,147.209,125.306,161.858,-100.620,0.080
11,QURU_11253_A_II.tif:11557-00806,7.666E-6,118.029,21.090,164.268,-101.310,0.066
12,QURU_11253_A_II.tif:12154-00806,7.869E-6,112.593,33.382,151.115,-102.817,0.068
13,QURU_11253_A_II.tif:12815-00794,9.505E-6,133.530,94.397,177.442,-100.590,0.082
14,QURU_11253_A_II.tif:13580-00959,8.545E-6,132.374,105.481,155.668,-98.477,0.073
15,QURU_11253_A_II.tif:14128-00918,6.368E-6,145.550,98.791,189.502,-98.078,0.055
16,QURU_11253_A_II.tif:14659-01029,6.814E-6,123.094,21.647,178.010,-100.305,0.059
17,QURU_11253_A_II.tif:15266-01043,9.181E-6,140.478,104.178,194.810,-97.879,0.079
18,QURU_11253_A_II.tif:16084-01197,1.147E-5,135.999,89.914,189.326,-98.962,0.099
19,QURU_11253_A_II.tif:16820-01221,8.613E-6,133.815,72.130,191.005,-97.595,0.074
20,QURU_11253_A_II.tif:17432-01196,7.788E-6,125.588,28.576,186.574,-97.496,0.067
21,QURU_11253_A_II.tif:18085-01203,9.032E-6,149.658,111.171,190.801,-99.844,0.078
22,QURU_11253_A_II.tif:18814-01247,9.978E-6,123.934,80.275,149.035,-98.196,0.086
23,QURU_11253_A_II.tif:19558-01331,9.938E-6,134.916,58.670,163.276,-100.116,0.085
24,QURU_11253_A_II.tif:20272-01352,8.883E-6,123.788,30.118,152.896,-100.281,0.076
25,QURU_11253_A_II.tif:20857-00594,1.339E-5,118.174,27.752,178.914,-99.777,0.115
26,QURU_11253_A_II.tif:21682-00591,8.505E-6,110.232,25.274,151.106,-98.788,0.073
27,QURU_11253_A_II.tif:22316-00668,8.234E-6,123.122,32.142,158.969,-99.369,0.071
28,QURU_11253_A_II.tif:22898-00681,7.193E-6,108.384,23.454,154.499,-95.839,0.062
29,QURU_11253_A_II.tif:23573-00767,1.097E-5,134.743,101.778,174.789,-90.637,0.094
30,QURU_11253_A_II.tif:24319-00836,9.302E-6,127.227,52.061,154.058,-89.750,0.080
31,QURU_11253_A_II.tif:24974-00780,8.532E-6,111.802,23.000,153.667,-90.000,0.073
32,QURU_11253_A_II.tif:25586-00929,7.612E-6,110.944,38.784,153.827,-96.442,0.065
33,QURU_11253_A_II.tif:26222-00933,9.627E-6,126.988,68.963,168.134,-94.844,0.083
34,QURU_11253_A_II.tif:26903-00956,8.329E-6,122.942,31.039,147.952,-95.877,0.072
35,QURU_11253_A_II.tif:27500-00927,7.788E-6,126.889,55.262,151.497,-97.199,0.067
36,QURU_11253_A_II.tif:28130-00900,9.221E-6,125.073,35.771,146.597,-95.057,0.079
37,QURU_11253_A_II.tif:28882-00903,1.126E-5,121.595,32.243,171.132,-93.306,0.097
38,QURU_11253_A_II.tif:29683-00947,1.083E-5,133.401,96.546,177.564,-96.245,0.093
39,QURU_11253_A_II.tif:30574-00969,1.295E-5,129.103,85.924,180.284,-89.641,0.111
40,QURU_11253_A_II.tif:31567-01047,1.362E-5,116.590,30.967,167.611,-93.076,0.117
41,QURU_11253_A_II.tif:32555-01149,1.260E-5,123.060,35.533,170.833,-92.217,0.108
42,QURU_11253_A_II.tif:33610-01169,1.595E-5,114.804,80.522,162.941,-88.980,0.137
43,QURU_11253_A_II.tif:34942-01277,1.985E-5,115.840,31.274,174.224,-90.586,0.171
44,QURU_11253_A_II.tif:36241-01250,1.547E-5,123.537,78.296,187.819,-95.875,0.133
45,QURU_11253_A_II.tif:37517-01178,1.925E-5,112.737,82.207,182.878,-87.705,0.165
46,QURU_11253_A_II.tif:38651-01190,1.153E-5,106.680,59.257,176.237,-88.185,0.099
47,QURU_11253_A_II.tif:39539-01248,1.268E-5,116.234,62.449,171.132,-87.797,0.109
48,QURU_11253_A_II.tif:40589-01269,1.562E-5,131.553,90.645,186.966,-86.721,0.134
49,QURU_11253_A_II.tif:41869-01313,1.898E-5,119.004,50.266,180.762,-87.180,0.163
50,QURU_11253_A_II.tif:43066-01386,1.352E-5,142.170,106.537,190.793,-88.280,0.116
51,QURU_11253_A_II.tif:44051-01382,1.312E-5,130.748,93.192,166.841,-89.113,0.113
52,QURU_11253_A_II.tif:45035-01431,1.345E-5,130.412,103.513,170.161,-87.924,0.116
