 ,Label,Area,Mean,Min,Max,Angle,Length
1,QURU_5859_B_I.tif:07023-00726,8.559E-6,158.994,72.616,195.211,-80.716,0.074
2,QURU_5859_B_I.tif:07757-00759,1.102E-5,165.520,89.538,187.528,-77.654,0.095
3,QURU_5859_B_I.tif:08472-00830,8.153E-6,173.294,133.997,193.433,-80.538,0.070
4,QURU_5859_B_I.tif:09099-00785,8.058E-6,172.990,153.220,195.597,-81.012,0.069
5,QURU_5859_B_I.tif:09641-00834,6.531E-6,168.415,127.263,183.843,-74.839,0.056
6,QURU_5859_B_I.tif:10163-00791,7.112E-6,159.836,123.879,179.565,-75.090,0.061
7,QURU_5859_B_I.tif:10820-00848,1.002E-5,165.482,146.926,181.886,-75.682,0.086
8,QURU_5859_B_I.tif:11516-00917,8.315E-6,143.673,34.543,177.563,-74.401,0.071
9,QURU_5859_B_I.tif:12059-00956,6.030E-6,135.294,47.471,174.680,-74.745,0.052
10,QURU_5859_B_I.tif:12600-01062,8.789E-6,153.452,115.363,178.366,-76.092,0.075
11,QURU_5859_B_I.tif:13337-00992,9.654E-6,137.927,27.563,170.929,-78.596,0.083
12,QURU_5859_B_I.tif:14036-01211,1.011E-5,140.214,52.531,166.242,-75.350,0.087
13,QURU_5859_B_I.tif:14820-01271,1.060E-5,133.302,32.129,173.285,-73.301,0.091
14,QURU_5859_B_I.tif:15732-01131,9.776E-6,131.189,32.713,159.385,-76.541,0.084
15,QURU_5859_B_I.tif:16425-01226,9.059E-6,129.607,32.884,170.916,-77.833,0.078
16,QURU_5859_B_I.tif:17532-00713,1.137E-5,111.010,27.043,168.448,-90.614,0.098
17,QURU_5859_B_I.tif:18296-00770,9.492E-6,123.297,25.879,156.885,-85.827,0.081
18,QURU_5859_B_I.tif:18983-00764,9.072E-6,121.935,26.835,159.168,-86.664,0.078
19,QURU_5859_B_I.tif:19608-00864,8.058E-6,117.894,26.375,154.277,-86.532,0.069
20,QURU_5859_B_I.tif:20304-00999,1.091E-5,123.364,41.026,154.622,-86.158,0.094
21,QURU_5859_B_I.tif:21215-01088,1.387E-5,124.115,30.562,178.074,-86.476,0.119
22,QURU_5859_B_I.tif:22242-01082,1.324E-5,130.165,30.745,163.289,-78.862,0.114
23,QURU_5859_B_I.tif:23267-01173,1.417E-5,124.966,24.172,172.095,-79.431,0.122
24,QURU_5859_B_I.tif:24296-01349,1.402E-5,134.087,29.293,170.284,-77.453,0.120
25,QURU_5859_B_I.tif:25353-00926,1.038E-5,138.940,113.230,161.005,-78.031,0.089
26,QURU_5859_B_I.tif:26106-01104,1.061E-5,128.902,34.461,159.657,-78.518,0.091
27,QURU_5859_B_I.tif:26901-01218,1.103E-5,142.631,124.104,158.827,-78.318,0.095
28,QURU_5859_B_I.tif:27836-01315,1.353E-5,120.353,22.978,167.283,-77.173,0.116
29,QURU_5859_B_I.tif:28686-01410,8.978E-6,130.573,34.581,153.974,-75.586,0.077
30,QURU_5859_B_I.tif:29450-01125,1.052E-5,128.296,27.892,161.492,-88.010,0.090
31,QURU_5859_B_I.tif:30305-01230,1.214E-5,119.019,26.164,155.983,-88.659,0.104
32,QURU_5859_B_I.tif:31229-01279,1.271E-5,119.251,30.018,156.512,-90.366,0.109
33,QURU_5859_B_I.tif:32127-01341,1.170E-5,123.424,21.271,167.125,-88.210,0.101
34,QURU_5859_B_I.tif:33074-01435,1.386E-5,123.212,59.390,159.274,-87.985,0.119
35,QURU_5859_B_I.tif:34215-01165,1.637E-5,120.511,90.472,151.728,-85.166,0.141
36,QURU_5859_B_I.tif:35367-01371,1.489E-5,114.353,45.811,155.464,-83.108,0.128
37,QURU_5859_B_I.tif:36377-01344,1.206E-5,133.317,38.364,166.111,-83.617,0.104
38,QURU_5859_B_I.tif:37265-01497,1.261E-5,123.984,28.369,174.259,-81.296,0.108
39,QURU_5859_B_I.tif:38282-01539,1.428E-5,129.187,97.570,153.831,-80.672,0.123
40,QURU_5859_B_I.tif:39216-01698,1.153E-5,122.069,32.509,154.125,-83.326,0.099
41,QURU_5859_B_I.tif:40248-01015,1.130E-5,134.700,43.003,160.292,-80.064,0.097
42,QURU_5859_B_I.tif:41217-01005,1.456E-5,126.942,78.225,158.693,-80.853,0.125
43,QURU_5859_B_I.tif:42238-01069,1.325E-5,132.040,92.890,165.171,-82.962,0.114
