 ,Label,Area,Mean,Min,Max,Angle,Length
1,QURU_8197_A_I.tif:03896-00724,6.447E-6,155.619,97.000,182.075,-89.384,0.069
2,QURU_8197_A_I.tif:04682-00790,7.243E-6,157.833,127.447,176.195,-91.370,0.078
3,QURU_8197_A_I.tif:05558-00824,7.805E-6,160.657,119.907,186.814,-92.036,0.084
4,QURU_8197_A_I.tif:06438-00860,7.451E-6,156.695,112.229,187.617,-90.533,0.080
5,QURU_8197_A_I.tif:07226-00894,6.135E-6,160.597,112.040,200.593,-91.618,0.066
6,QURU_8197_A_I.tif:08114-00968,9.121E-6,168.913,119.116,197.640,-86.953,0.098
7,QURU_8197_A_I.tif:09258-00940,1.071E-5,145.763,115.826,173.282,-87.406,0.115
8,QURU_8197_A_I.tif:10372-01010,8.662E-6,135.879,98.288,191.633,-89.771,0.093
9,QURU_8197_A_I.tif:11280-01032,7.078E-6,136.319,96.478,183.917,-93.366,0.076
10,QURU_8197_A_I.tif:12004-00608,6.525E-6,154.167,117.105,190.516,-87.563,0.070
11,QURU_8197_A_I.tif:12858-00692,8.359E-6,149.730,106.522,188.396,-88.099,0.090
12,QURU_8197_A_I.tif:13740-00774,7.087E-6,135.092,57.611,179.677,-85.795,0.076
13,QURU_8197_A_I.tif:14556-00710,6.871E-6,141.595,95.960,188.543,-87.397,0.074
14,QURU_8197_A_I.tif:15306-00824,6.092E-6,158.127,127.077,191.354,-84.776,0.065
15,QURU_8197_A_I.tif:16044-00920,6.732E-6,141.223,91.520,194.207,-86.460,0.072
16,QURU_8197_A_I.tif:16930-00876,8.705E-6,140.041,95.668,193.815,-88.174,0.093
17,QURU_8197_A_I.tif:17944-00948,8.809E-6,135.374,92.414,179.637,-88.196,0.095
18,QURU_8197_A_I.tif:18850-00922,6.966E-6,134.890,90.756,190.060,-88.005,0.075
19,QURU_8197_A_I.tif:19712-00998,8.195E-6,136.360,30.581,188.623,-86.605,0.088
20,QURU_8197_A_I.tif:20706-01018,9.008E-6,146.506,95.585,188.420,-85.145,0.097
21,QURU_8197_A_I.tif:21642-01126,7.390E-6,137.256,42.339,191.128,-87.044,0.079
22,QURU_8197_A_I.tif:22548-01088,8.125E-6,126.181,35.780,168.229,-86.088,0.087
23,QURU_8197_A_I.tif:23576-01104,9.640E-6,109.184,37.451,149.565,-87.117,0.104
24,QURU_8197_A_I.tif:25064-00842,1.492E-5,112.338,17.332,165.667,-86.407,0.160
25,QURU_8197_A_I.tif:26530-00936,1.043E-5,125.306,34.009,175.432,-88.858,0.112
26,QURU_8197_A_I.tif:27644-00988,8.870E-6,118.303,55.122,173.969,-91.343,0.095
27,QURU_8197_A_I.tif:28610-01030,7.944E-6,127.029,35.578,167.801,-87.250,0.085
28,QURU_8197_A_I.tif:29534-01032,7.970E-6,99.705,27.179,150.324,-95.488,0.086
29,QURU_8197_A_I.tif:30466-00980,8.203E-6,128.068,32.696,178.911,-96.795,0.088
30,QURU_8197_A_I.tif:31390-01034,7.364E-6,119.378,31.430,164.610,-96.757,0.079
31,QURU_8197_A_I.tif:32262-01062,7.226E-6,111.177,31.354,146.193,-96.886,0.078
32,QURU_8197_A_I.tif:33268-01114,9.709E-6,124.098,34.642,175.530,-92.658,0.104
33,QURU_8197_A_I.tif:34496-01094,1.179E-5,128.228,81.595,173.234,-92.526,0.127
34,QURU_8197_A_I.tif:35690-01080,8.818E-6,103.975,18.944,167.227,-96.315,0.095
35,QURU_8197_A_I.tif:36828-01118,1.020E-5,115.400,62.783,157.993,-93.698,0.110
36,QURU_8197_A_I.tif:38080-01192,1.105E-5,104.435,36.663,166.976,-94.674,0.119
37,QURU_8197_A_I.tif:39332-01206,1.007E-5,104.663,23.764,150.077,-93.945,0.108
38,QURU_8197_A_I.tif:40414-01276,8.169E-6,122.779,50.602,166.141,-94.622,0.088
39,QURU_8197_A_I.tif:41572-01304,1.122E-5,113.872,48.704,167.667,-90.707,0.121
40,QURU_8197_A_I.tif:43156-01272,1.649E-5,128.370,30.993,169.783,-88.075,0.177
41,QURU_8197_A_I.tif:44740-01360,1.115E-5,118.764,32.663,175.667,-88.933,0.120
42,QURU_8197_A_I.tif:46070-01372,1.189E-5,118.473,22.814,169.872,-88.330,0.128
43,QURU_8197_A_I.tif:47434-01194,1.061E-5,109.323,26.936,156.814,-84.941,0.114
