 ,Label,Area,Mean,Min,Max,Angle,Length
1,TIAM_1323-82_A_II.tif:02552-00506,4.519E-5,219.672,178.334,249.177,-92.104,0.291
2,TIAM_1323-82_A_II.tif:04910-00512,6.839E-5,220.512,187.919,253.993,-89.577,0.441
3,TIAM_1323-82_A_II.tif:07463-00515,5.442E-5,216.868,190.697,254.918,-88.557,0.351
4,TIAM_1323-82_A_II.tif:09937-00522,6.485E-5,221.113,190.381,248.908,-88.980,0.418
5,TIAM_1323-82_A_II.tif:12418-00540,5.452E-5,215.028,186.290,246.729,-92.124,0.351
6,TIAM_1323-82_A_II.tif:14887-00453,6.442E-5,218.066,158.910,249.375,-91.026,0.415
7,TIAM_1323-82_A_II.tif:17336-00452,5.310E-5,216.325,129.066,241.232,-90.545,0.342
8,TIAM_1323-82_A_II.tif:19666-00402,5.865E-5,217.722,182.066,254.707,-89.859,0.378
9,TIAM_1323-82_A_II.tif:21761-00488,4.271E-5,215.799,145.840,243.957,-90.097,0.275
10,TIAM_1323-82_A_II.tif:23875-00489,5.865E-5,215.148,176.263,246.351,-91.127,0.378
11,TIAM_1323-82_A_II.tif:26501-00479,6.781E-5,215.580,177.131,244.526,-90.670,0.437
12,TIAM_1323-82_A_II.tif:29158-00488,5.997E-5,214.315,171.442,249.457,-91.723,0.387
