 ,Label,Area,Mean,Min,Max,Angle,Length
1,TIAM_7141_A_I.tif:02578-00477,1.029E-5,200.299,154.689,245.686,-79.479,0.066
2,TIAM_7141_A_I.tif:02934-00529,6.778E-6,208.295,185.097,230.511,-78.930,0.044
3,TIAM_7141_A_I.tif:03277-00543,9.206E-6,208.446,182.303,225.237,-78.219,0.059
4,TIAM_7141_A_I.tif:03602-00585,6.514E-6,211.987,193.138,231.623,-77.609,0.042
5,TIAM_7141_A_I.tif:04028-00624,1.401E-5,213.227,161.477,235.351,-79.308,0.090
6,TIAM_7141_A_I.tif:04598-00546,1.183E-5,208.389,185.335,223.527,-77.775,0.076
7,TIAM_7141_A_I.tif:05112-00623,1.286E-5,212.381,198.404,236.380,-76.796,0.083
8,TIAM_7141_A_I.tif:05538-00589,6.682E-6,212.726,193.833,229.000,-75.362,0.043
9,TIAM_7141_A_I.tif:05831-00576,6.514E-6,214.936,184.947,228.538,-76.273,0.042
10,TIAM_7141_A_I.tif:06334-00644,1.772E-5,214.020,179.172,239.740,-76.492,0.114
11,TIAM_7141_A_I.tif:06945-00612,9.927E-6,209.247,169.444,231.417,-77.652,0.064
12,TIAM_7141_A_I.tif:07303-00639,6.851E-6,210.314,187.766,228.801,-78.215,0.044
13,TIAM_7141_A_I.tif:07582-00634,5.649E-6,206.975,177.949,243.860,-77.152,0.036
14,TIAM_7141_A_I.tif:08000-00672,1.392E-5,210.305,185.962,230.222,-77.213,0.090
15,TIAM_7141_A_I.tif:08639-00665,1.548E-5,209.831,176.789,227.419,-80.157,0.100
16,TIAM_7141_A_I.tif:09305-00725,1.656E-5,211.950,183.271,225.275,-80.455,0.107
17,TIAM_7141_A_I.tif:09840-00666,8.389E-6,202.715,170.268,219.749,-81.404,0.054
18,TIAM_7141_A_I.tif:10216-00638,9.158E-6,206.025,151.393,229.459,-82.126,0.059
19,TIAM_7141_A_I.tif:10745-00647,1.613E-5,208.564,181.948,229.289,-83.660,0.104
20,TIAM_7141_A_I.tif:11434-00656,1.687E-5,209.858,189.053,229.826,-87.383,0.109
21,TIAM_7141_A_I.tif:12074-00649,1.387E-5,206.908,187.972,229.333,-87.813,0.089
22,TIAM_7141_A_I.tif:12654-00701,1.404E-5,206.682,171.155,228.305,-84.681,0.090
23,TIAM_7141_A_I.tif:13257-00671,1.488E-5,205.087,179.972,229.474,-90.927,0.096
24,TIAM_7141_A_I.tif:13905-00685,1.603E-5,203.797,169.865,231.261,-90.516,0.103
25,TIAM_7141_A_I.tif:14437-00657,9.495E-6,205.603,184.064,228.244,-89.709,0.061
26,TIAM_7141_A_I.tif:14726-00631,4.255E-6,211.200,186.705,237.098,-89.349,0.027
27,TIAM_7141_A_I.tif:14944-00651,6.178E-6,206.857,180.555,235.016,-89.552,0.040
28,TIAM_7141_A_I.tif:15122-00665,2.332E-6,204.980,180.556,223.938,-91.193,0.015
29,TIAM_7141_A_I.tif:15242-00629,3.485E-6,204.518,181.333,218.056,-92.386,0.022
30,TIAM_7141_A_I.tif:15389-00637,3.630E-6,166.168,96.627,206.747,-92.291,0.023
31,TIAM_7141_A_I.tif:15534-00657,3.005E-6,203.088,173.839,213.565,-90.924,0.019
32,TIAM_7141_A_I.tif:15698-00677,4.639E-6,207.998,189.139,220.781,-90.597,0.030
33,TIAM_7141_A_I.tif:15927-00687,6.129E-6,207.400,177.593,243.627,-91.353,0.039
34,TIAM_7141_A_I.tif:16208-00697,7.524E-6,207.903,173.218,237.705,-91.102,0.048
35,TIAM_7141_A_I.tif:16567-00627,9.398E-6,204.733,176.949,232.509,-90.294,0.060
36,TIAM_7141_A_I.tif:16986-00637,1.079E-5,204.888,180.387,227.810,-90.767,0.069
37,TIAM_7141_A_I.tif:17292-00611,3.678E-6,203.857,179.842,226.667,-89.246,0.024
38,TIAM_7141_A_I.tif:17426-00625,2.908E-6,197.286,180.678,226.933,-90.955,0.019
39,TIAM_7141_A_I.tif:17538-00588,2.139E-6,199.966,179.667,217.667,-90.000,0.014
40,TIAM_7141_A_I.tif:17624-00566,1.947E-6,207.683,179.083,229.900,-87.138,0.012
41,TIAM_7141_A_I.tif:17802-00595,6.682E-6,203.183,173.169,222.824,-86.269,0.043
42,TIAM_7141_A_I.tif:18067-00590,6.057E-6,208.565,181.120,225.566,-85.426,0.039
43,TIAM_7141_A_I.tif:18341-00601,7.043E-6,202.936,165.585,232.815,-84.094,0.045
44,TIAM_7141_A_I.tif:18592-00643,4.976E-6,205.826,177.605,230.558,-82.737,0.032
45,TIAM_7141_A_I.tif:18958-00657,1.272E-5,196.303,160.863,229.683,-83.252,0.082
46,TIAM_7141_A_I.tif:19620-00634,1.851E-5,209.997,179.311,249.442,-81.322,0.119
47,TIAM_7141_A_I.tif:20401-00674,1.805E-5,207.890,161.823,255.000,-78.001,0.116
48,TIAM_7141_A_I.tif:21304-00649,2.339E-5,202.032,158.754,246.929,-78.482,0.151
49,TIAM_7141_A_I.tif:22314-00653,2.334E-5,208.299,174.000,239.059,-77.740,0.150
