"treeid","mean","p5","p25","p75","p95"
"1",0.339,-0.204,0.113,0.558,0.896
"2",-0.003,-0.623,-0.26,0.255,0.616
"3",0.209,-0.345,-0.013,0.435,0.753
"4",-0.522,-1.144,-0.767,-0.279,0.082
"5",-0.823,-1.271,-1.004,-0.641,-0.358
"6",1.085,0.65,0.9,1.263,1.531
"7",-0.393,-0.842,-0.574,-0.208,0.07
"8",0.107,-0.33,-0.072,0.28,0.549
"9",0.063,-0.367,-0.116,0.241,0.509
"10",-0.607,-1.098,-0.8,-0.408,-0.131
"11",-0.042,-0.512,-0.232,0.151,0.43
"12",-0.114,-0.669,-0.334,0.114,0.43
"13",-0.159,-0.614,-0.34,0.028,0.286
"14",0.967,0.515,0.78,1.153,1.419
"15",0.181,-0.31,-0.025,0.38,0.662
"16",-0.097,-0.605,-0.296,0.103,0.396
"17",-0.086,-0.591,-0.287,0.119,0.414
"18",-0.006,-0.532,-0.217,0.198,0.51
"19",-0.902,-1.394,-1.107,-0.705,-0.412
"20",0.448,-0.041,0.239,0.651,0.958
"21",-0.114,-0.592,-0.319,0.088,0.381
"22",0.564,0.067,0.355,0.763,1.066
"23",0.106,-0.383,-0.092,0.302,0.595
"24",-0.165,-0.646,-0.362,0.035,0.314
"25",0.082,-0.399,-0.119,0.28,0.559
"26",-0.011,-0.512,-0.21,0.183,0.485
"27",-0.246,-0.689,-0.426,-0.06,0.204
"28",-0.116,-0.553,-0.294,0.06,0.319
"29",0.316,-0.112,0.141,0.493,0.761
"30",0.067,-0.375,-0.115,0.243,0.52
"31",-0.044,-0.476,-0.223,0.142,0.387
"32",-0.281,-0.765,-0.48,-0.087,0.211
"33",0.031,-0.461,-0.163,0.234,0.517
"34",0.445,-0.037,0.248,0.641,0.932
"35",-0.217,-0.695,-0.415,-0.021,0.274
"36",0.13,-0.339,-0.07,0.33,0.597
"37",-0.592,-1.092,-0.788,-0.386,-0.105
"38",0.046,-0.514,-0.182,0.273,0.603
"39",0.82,0.352,0.622,1.015,1.296
"40",-0.392,-0.853,-0.589,-0.2,0.085
"41",-0.087,-0.602,-0.295,0.116,0.433
"42",-0.023,-0.522,-0.237,0.184,0.497
"43",0.03,-0.483,-0.179,0.235,0.548
"44",0.083,-0.453,-0.133,0.301,0.602
"45",1.503,1.075,1.316,1.682,1.957
"46",-0.666,-1.093,-0.842,-0.489,-0.242
"47",-0.339,-0.768,-0.524,-0.159,0.095
"48",-0.185,-0.625,-0.361,-0.006,0.251
"49",-0.296,-0.707,-0.465,-0.125,0.139
