"id","mean","p5","p25","p75","p95"
"1",0.323,-0.221,0.111,0.537,0.877
"2",-0.048,-0.644,-0.291,0.196,0.549
"3",0.208,-0.345,-0.015,0.436,0.758
"4",-0.516,-1.118,-0.753,-0.275,0.061
"5",-0.837,-1.292,-1.019,-0.66,-0.377
"6",1.071,0.641,0.893,1.247,1.508
"7",-0.407,-0.867,-0.578,-0.23,0.041
"8",0.093,-0.342,-0.076,0.266,0.53
"9",0.049,-0.379,-0.127,0.224,0.486
"10",-0.619,-1.103,-0.813,-0.423,-0.129
"11",-0.051,-0.517,-0.238,0.131,0.415
"12",-0.125,-0.68,-0.36,0.104,0.435
"13",-0.165,-0.617,-0.349,0.013,0.282
"14",0.954,0.506,0.769,1.135,1.412
"15",0.204,-0.282,0.009,0.396,0.701
"16",-0.082,-0.577,-0.284,0.119,0.415
"17",-0.058,-0.55,-0.262,0.144,0.446
"18",-0.013,-0.519,-0.221,0.192,0.491
"19",-0.905,-1.4,-1.097,-0.708,-0.416
"20",0.454,-0.036,0.262,0.645,0.938
"21",-0.121,-0.602,-0.303,0.071,0.357
"22",0.562,0.08,0.36,0.76,1.053
"23",0.096,-0.394,-0.098,0.295,0.59
"24",-0.166,-0.656,-0.357,0.029,0.309
"25",0.072,-0.406,-0.12,0.262,0.559
"26",-0.027,-0.517,-0.225,0.169,0.474
"27",-0.233,-0.69,-0.42,-0.041,0.227
"28",-0.104,-0.551,-0.287,0.086,0.354
"29",0.329,-0.124,0.143,0.508,0.791
"30",0.076,-0.367,-0.113,0.262,0.536
"31",-0.032,-0.486,-0.215,0.15,0.435
"32",-0.278,-0.747,-0.474,-0.089,0.182
"33",0.034,-0.437,-0.16,0.227,0.502
"34",0.451,-0.014,0.257,0.638,0.929
"35",-0.214,-0.692,-0.404,-0.025,0.256
"36",0.12,-0.341,-0.079,0.321,0.592
"37",-0.594,-1.088,-0.794,-0.385,-0.109
"38",0.008,-0.526,-0.209,0.219,0.56
"39",0.831,0.364,0.64,1.024,1.3
"40",-0.385,-0.844,-0.573,-0.195,0.066
"41",-0.096,-0.602,-0.298,0.105,0.417
"42",-0.04,-0.545,-0.244,0.165,0.453
"43",0.018,-0.471,-0.181,0.217,0.52
"44",0.086,-0.417,-0.123,0.295,0.59
"45",1.498,1.048,1.318,1.679,1.959
"46",-0.669,-1.122,-0.846,-0.492,-0.231
"47",-0.339,-0.793,-0.52,-0.154,0.103
"48",-0.188,-0.653,-0.368,-0.004,0.277
"49",-0.296,-0.748,-0.476,-0.113,0.137
