"treeid","mean","p5","p25","p75","p95"
"1",0.326,-0.208,0.105,0.542,0.864
"2",-0.148,-0.719,-0.385,0.086,0.426
"3",0.251,-0.296,0.034,0.469,0.792
"4",-0.434,-1.001,-0.67,-0.198,0.144
"5",-0.83,-1.276,-1.01,-0.649,-0.388
"6",1.103,0.658,0.922,1.278,1.556
"7",-0.398,-0.852,-0.579,-0.217,0.055
"8",0.078,-0.363,-0.104,0.259,0.526
"9",0.038,-0.407,-0.146,0.219,0.476
"10",-0.619,-1.087,-0.814,-0.428,-0.147
"11",-0.035,-0.5,-0.226,0.153,0.437
"12",-0.141,-0.688,-0.371,0.086,0.431
"13",-0.151,-0.582,-0.336,0.031,0.292
"14",0.963,0.524,0.773,1.144,1.412
"15",0.195,-0.289,-0.006,0.391,0.689
"16",-0.105,-0.614,-0.296,0.096,0.392
"17",-0.101,-0.608,-0.306,0.1,0.411
"18",-0.01,-0.511,-0.215,0.198,0.49
"19",-0.905,-1.419,-1.115,-0.694,-0.409
"20",0.456,-0.051,0.248,0.67,0.967
"21",-0.106,-0.59,-0.304,0.098,0.381
"22",0.563,0.062,0.354,0.768,1.075
"23",0.099,-0.376,-0.108,0.3,0.592
"24",-0.153,-0.645,-0.348,0.048,0.325
"25",0.082,-0.405,-0.112,0.281,0.57
"26",-0.02,-0.515,-0.219,0.187,0.486
"27",-0.231,-0.67,-0.417,-0.051,0.216
"28",-0.104,-0.551,-0.288,0.08,0.349
"29",0.324,-0.126,0.14,0.507,0.77
"30",0.075,-0.364,-0.11,0.259,0.52
"31",-0.025,-0.463,-0.208,0.158,0.415
"32",-0.271,-0.742,-0.463,-0.08,0.192
"33",0.034,-0.442,-0.158,0.229,0.508
"34",0.464,-0.012,0.273,0.657,0.933
"35",-0.231,-0.706,-0.421,-0.045,0.246
"36",0.111,-0.357,-0.086,0.306,0.597
"37",-0.586,-1.08,-0.793,-0.383,-0.091
"38",0.014,-0.587,-0.231,0.253,0.614
"39",0.833,0.357,0.639,1.02,1.322
"40",-0.393,-0.875,-0.585,-0.196,0.096
"41",-0.067,-0.57,-0.269,0.136,0.438
"42",-0.04,-0.515,-0.243,0.161,0.444
"43",0.009,-0.47,-0.189,0.204,0.502
"44",0.11,-0.389,-0.096,0.316,0.61
"45",1.488,1.033,1.309,1.671,1.943
"46",-0.667,-1.111,-0.846,-0.486,-0.229
"47",-0.348,-0.794,-0.526,-0.167,0.099
"48",-0.191,-0.64,-0.375,-0.002,0.268
"49",-0.299,-0.732,-0.477,-0.118,0.139
