"spp","mean","p5","p25","p75","p95"
"sigma_bspp",0.015,0.001,0.007,0.02,0.033
"z1",-0.008,-1.53,-0.619,0.6,1.47
"z2",0.486,-0.964,-0.063,1.044,1.869
"z3",0.371,-0.73,0.006,0.746,1.47
"z4",-1.084,-2.592,-1.755,-0.469,0.597
"z5",0.577,-0.828,0.097,1.094,1.886
"z6",0.272,-1.207,-0.265,0.852,1.678
"z7",-0.082,-1.5,-0.631,0.473,1.302
"z8",0.104,-1.19,-0.371,0.568,1.364
"z9",0.122,-1.402,-0.513,0.762,1.683
"z10",0.257,-1.279,-0.337,0.858,1.758
"z11",-0.256,-1.454,-0.696,0.17,0.971
"1",0,-0.023,-0.006,0.007,0.023
"2",0.008,-0.009,0,0.016,0.035
"3",0.005,-0.006,0,0.01,0.019
"4",-0.019,-0.058,-0.032,-0.003,0.003
"5",0.009,-0.006,0,0.017,0.033
"6",0.005,-0.014,-0.002,0.011,0.029
"7",-0.001,-0.023,-0.008,0.005,0.018
"8",0.002,-0.013,-0.003,0.007,0.017
"9",0.003,-0.02,-0.005,0.009,0.03
"10",0.005,-0.015,-0.003,0.012,0.032
"11",-0.004,-0.02,-0.009,0.001,0.01
