"id","mean","p5","p25","p75","p95"
"1",0.353,-0.089,0.177,0.529,0.789
"2",-0.119,-0.485,-0.264,0.026,0.249
"3",0.276,-0.174,0.096,0.457,0.728
"4",-0.406,-0.855,-0.587,-0.223,0.045
"5",-0.654,-1.049,-0.808,-0.489,-0.278
"6",1.235,0.865,1.083,1.393,1.59
"7",-0.236,-0.628,-0.391,-0.073,0.141
"8",0.27,-0.114,0.121,0.43,0.625
"9",0.219,-0.16,0.065,0.377,0.581
"10",-0.749,-1.099,-0.889,-0.609,-0.394
"11",-0.1,-0.473,-0.253,0.052,0.276
"12",-0.191,-0.682,-0.393,0.011,0.292
"13",-0.23,-0.561,-0.367,-0.099,0.11
"14",0.875,0.534,0.736,1.014,1.218
"15",0.089,-0.3,-0.089,0.248,0.529
"16",-0.227,-0.628,-0.408,-0.058,0.225
"17",-0.143,-0.554,-0.322,0.027,0.295
"18",-0.294,-0.712,-0.483,-0.117,0.169
"19",-0.759,-1.167,-0.911,-0.599,-0.376
"20",0.583,0.177,0.427,0.745,0.962
"21",-0.002,-0.381,-0.144,0.151,0.349
"22",0.719,0.305,0.563,0.887,1.097
"23",0.021,-0.347,-0.127,0.166,0.396
"24",-0.191,-0.571,-0.346,-0.039,0.19
"25",-0.003,-0.357,-0.147,0.139,0.354
"26",-0.128,-0.502,-0.282,0.026,0.254
"27",-0.396,-0.765,-0.555,-0.242,-0.016
"28",-0.269,-0.638,-0.424,-0.119,0.11
"29",0.154,-0.2,0.002,0.302,0.52
"30",-0.094,-0.454,-0.246,0.056,0.271
"31",-0.188,-0.557,-0.345,-0.033,0.191
"32",-0.34,-0.687,-0.477,-0.201,0.012
"33",-0.048,-0.387,-0.188,0.091,0.301
"34",0.392,0.045,0.249,0.534,0.749
"35",-0.316,-0.647,-0.45,-0.186,0.027
"36",0.151,-0.246,-0.012,0.312,0.539
"37",-0.526,-0.96,-0.697,-0.346,-0.108
"38",-0.011,-0.426,-0.181,0.162,0.41
"39",0.919,0.544,0.762,1.071,1.295
"40",-0.287,-0.651,-0.424,-0.144,0.061
"41",-0.028,-0.446,-0.19,0.141,0.374
"42",0.021,-0.386,-0.136,0.188,0.409
"43",0.085,-0.323,-0.073,0.249,0.48
"44",0.213,-0.194,0.056,0.372,0.603
"45",1.528,1.17,1.389,1.668,1.889
"46",-0.548,-0.865,-0.674,-0.418,-0.235
"47",-0.278,-0.626,-0.413,-0.141,0.069
"48",-0.08,-0.417,-0.214,0.056,0.246
"49",-0.203,-0.527,-0.331,-0.073,0.116
