"id","mean","p5","p25","p75","p95"
"1",0.33,-0.191,0.117,0.55,0.862
"2",-0.138,-0.696,-0.375,0.095,0.428
"3",0.249,-0.307,0.022,0.471,0.803
"4",-0.437,-0.999,-0.669,-0.206,0.144
"5",-0.831,-1.28,-1.019,-0.645,-0.381
"6",1.106,0.676,0.925,1.281,1.555
"7",-0.393,-0.839,-0.576,-0.211,0.062
"8",0.079,-0.345,-0.1,0.256,0.52
"9",0.041,-0.388,-0.136,0.216,0.482
"10",-0.627,-1.103,-0.822,-0.433,-0.159
"11",-0.044,-0.501,-0.237,0.145,0.422
"12",-0.143,-0.702,-0.364,0.085,0.409
"13",-0.155,-0.599,-0.334,0.025,0.29
"14",0.955,0.509,0.775,1.138,1.395
"15",0.224,-0.251,0.024,0.416,0.72
"16",-0.079,-0.571,-0.275,0.117,0.416
"17",-0.068,-0.561,-0.27,0.13,0.431
"18",0.006,-0.494,-0.201,0.207,0.519
"19",-0.912,-1.406,-1.108,-0.71,-0.431
"20",0.448,-0.038,0.251,0.651,0.928
"21",-0.113,-0.597,-0.308,0.084,0.358
"22",0.559,0.07,0.363,0.762,1.035
"23",0.094,-0.384,-0.103,0.287,0.574
"24",-0.156,-0.647,-0.349,0.033,0.325
"25",0.08,-0.392,-0.111,0.27,0.557
"26",-0.025,-0.522,-0.234,0.178,0.469
"27",-0.238,-0.693,-0.424,-0.054,0.211
"28",-0.11,-0.562,-0.291,0.074,0.333
"29",0.316,-0.134,0.135,0.494,0.754
"30",0.064,-0.389,-0.116,0.247,0.51
"31",-0.032,-0.477,-0.215,0.148,0.413
"32",-0.275,-0.746,-0.469,-0.081,0.203
"33",0.03,-0.441,-0.163,0.222,0.498
"34",0.46,-0.015,0.269,0.644,0.938
"35",-0.233,-0.701,-0.422,-0.044,0.24
"36",0.115,-0.362,-0.075,0.308,0.596
"37",-0.573,-1.078,-0.778,-0.368,-0.081
"38",0.011,-0.548,-0.218,0.24,0.579
"39",0.845,0.363,0.654,1.033,1.332
"40",-0.378,-0.865,-0.575,-0.183,0.107
"41",-0.082,-0.594,-0.291,0.128,0.419
"42",-0.054,-0.559,-0.258,0.152,0.438
"43",-0.002,-0.502,-0.204,0.202,0.489
"44",0.099,-0.404,-0.104,0.301,0.607
"45",1.492,1.046,1.303,1.672,1.948
"46",-0.661,-1.101,-0.838,-0.482,-0.224
"47",-0.343,-0.788,-0.52,-0.167,0.103
"48",-0.185,-0.625,-0.368,-0.007,0.254
"49",-0.294,-0.729,-0.472,-0.118,0.14
