"id","mean","p5","p25","p75","p95"
"1",0.063,-0.548,-0.183,0.314,0.672
"2",-0.027,-0.73,-0.311,0.258,0.682
"3",0.385,-0.262,0.126,0.648,1.021
"4",-0.411,-1.096,-0.68,-0.134,0.241
"5",-1.053,-1.544,-1.245,-0.862,-0.576
"6",1.151,0.678,0.959,1.337,1.625
"7",-0.295,-0.777,-0.491,-0.098,0.185
"8",0.066,-0.41,-0.118,0.255,0.533
"9",0.115,-0.352,-0.074,0.303,0.584
"10",-0.601,-1.18,-0.841,-0.359,-0.025
"11",-0.173,-0.669,-0.384,0.032,0.33
"12",-0.127,-0.751,-0.389,0.127,0.515
"13",-0.046,-0.533,-0.246,0.152,0.447
"14",0.942,0.456,0.741,1.145,1.434
"15",0.26,-0.251,0.054,0.463,0.765
"16",-0.141,-0.654,-0.344,0.067,0.374
"17",0.016,-0.512,-0.2,0.227,0.543
"18",-0.127,-0.655,-0.341,0.085,0.407
"19",-1.026,-1.553,-1.236,-0.813,-0.502
"20",0.483,-0.032,0.275,0.694,1.005
"21",-0.022,-0.53,-0.227,0.184,0.49
"22",0.567,0.036,0.355,0.778,1.105
"23",0.183,-0.34,-0.024,0.392,0.7
"24",-0.182,-0.699,-0.387,0.029,0.325
"25",0.091,-0.419,-0.114,0.289,0.6
"26",-0.083,-0.62,-0.299,0.131,0.435
"27",-0.221,-0.706,-0.415,-0.025,0.255
"28",-0.141,-0.626,-0.335,0.06,0.339
"29",0.351,-0.123,0.157,0.546,0.822
"30",0.031,-0.438,-0.159,0.22,0.499
"31",-0.025,-0.509,-0.218,0.17,0.45
"32",-0.289,-0.798,-0.495,-0.08,0.229
"33",0.043,-0.466,-0.161,0.25,0.553
"34",0.456,-0.057,0.247,0.666,0.964
"35",-0.202,-0.72,-0.418,0.007,0.316
"36",-0.079,-0.714,-0.334,0.179,0.552
"37",0.623,0.043,0.383,0.86,1.21
"38",-0.543,-1.126,-0.783,-0.307,0.05
"39",-0.022,-0.577,-0.257,0.208,0.547
"40",-0.08,-0.622,-0.307,0.145,0.471
"41",0.034,-0.498,-0.188,0.255,0.578
"42",0.053,-0.532,-0.191,0.294,0.633
"43",1.545,1.061,1.348,1.743,2.048
"44",-0.738,-1.217,-0.93,-0.549,-0.268
"45",-0.356,-0.832,-0.548,-0.162,0.117
"46",-0.211,-0.696,-0.404,-0.018,0.266
"47",-0.264,-0.729,-0.449,-0.079,0.195
