"treeid","mean","p5","p25","p75","p95"
"1",0.348,-0.191,0.123,0.57,0.899
"2",-0.007,-0.591,-0.249,0.231,0.574
"3",0.204,-0.348,-0.022,0.431,0.756
"4",-0.547,-1.133,-0.787,-0.306,0.035
"5",-0.818,-1.274,-1.004,-0.638,-0.371
"6",1.067,0.624,0.89,1.244,1.509
"7",-0.405,-0.861,-0.585,-0.224,0.039
"8",0.104,-0.343,-0.073,0.282,0.538
"9",0.054,-0.391,-0.123,0.232,0.488
"10",-0.609,-1.09,-0.804,-0.413,-0.135
"11",-0.052,-0.513,-0.242,0.14,0.407
"12",-0.131,-0.695,-0.354,0.094,0.429
"13",-0.155,-0.609,-0.335,0.026,0.293
"14",0.95,0.505,0.766,1.131,1.402
"15",0.225,-0.265,0.032,0.424,0.717
"16",-0.106,-0.606,-0.305,0.094,0.386
"17",-0.03,-0.531,-0.232,0.173,0.468
"18",-0.101,-0.61,-0.306,0.106,0.398
"19",-0.89,-1.389,-1.083,-0.697,-0.39
"20",0.452,-0.039,0.257,0.649,0.947
"21",-0.12,-0.609,-0.314,0.077,0.365
"22",0.578,0.086,0.383,0.772,1.08
"23",0.099,-0.401,-0.1,0.303,0.59
"24",-0.161,-0.663,-0.36,0.042,0.337
"25",0.077,-0.422,-0.121,0.273,0.567
"26",-0.03,-0.533,-0.237,0.173,0.472
"27",-0.233,-0.685,-0.419,-0.046,0.223
"28",-0.114,-0.563,-0.295,0.066,0.345
"29",0.318,-0.118,0.134,0.496,0.769
"30",0.062,-0.369,-0.122,0.236,0.509
"31",-0.025,-0.469,-0.21,0.156,0.425
"32",-0.282,-0.758,-0.474,-0.087,0.193
"33",0.037,-0.447,-0.154,0.23,0.508
"34",0.454,-0.021,0.257,0.648,0.935
"35",-0.221,-0.714,-0.412,-0.023,0.263
"36",0.123,-0.361,-0.073,0.315,0.611
"37",-0.577,-1.071,-0.78,-0.372,-0.083
"38",0.005,-0.535,-0.207,0.218,0.522
"39",0.843,0.387,0.654,1.032,1.305
"40",-0.384,-0.853,-0.569,-0.193,0.077
"41",-0.083,-0.597,-0.296,0.131,0.436
"42",-0.048,-0.555,-0.253,0.156,0.46
"43",0.003,-0.507,-0.199,0.208,0.514
"44",0.116,-0.394,-0.092,0.323,0.631
"45",1.522,1.079,1.338,1.705,1.99
"46",-0.669,-1.115,-0.848,-0.488,-0.217
"47",-0.342,-0.782,-0.522,-0.168,0.1
"48",-0.209,-0.668,-0.399,-0.023,0.255
"49",-0.293,-0.726,-0.47,-0.117,0.152
