"id","mean","p5","p25","p75","p95"
"1",0.346,-0.21,0.124,0.572,0.896
"2",-0.011,-0.569,-0.252,0.223,0.554
"3",0.207,-0.364,-0.013,0.433,0.746
"4",-0.551,-1.163,-0.78,-0.311,0.047
"5",-0.815,-1.278,-1.008,-0.625,-0.354
"6",1.075,0.622,0.891,1.262,1.531
"7",-0.404,-0.881,-0.595,-0.217,0.062
"8",0.109,-0.342,-0.071,0.288,0.572
"9",0.06,-0.389,-0.124,0.243,0.501
"10",-0.733,-1.197,-0.918,-0.546,-0.274
"11",0.019,-0.447,-0.155,0.198,0.459
"12",-0.031,-0.527,-0.219,0.164,0.443
"13",-0.197,-0.632,-0.369,-0.024,0.239
"14",0.911,0.472,0.734,1.089,1.353
"15",0.236,-0.249,0.038,0.431,0.72
"16",-0.1,-0.603,-0.297,0.091,0.403
"17",-0.025,-0.517,-0.228,0.173,0.478
"18",-0.096,-0.604,-0.299,0.106,0.392
"19",-0.899,-1.392,-1.099,-0.701,-0.411
"20",0.448,-0.041,0.247,0.647,0.944
"21",-0.125,-0.598,-0.319,0.067,0.351
"22",0.571,0.088,0.371,0.762,1.067
"23",0.095,-0.411,-0.1,0.298,0.602
"24",-0.16,-0.654,-0.358,0.04,0.328
"25",0.083,-0.409,-0.114,0.275,0.581
"26",-0.033,-0.539,-0.239,0.176,0.476
"27",-0.243,-0.695,-0.428,-0.061,0.22
"28",-0.121,-0.587,-0.304,0.066,0.324
"29",0.313,-0.137,0.132,0.494,0.754
"30",0.056,-0.398,-0.125,0.242,0.513
"31",-0.031,-0.487,-0.211,0.153,0.426
"32",-0.281,-0.771,-0.476,-0.082,0.198
"33",0.029,-0.466,-0.168,0.223,0.522
"34",0.449,-0.047,0.256,0.645,0.937
"35",-0.225,-0.712,-0.417,-0.027,0.266
"36",0.112,-0.389,-0.093,0.306,0.612
"37",-0.588,-1.103,-0.792,-0.384,-0.095
"38",-0.005,-0.534,-0.22,0.213,0.525
"39",0.844,0.362,0.655,1.039,1.313
"40",-0.389,-0.871,-0.577,-0.197,0.07
"41",-0.083,-0.59,-0.296,0.123,0.432
"42",-0.049,-0.539,-0.248,0.151,0.446
"43",0.005,-0.501,-0.192,0.2,0.502
"44",0.118,-0.395,-0.088,0.325,0.637
"45",1.529,1.082,1.341,1.713,1.984
"46",-0.668,-1.116,-0.852,-0.49,-0.233
"47",-0.34,-0.783,-0.522,-0.161,0.107
"48",-0.209,-0.665,-0.4,-0.016,0.248
"49",-0.291,-0.734,-0.472,-0.105,0.153
