"treeid","mean","p5","p25","p75","p95"
"1",0.36,-0.169,0.142,0.58,0.902
"2",-0.194,-0.698,-0.401,0.011,0.328
"3",0.269,-0.262,0.058,0.483,0.792
"4",-0.436,-0.965,-0.648,-0.227,0.097
"5",-0.852,-1.296,-1.033,-0.67,-0.405
"6",0.972,0.532,0.797,1.151,1.412
"7",-0.389,-0.815,-0.568,-0.216,0.051
"8",0.167,-0.257,-0.007,0.343,0.59
"9",0.083,-0.337,-0.094,0.261,0.508
"10",-0.666,-1.12,-0.85,-0.483,-0.2
"11",-0.027,-0.475,-0.208,0.158,0.428
"12",-0.099,-0.655,-0.332,0.127,0.445
"13",-0.144,-0.59,-0.313,0.031,0.288
"14",0.925,0.487,0.746,1.109,1.371
"15",0.205,-0.279,0.008,0.397,0.694
"16",-0.06,-0.548,-0.254,0.142,0.425
"17",-0.009,-0.504,-0.213,0.194,0.492
"18",-0.142,-0.633,-0.34,0.049,0.34
"19",-0.902,-1.382,-1.101,-0.709,-0.416
"20",0.454,-0.029,0.259,0.651,0.934
"21",-0.15,-0.622,-0.343,0.041,0.324
"22",0.579,0.102,0.377,0.776,1.068
"23",0.105,-0.384,-0.095,0.304,0.593
"24",-0.102,-0.566,-0.297,0.093,0.379
"25",0.062,-0.411,-0.123,0.251,0.532
"26",-0.041,-0.522,-0.242,0.16,0.446
"27",-0.232,-0.694,-0.414,-0.05,0.224
"28",-0.115,-0.572,-0.291,0.066,0.346
"29",0.35,-0.108,0.165,0.528,0.805
"30",0.058,-0.387,-0.123,0.238,0.502
"31",-0.039,-0.479,-0.218,0.141,0.402
"32",-0.248,-0.725,-0.44,-0.051,0.225
"33",0.023,-0.463,-0.164,0.216,0.507
"34",0.449,-0.036,0.253,0.647,0.944
"35",-0.222,-0.684,-0.415,-0.03,0.261
"36",0.098,-0.384,-0.102,0.296,0.592
"37",-0.591,-1.098,-0.797,-0.384,-0.084
"38",-0.077,-0.584,-0.287,0.131,0.434
"39",0.881,0.411,0.692,1.068,1.346
"40",-0.327,-0.773,-0.506,-0.144,0.116
"41",-0.16,-0.685,-0.369,0.052,0.351
"42",-0.017,-0.522,-0.219,0.185,0.476
"43",0.059,-0.452,-0.146,0.267,0.558
"44",0.104,-0.394,-0.103,0.306,0.602
"45",1.435,1.017,1.262,1.606,1.863
"46",-0.542,-0.975,-0.709,-0.362,-0.127
"47",-0.447,-0.881,-0.619,-0.265,-0.021
"48",-0.202,-0.63,-0.377,-0.025,0.219
"49",-0.272,-0.694,-0.445,-0.102,0.15
