"id","mean","p5","p25","p75","p95"
"1",0.345,-0.199,0.121,0.567,0.877
"2",-0.178,-0.682,-0.381,0.026,0.324
"3",0.258,-0.278,0.033,0.479,0.789
"4",-0.433,-0.956,-0.637,-0.225,0.096
"5",-0.837,-1.278,-1.009,-0.662,-0.423
"6",0.98,0.55,0.803,1.159,1.409
"7",-0.384,-0.82,-0.562,-0.207,0.056
"8",0.167,-0.26,-0.004,0.337,0.583
"9",0.088,-0.333,-0.082,0.258,0.496
"10",-0.663,-1.11,-0.848,-0.476,-0.209
"11",-0.021,-0.475,-0.198,0.159,0.434
"12",-0.106,-0.644,-0.317,0.116,0.427
"13",-0.141,-0.564,-0.314,0.038,0.289
"14",0.934,0.501,0.759,1.111,1.378
"15",0.216,-0.247,0.026,0.404,0.705
"16",-0.062,-0.549,-0.256,0.131,0.424
"17",-0.005,-0.488,-0.198,0.19,0.472
"18",-0.138,-0.624,-0.333,0.06,0.357
"19",-0.896,-1.396,-1.093,-0.691,-0.403
"20",0.455,-0.041,0.246,0.655,0.96
"21",-0.145,-0.633,-0.351,0.056,0.346
"22",0.584,0.08,0.374,0.793,1.082
"23",0.096,-0.386,-0.096,0.292,0.585
"24",-0.115,-0.617,-0.301,0.077,0.375
"25",0.051,-0.431,-0.143,0.238,0.53
"26",-0.051,-0.533,-0.247,0.141,0.443
"27",-0.25,-0.694,-0.431,-0.072,0.171
"28",-0.131,-0.578,-0.311,0.049,0.301
"29",0.329,-0.108,0.156,0.509,0.759
"30",0.041,-0.398,-0.132,0.219,0.474
"31",-0.055,-0.492,-0.229,0.122,0.374
"32",-0.255,-0.722,-0.446,-0.063,0.217
"33",0.018,-0.462,-0.179,0.214,0.488
"34",0.449,-0.032,0.254,0.643,0.932
"35",-0.227,-0.702,-0.423,-0.032,0.252
"36",0.098,-0.363,-0.093,0.287,0.575
"37",-0.589,-1.1,-0.787,-0.387,-0.099
"38",-0.083,-0.59,-0.291,0.13,0.403
"39",0.876,0.428,0.683,1.065,1.338
"40",-0.329,-0.77,-0.508,-0.147,0.107
"41",-0.153,-0.676,-0.366,0.068,0.372
"42",-0.032,-0.533,-0.23,0.169,0.484
"43",0.042,-0.468,-0.163,0.25,0.557
"44",0.109,-0.402,-0.098,0.31,0.615
"45",1.431,1.015,1.249,1.611,1.853
"46",-0.554,-0.977,-0.731,-0.38,-0.131
"47",-0.446,-0.877,-0.619,-0.267,-0.015
"48",-0.202,-0.649,-0.378,-0.024,0.226
"49",-0.281,-0.696,-0.45,-0.107,0.138
