"id","mean","p5","p25","p75","p95"
"1",-0.027,-1.646,-0.683,0.631,1.638
"2",-1.645,-3.267,-2.28,-0.976,-0.083
"3",0.565,-0.997,-0.092,1.197,2.181
"4",1.109,-0.556,0.401,1.794,2.855
"5",0.107,-1.24,-0.423,0.64,1.427
"6",-0.437,-1.787,-0.961,0.103,0.882
"7",-0.135,-1.463,-0.691,0.411,1.223
"8",0.465,-0.797,-0.049,0.995,1.717
"9",0.179,-1.093,-0.311,0.69,1.446
"10",-2,-3.602,-2.613,-1.341,-0.503
"11",0.924,-0.478,0.341,1.49,2.403
"12",-0.069,-1.771,-0.761,0.611,1.592
"13",0.674,-0.613,0.123,1.218,2.034
"14",0.439,-0.86,-0.09,0.957,1.766
"15",-0.121,-1.489,-0.659,0.439,1.217
"16",-0.21,-1.655,-0.79,0.37,1.232
"17",-0.593,-2.056,-1.171,-0.02,0.773
"18",0.959,-0.489,0.382,1.518,2.427
"19",0.046,-1.346,-0.542,0.62,1.487
"20",-0.042,-1.448,-0.638,0.535,1.393
"21",-0.441,-1.736,-0.963,0.09,0.839
"22",0.451,-0.975,-0.129,1.019,1.952
"23",0.014,-1.347,-0.542,0.561,1.399
"24",0.857,-0.502,0.278,1.405,2.277
"25",-0.193,-1.549,-0.731,0.356,1.135
"26",-0.674,-2.104,-1.281,-0.066,0.783
"27",0.232,-1.189,-0.303,0.777,1.564
"28",-0.187,-1.54,-0.746,0.399,1.162
"29",-0.146,-1.46,-0.689,0.391,1.166
"30",-0.323,-1.674,-0.877,0.222,1.052
"31",0.502,-0.8,-0.045,1.018,1.84
"32",0.711,-0.605,0.18,1.23,2.009
"33",-0.378,-1.76,-0.917,0.173,0.949
"34",0.455,-0.855,-0.068,0.97,1.762
"35",-0.937,-2.28,-1.487,-0.398,0.364
"36",-0.496,-2.048,-1.091,0.113,1.02
"37",0,-1.582,-0.635,0.641,1.574
"38",-1.05,-2.727,-1.686,-0.375,0.522
"39",0.686,-0.618,0.124,1.215,2.084
"40",0.957,-0.396,0.384,1.508,2.389
"41",-0.201,-1.838,-0.833,0.427,1.414
"42",-0.265,-1.763,-0.881,0.338,1.297
"43",-0.08,-1.577,-0.658,0.511,1.39
"44",0.534,-0.971,-0.093,1.154,2.089
"45",2.615,1.28,2.021,3.178,4.059
"46",-1.603,-2.984,-2.122,-1.053,-0.335
"47",0.869,-0.454,0.336,1.384,2.18
"48",-1.71,-3.102,-2.259,-1.155,-0.401
"49",-0.199,-1.413,-0.698,0.3,0.991
