"id","genus","species","latbi","commonName","plantNickname","symbol","year","budburst","increasingLeafSize","leafout","flowers","openFlowers","pollenRelease","fruits","ripeFruits","recentFruitorSeedDrop","coloredLeaves","DBH","accessionDate","lat","long"
"ACRU_1196-84_A","Acer","rubrum","Acer rubrum","Red maple","1196-84*A","ACRU",2020,119,140,124,75,87,92,120,148,148,253,27.3,"10-15-1984",42.30388171,-71.12019927
"ACRU_1196-84_A","Acer","rubrum","Acer rubrum","Red maple","1196-84*A","ACRU",2021,101,114,114,86,86,NA,104,NA,NA,NA,27.3,"10-15-1984",42.30388171,-71.12019927
"ACRU_1196-84_A","Acer","rubrum","Acer rubrum","Red maple","1196-84*A","ACRU",2022,105,125,125,77,84,NA,105,NA,NA,NA,27.3,"10-15-1984",42.30388171,-71.12019927
"ACRU_1196-84_A","Acer","rubrum","Acer rubrum","Red maple","1196-84*A","ACRU",2024,107,121,121,NA,90,NA,117,NA,NA,NA,27.3,"10-15-1984",42.30388171,-71.12019927
"ACRU_15350_A","Acer","rubrum","Acer rubrum","Red maple","15350*A","ACRU",2020,119,120,120,71,72,92,NA,NA,NA,236,77.5,"04-16-1924",42.30387456,-71.12074952
"ACRU_15350_A","Acer","rubrum","Acer rubrum","Red maple","15350*A","ACRU",2021,101,114,114,81,84,100,NA,NA,NA,236,77.5,"04-16-1924",42.30387456,-71.12074952
"ACRU_15350_A","Acer","rubrum","Acer rubrum","Red maple","15350*A","ACRU",2022,103,113,113,77,77,90,NA,NA,NA,257,77.5,"04-16-1924",42.30387456,-71.12074952
"ACRU_15350_A","Acer","rubrum","Acer rubrum","Red maple","15350*A","ACRU",2023,102,104,104,NA,82,94,NA,NA,NA,231,77.5,"04-16-1924",42.30387456,-71.12074952
"ACRU_15350_A","Acer","rubrum","Acer rubrum","Red maple","15350*A","ACRU",2024,104,111,111,NA,76,NA,NA,NA,NA,227,77.5,"04-16-1924",42.30387456,-71.12074952
"ACRU_524-2009_A","Acer","rubrum","Acer rubrum","Red maple","524-2009*A","ACRU",2020,120,126,120,NA,75,NA,124,NA,NA,271,64.2,"09-09-2009",42.30316247,-71.12125376
"ACRU_525-2009_A","Acer","rubrum","Acer rubrum","Red maple","525-2009*A","ACRU",2020,120,126,120,NA,75,NA,NA,NA,NA,271,55.7,"09-09-2009",42.30320004,-71.12119722
"ACSA_12565_C","Acer","saccharum","Acer saccharum","Sugar maple","12565*C","ACSA3",2016,132,130,172,118,NA,NA,NA,NA,NA,286,97.6,"10-15-1883",42.30346585,-71.12008242
