"","id","year","genus","species","latbi","commonName","plantNickname","budburst","leafout","coloredLeaves","DBH","lengthMM","accessionDate","pgs","fgs","budburstGDD5","leafoutGDD5","leafcolorGDD5","pgsGDD5","fgsGDD5","budburstGDD10","leafoutGDD10","leafcolorGDD10","pgsGDD10","fgsGDD10","pgsGDD10AVG"
"5","ACRU_1196-84_A",2018,"Acer","rubrum","Acer rubrum","Red maple","1196-84*A",NA,NA,272,27.3,2.6289,"10-15-1984",NA,NA,NA,NA,2630.55277777778,NA,NA,NA,NA,1739.34722222222,NA,NA,NA
"6","ACRU_1196-84_A",2019,"Acer","rubrum","Acer rubrum","Red maple","1196-84*A",103,115,269,27.3,3.9751,"10-15-1984",154,166,152.611111111111,253.602777777778,2443.09722222222,2189.49444444445,2290.48611111111,56.8,112.269444444445,1588.03333333333,1475.76388888889,1531.23333333333,1511.09166666667
"7","ACRU_1196-84_A",2020,"Acer","rubrum","Acer rubrum","Red maple","1196-84*A",119,124,253,27.3,1.7272,"10-15-1984",129,134,238.388888888889,280.722222222222,2336.72222222222,2056,2098.33333333333,79.6944444444445,102.083333333333,1560.75,1458.66666666667,1481.05555555556,1492.52777777778
"8","ACRU_1196-84_A",2021,"Acer","rubrum","Acer rubrum","Red maple","1196-84*A",101,114,NA,27.3,4.9657,"10-15-1984",NA,NA,179.277777777778,241.555555555556,NA,NA,NA,79.1111111111111,110.861111111111,NA,NA,NA,1200.47222222222
"9","ACRU_1196-84_A",2022,"Acer","rubrum","Acer rubrum","Red maple","1196-84*A",105,125,NA,27.3,2.032,"10-15-1984",NA,NA,228.25,331.583333333333,NA,NA,NA,93.4166666666667,137.222222222222,NA,NA,NA,1502.72222222222
"10","ACRU_1196-84_A",2024,"Acer","rubrum","Acer rubrum","Red maple","1196-84*A",107,121,NA,27.3,3.0988,"10-15-1984",NA,NA,186.305555555555,267.527777777778,NA,NA,NA,66.5833333333333,106.694444444444,NA,NA,NA,1157.25
"153","ACRU_15350_A",2019,"Acer","rubrum","Acer rubrum","Red maple","15350*A",91,111,NA,77.5,2.0574,"04-16-1924",NA,NA,100.733333333333,228.5,NA,NA,NA,33.013888888889,101.872222222222,NA,NA,NA,1521.48888888889
"154","ACRU_15350_A",2020,"Acer","rubrum","Acer rubrum","Red maple","15350*A",105,120,236,77.5,1.2573,"04-16-1924",116,131,203.861111111111,241.694444444445,2064.83333333333,1823.13888888889,1860.97222222222,70.4444444444445,80.5000000000001,1373.86111111111,1293.36111111111,1303.41666666667,1514.11111111111
"155","ACRU_15350_A",2021,"Acer","rubrum","Acer rubrum","Red maple","15350*A",101,114,236,77.5,2.4638,"04-16-1924",122,135,179.277777777778,241.555555555556,2015.72222222222,1774.16666666667,1836.44444444444,79.1111111111111,110.861111111111,1311.33333333333,1200.47222222222,1232.22222222222,1200.47222222222
"156","ACRU_15350_A",2022,"Acer","rubrum","Acer rubrum","Red maple","15350*A",103,113,257,77.5,1.2827,"04-16-1924",144,154,215.861111111111,270.583333333333,2481.75,2211.16666666667,2265.88888888889,88.1111111111111,113.333333333333,1639.94444444444,1526.61111111111,1551.83333333333,1526.61111111111
