"","id","year","symbol","genus","species","latbi","commonName","plantNickname","budburst","increasingLeafSize","leafout","flowers","openFlowers","pollenRelease","fruits","ripeFruits","recentFruitorSeedDrop","coloredLeaves","DBH","accessionDate","pgs","fgs","budburstGDD5","leafoutGDD5","leafcolorGDD5","pgsGDD5","fgsGDD5","budburstGDD10","leafoutGDD10","leafcolorGDD10","pgsGDD10","fgsGDD10","pgsGDD10AVG","lengthMM"
"1","ACRU_1196-84_A",2020,"ACRU","Acer","rubrum","Acer rubrum","Red maple","1196-84*A",119,140,124,75,87,92,120,148,148,253,27.3,"10-15-1984",129,134,238.388888888889,280.722222222222,2336.72222222222,2056,2098.33333333333,79.6944444444445,102.083333333333,1560.75,1458.66666666667,1481.05555555556,1492.52777777778,1.7272
"3","ACRU_1196-84_A",2021,"ACRU","Acer","rubrum","Acer rubrum","Red maple","1196-84*A",101,114,114,86,86,NA,104,NA,NA,NA,27.3,"10-15-1984",NA,NA,179.277777777778,241.555555555556,NA,NA,NA,79.1111111111111,110.861111111111,NA,NA,NA,1200.47222222222,4.9657
"5","ACRU_1196-84_A",2022,"ACRU","Acer","rubrum","Acer rubrum","Red maple","1196-84*A",105,125,125,77,84,NA,105,NA,NA,NA,27.3,"10-15-1984",NA,NA,228.25,331.583333333333,NA,NA,NA,93.4166666666667,137.222222222222,NA,NA,NA,1502.72222222222,2.032
"7","ACRU_1196-84_A",2024,"ACRU","Acer","rubrum","Acer rubrum","Red maple","1196-84*A",107,121,121,NA,90,NA,117,NA,NA,NA,27.3,"10-15-1984",NA,NA,186.305555555555,267.527777777778,NA,NA,NA,66.5833333333333,106.694444444444,NA,NA,NA,1157.25,3.0988
"9","ACRU_15350_A",2020,"ACRU","Acer","rubrum","Acer rubrum","Red maple","15350*A",119,120,120,71,72,92,NA,NA,NA,236,77.5,"04-16-1924",116,117,238.388888888889,241.694444444445,2064.83333333333,1823.13888888889,1826.44444444444,79.6944444444445,80.5000000000001,1373.86111111111,1293.36111111111,1294.16666666667,1514.11111111111,1.2573
"11","ACRU_15350_A",2021,"ACRU","Acer","rubrum","Acer rubrum","Red maple","15350*A",101,114,114,81,84,100,NA,NA,NA,236,77.5,"04-16-1924",122,135,179.277777777778,241.555555555556,2015.72222222222,1774.16666666667,1836.44444444444,79.1111111111111,110.861111111111,1311.33333333333,1200.47222222222,1232.22222222222,1200.47222222222,2.4638
"13","ACRU_15350_A",2022,"ACRU","Acer","rubrum","Acer rubrum","Red maple","15350*A",103,113,113,77,77,90,NA,NA,NA,257,77.5,"04-16-1924",144,154,215.861111111111,270.583333333333,2481.75,2211.16666666667,2265.88888888889,88.1111111111111,113.333333333333,1639.94444444444,1526.61111111111,1551.83333333333,1526.61111111111,1.2827
"15","ACRU_15350_A",2023,"ACRU","Acer","rubrum","Acer rubrum","Red maple","15350*A",102,104,104,NA,82,94,NA,NA,NA,231,77.5,"04-16-1924",127,129,211.972222222222,242.75,1924.25,1681.5,1712.27777777778,70.8055555555555,91.6388888888889,1206.66666666667,1115.02777777778,1135.86111111111,1115.02777777778,2.032
"17","ACRU_15350_A",2024,"ACRU","Acer","rubrum","Acer rubrum","Red maple","15350*A",104,111,111,NA,76,NA,NA,NA,NA,227,77.5,"04-16-1924",116,123,162.722222222222,205.166666666667,1937,1731.83333333333,1774.27777777778,52.0833333333333,73.7222222222222,1263.94444444444,1190.22222222222,1211.86111111111,1190.22222222222,1.1684
"19","ACRU_524-2009_A",2020,"ACRU","Acer","rubrum","Acer rubrum","Red maple","524-2009*A",120,126,120,NA,75,NA,124,NA,NA,271,64.2,"09-09-2009",151,151,241.694444444445,241.694444444445,2545.08333333333,2303.38888888889,2303.38888888889,80.5000000000001,80.5000000000001,1690.25,1609.75,1609.75,1514.11111111111,2.3495
"21","ACRU_525-2009_A",2020,"ACRU","Acer","rubrum","Acer rubrum","Red maple","525-2009*A",120,126,120,NA,75,NA,NA,NA,NA,271,55.7,"09-09-2009",151,151,241.694444444445,241.694444444445,2545.08333333333,2303.38888888889,2303.38888888889,80.5000000000001,80.5000000000001,1690.25,1609.75,1609.75,1514.11111111111,0.9144
"23","ACSA_12565_C",2016,"ACSA","Acer","saccharum","Acer saccharum","Sugar maple","12565*C",132,130,172,118,NA,NA,NA,NA,NA,286,97.6,"10-15-1883",114,154,381.222222222222,901.513888888889,2776.79444444444,1875.28055555555,2395.57222222222,167.977777777778,496.502777777778,1820.76111111111,1324.25833333333,1652.78333333333,1341.00277777778,2.4384
"24","ACSA_12565_C",2020,"ACSA","Acer","saccharum","Acer saccharum","Sugar maple","12565*C",121,126,124,NA,NA,NA,NA,NA,NA,278,97.6,"10-15-1883",154,157,246.444444444445,280.722222222222,2628.80555555555,2348.08333333333,2382.36111111111,81.7500000000001,102.083333333333,1744.47222222222,1642.38888888889,1662.72222222222,1620.52777777778,1.1176
"25","ACSA_187-2006_B",2016,"ACSA","Acer","saccharum","Acer saccharum","Sugar maple","187-2006*B",130,147,133,NA,NA,NA,NA,NA,NA,288,21.9,"04-26-2006",155,158,361.85,392.922222222222,2792.33055555555,2399.40833333333,2430.48055555555,154.258333333333,174.775,1829.41388888889,1654.63888888889,1675.15555555556,1662.73055555556,9.2329
