"year","GDD_5","GDD_moving_avg"
1936,1958.9,NA
1937,2048.2,NA
1938,2027.25,1938.71
1939,1918.35,1951.53
1940,1740.85,1950.43
1941,2023,1953.8
1942,2042.7,1985.85
1943,2044.1,2048.01
1944,2078.6,2045.01
1945,2051.65,2041.95
1946,2008,2028.63
1947,2027.4,2078.91
1948,1977.5,2072.98
1949,2330,2088.49
1950,2022,2114.53
1951,2085.55,2144.01
1952,2157.6,2079.5
1953,2124.9,2116.77
1954,2007.45,2078.21
1955,2208.35,2072.71
1956,1892.75,2027.78
1957,2130.1,2049.57
1958,1900.25,2018.57
1959,2116.4,2033.79
1960,2053.35,2002.85
1961,1968.85,2042.33
1962,1975.4,1994.49
1963,2097.65,1967.32
1964,1877.2,1979.03
1965,1917.5,1951.6
1966,2027.4,1924.54
1967,1838.25,1959.93
1968,1962.35,1994.27
1969,2054.15,1984.76
1970,2089.2,2004.54
1971,1979.85,2050.65
1972,1937.15,2039.38
1973,2192.9,2046.65
1974,1997.8,2119.84
1975,2125.55,2184.2
1976,2345.8,2149.85
1977,2258.95,2182.65
1978,2021.15,2173.54
1979,2161.8,2150.68
1980,2080,2094.22
1981,2231.5,2132.42
1982,1976.65,2113.84
1983,2212.15,2106.62
1984,2068.9,2059.29
1985,2043.9,2037.04
1986,1994.85,2012.4
1987,1865.4,2009.66
1988,2088.95,2013.82
1989,2055.2,2077.7
1990,2064.7,2078.65
1991,2314.25,2090.09
1992,1870.15,2124.1
1993,2146.15,2131.87
1994,2225.25,2067.16
1995,2103.55,2093.53
1996,1990.7,2088.13
1997,2002,2075.95
1998,2119.15,2049.9
1999,2164.35,2063.2
2000,1973.3,2100.04
2001,2057.2,2069.27
2002,2186.2,2033.27
2003,1965.3,2034.07
2004,1984.35,2048.21
2005,1977.3,2031.99
2006,2127.9,2055.38
2007,2105.1,2058.2
2008,2082.25,2130.1
2009,1998.45,2139.15
2010,2336.8,2183.65
2011,2173.15,2197.03
2012,2327.6,2205.29
2013,2149.15,2149.97
2014,2039.75,2163.46
2015,2060.2,2120.28
2016,2240.6,2140.43
2017,2111.7,2182.92
2018,2249.9,2199.32
2019,2252.2,2220.44
2020,2142.2,2260.48
2021,2346.2,2244.04
2022,2311.9,2229.71
2023,2167.7,NA
2024,2180.55,NA
