"","Plant_Nickname","year","phenophase"
"1","1196-84*A, Tree 5",2019,"budburst"
"2","1196-84*A, Tree 5",2020,"budburst"
"3","1196-84*A, Tree 5",2019,"col.leaves"
"4","1196-84*A, Tree 5",2024,"budburst"
"5","1196-84*A, Tree 5",2022,"budburst"
"6","1196-84*A, Tree 5",2024,"leafout"
"7","1196-84*A, Tree 5",2021,"budburst"
"8","1196-84*A, Tree 5",2020,"leafdrop"
"9","1196-84*A, Tree 5",2021,"leafout"
"10","1196-84*A, Tree 5",2022,"leafout"
"11","1196-84*A, Tree 5",2019,"leafdrop"
"12","1196-84*A, Tree 5",2020,"leafout"
"13","1196-84*A, Tree 5",2020,"col.leaves"
"14","1196-84*A, Tree 5",2019,"leafout"
"15","567-2008*B, Tree 6",2019,"budburst"
"16","567-2008*B, Tree 6",2022,"budburst"
"17","567-2008*B, Tree 6",2020,"leafout"
"18","567-2008*B, Tree 6",2020,"leafdrop"
"19","567-2008*B, Tree 6",2022,"leafout"
"20","567-2008*B, Tree 6",2019,"col.leaves"
"21","567-2008*B, Tree 6",2024,"budburst"
"22","567-2008*B, Tree 6",2019,"leafout"
"23","567-2008*B, Tree 6",2019,"leafdrop"
"24","567-2008*B, Tree 6",2020,"col.leaves"
"25","567-2008*B, Tree 6",2024,"leafout"
"26","567-2008*B, Tree 6",2020,"budburst"
"27","15350*A, Tree 7",2019,"budburst"
"28","15350*A, Tree 7",2023,"budburst"
"29","15350*A, Tree 7",2022,"budburst"
"30","15350*A, Tree 7",2024,"budburst"
"31","15350*A, Tree 7",2020,"leafdrop"
"32","15350*A, Tree 7",2020,"leafout"
"33","15350*A, Tree 7",2019,"leafdrop"
"34","15350*A, Tree 7",2023,"col.leaves"
"35","15350*A, Tree 7",2022,"leafdrop"
"36","15350*A, Tree 7",2021,"leafout"
"37","15350*A, Tree 7",2021,"col.leaves"
"38","15350*A, Tree 7",2019,"leafout"
"39","15350*A, Tree 7",2023,"leafout"
"40","15350*A, Tree 7",2020,"col.leaves"
"41","15350*A, Tree 7",2024,"col.leaves"
"42","15350*A, Tree 7",2022,"col.leaves"
"43","15350*A, Tree 7",2021,"leafdrop"
"44","15350*A, Tree 7",2022,"leafout"
"45","15350*A, Tree 7",2023,"leafdrop"
"46","15350*A, Tree 7",2020,"budburst"
"47","15350*A, Tree 7",2024,"leafout"
"48","15350*A, Tree 7",2021,"budburst"
"49","525-2009*A, Tree 8",2020,"leafout"
"50","525-2009*A, Tree 8",2020,"col.leaves"
"51","525-2009*A, Tree 8",2020,"leafdrop"
"52","525-2009*A, Tree 8",2019,"col.leaves"
"53","525-2009*A, Tree 8",2019,"leafdrop"
"54","525-2009*A, Tree 8",2019,"leafout"
"55","525-2009*A, Tree 8",2020,"budburst"
"56","525-2009*A, Tree 8",2019,"budburst"
"57","524-2009*A, Tree 9",2020,"leafdrop"
"58","524-2009*A, Tree 9",2019,"leafdrop"
"59","524-2009*A, Tree 9",2020,"budburst"
"60","524-2009*A, Tree 9",2020,"col.leaves"
"61","524-2009*A, Tree 9",2020,"leafout"
"62","524-2009*A, Tree 9",2019,"budburst"
"63","524-2009*A, Tree 9",2019,"col.leaves"
"64","524-2009*A, Tree 9",2019,"leafout"
