"plantNickname","latbi"
"12651*C","Aesculus flava"
"12651*D","Aesculus flava"
"12651*H","Aesculus flava"
"12651*I","Aesculus flava"
"925-79*B","Aesculus flava"
"12843*A","Betula alleghaniensis"
"12843*D","Betula alleghaniensis"
"12843*E","Betula alleghaniensis"
"12843*H","Betula alleghaniensis"
"1199*D","Betula nigra"
"1251-79*A","Betula nigra"
"1251-79*B","Betula nigra"
"1199*J","Betula nigra"
"20098*A","Carya glabra"
"6990*A","Carya glabra"
"2019*S","Carya glabra"
"2019*R","Carya glabra"
"12907*B","Carya ovata"
"12907*D","Carya ovata"
"12907*G","Carya ovata"
"12907*I","Carya ovata"
"12907*N","Carya ovata"
"16611*F","Populus deltoides"
"16611*J","Populus deltoides"
"16611*K","Populus deltoides"
"22099*A","Populus deltoides"
"11253*A","Quercus rubra"
"5859*B","Quercus rubra"
"8197*A","Quercus rubra"
"1323-82*A","Tilia americana"
"19804*A","Tilia americana"
"1251-79*E","Betula nigra"
"611-2010*A","Quercus alba"
"17538*A","Tilia americana"
"21815*E","Quercus alba"
"227-2011*A","Quercus alba"
"5859*A","Quercus rubra"
"358-82*A","Quercus alba"
"7141*A","Tilia americana"
"17527*D","Tilia americana"
"22886*D","Quercus alba"
"187-2006*B","Acer saccharum"
"22834*B","Acer saccharum"
"20645*A","Acer saccharum"
"12565*C","Acer saccharum"
"689-2010*A","Acer saccharum"
"1196-84*A","Acer rubrum"
"15350*A","Acer rubrum"
"525-2009*A","Acer rubrum"
"524-2009*A","Acer rubrum"
