<<<<<<< HEAD
"name","cmt","lat","long"
"11253*A |  QURU","GarLoc: 25-SE | DBH: 69.5 cm | PhenoLev: med",42.30002036,-71.12432118
"1196-84*A |  ACRU","GarLoc: 11-NE | DBH: 27.3 cm | PhenoLev: med",42.30388171,-71.12019927
"1199*D |  BENI","GarLoc: 13-SE | DBH: 68 cm | PhenoLev: med",42.30215088,-71.12401559
"1199*J |  BENI","GarLoc: 13-NE | DBH: 89.1 cm | PhenoLev: med",42.30252077,-71.12397574
"1251-79*A |  BENI","GarLoc: 13-SE | DBH: 78 cm | PhenoLev: high",42.30223154,-71.12410601
"1251-79*B |  BENI","GarLoc: 13-SE | DBH: 70.8 cm | PhenoLev: high",42.30228781,-71.12445659
"1251-79*E |  BENI","GarLoc: 13-SE | DBH: 70 cm | PhenoLev: med",42.3022236,-71.12398789
"12565*C |  ACSA","GarLoc: 11-SE | DBH: 97.6 cm | PhenoLev: med",42.30346585,-71.12008242
"12651*C |  AEFL","GarLoc: 11-NW | DBH: 35.3 cm | PhenoLev: med",42.30355576,-71.1212595
"12651*D |  AEFL","GarLoc: 11-SW | DBH: 60.2 cm | PhenoLev: med",42.30351523,-71.12133382
"12651*H |  AEFL","GarLoc: 11-NW | DBH: 49.1 cm | PhenoLev: med",42.3035604,-71.12143904
"12651*I |  AEFL","GarLoc: 57-NE | DBH: 61.1 cm | PhenoLev: high",42.2931417,-71.12879258
"12843*A |  BEAL","GarLoc: 14-SW | DBH: 73.8 cm | PhenoLev: high",42.3020682,-71.12386246
"12843*D |  BEAL","GarLoc: 14-SW | DBH: 70.9 cm | PhenoLev: med",42.302041,-71.12388059
"12843*E |  BEAL","GarLoc: 14-SW | DBH: 56.2 cm | PhenoLev: med",42.30194577,-71.12374252
"12843*H |  BEAL","GarLoc: 14-SW | DBH: 64.6 cm | PhenoLev: med",42.30199149,-71.12371027
"12907*B |  CAOV","GarLoc: 19-NW | DBH: 54.8 cm | PhenoLev: med",42.30172976,-71.12580046
"12907*D |  CAOV","GarLoc: 19-NW | DBH: 51.8 cm | PhenoLev: med",42.30168923,-71.12587438
"12907*G |  CAOV","GarLoc: 19-NW | DBH: 59.5 cm | PhenoLev: high",42.30181554,-71.1256858
"12907*I |  CAOV","GarLoc: 19-NW | DBH: 51 cm | PhenoLev: high",42.30185516,-71.12559225
"12907*N |  CAOV","GarLoc: 19-NW | DBH: 61.2 cm | PhenoLev: high",42.30163563,-71.12561522
