"","genus","species","latbi","commonName","symbol","phase","year","doy","numYs","plantNickname"
"1","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","leafout",2015,165,1,"12651*C"
"6","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","leafDrop",2015,266,1,"12651*D"
"8","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","leafout",2015,165,1,"12651*D"
"10","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","coloredLeaves",2015,255,1,"12651*D"
"11","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","recentFruitOrSeedDrop",2015,266,1,"12651*D"
"14","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","ripeFruits",2015,255,1,"12651*H"
"16","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","leafDrop",2015,255,1,"12651*H"
"18","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","leafout",2015,165,1,"12651*H"
"21","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","coloredLeaves",2015,255,1,"12651*H"
"23","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","recentFruitOrSeedDrop",2015,266,1,"12651*H"
"24","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","fruits",2015,230,1,"12651*H"
"25","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","ripeFruits",2015,279,1,"12651*I"
"29","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","leafDrop",2015,248,1,"12651*I"
"30","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","leafout",2015,144,1,"12651*I"
"31","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","coloredLeaves",2015,248,1,"12651*I"
"33","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","recentFruitOrSeedDrop",2015,279,1,"12651*I"
"37","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","ripeFruits",2015,255,1,"925-79*B"
"38","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","leafDrop",2015,240,1,"925-79*B"
"39","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","leafout",2015,147,1,"925-79*B"
"40","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","coloredLeaves",2015,218,1,"925-79*B"
"42","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","recentFruitOrSeedDrop",2015,255,1,"925-79*B"
"43","Aesculus","flava","Aesculus flava","Yellow buckeye","AEFL","fruits",2015,147,1,"925-79*B"
"44","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","budburst",2015,138,1,"12843*A"
"47","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","budburst",2015,177,1,"12843*A"
"54","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","ripeFruits",2015,240,1,"12843*A"
"67","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","leafDrop",2015,250,1,"12843*A"
"70","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","leafDrop",2015,278,1,"12843*A"
"71","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","leafout",2015,138,1,"12843*A"
"74","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","coloredLeaves",2015,250,1,"12843*A"
"77","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","coloredLeaves",2015,278,1,"12843*A"
"79","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","flowers",2015,150,1,"12843*A"
"80","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","flowers",2015,178,1,"12843*A"
"81","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","flowers",2015,250,1,"12843*A"
"82","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","flowers",2015,258,1,"12843*A"
"101","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","recentFruitOrSeedDrop",2015,270,1,"12843*A"
"109","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","fruits",2015,177,1,"12843*A"
"111","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","fruits",2015,191,1,"12843*A"
"113","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","fruits",2015,249,1,"12843*A"
"120","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","budburst",2015,142,1,"12843*D"
"123","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","ripeFruits",2015,243,1,"12843*D"
"129","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","leafDrop",2015,270,1,"12843*D"
"131","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","leafout",2015,138,1,"12843*D"
"132","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","coloredLeaves",2015,249,1,"12843*D"
"133","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","coloredLeaves",2015,270,1,"12843*D"
"135","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","flowers",2015,150,1,"12843*D"
"136","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","flowers",2015,181,1,"12843*D"
"140","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","openFlowers",2015,158,1,"12843*D"
"145","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","fruits",2015,202,1,"12843*D"
"148","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","budburst",2015,138,1,"12843*E"
"156","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","ripeFruits",2015,240,1,"12843*E"
"166","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","leafDrop",2015,250,1,"12843*E"
"167","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","leafout",2015,138,1,"12843*E"
"171","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","coloredLeaves",2015,250,1,"12843*E"
"173","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","flowers",2015,150,1,"12843*E"
"174","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","flowers",2015,178,1,"12843*E"
"175","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","flowers",2015,250,1,"12843*E"
"189","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","openFlowers",2015,164,1,"12843*E"
"197","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","recentFruitOrSeedDrop",2015,262,1,"12843*E"
"204","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","fruits",2015,177,1,"12843*E"
"205","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","fruits",2015,187,1,"12843*E"
"211","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","budburst",2015,138,1,"12843*H"
"221","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","ripeFruits",2015,262,1,"12843*H"
"222","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","ripeFruits",2015,282,1,"12843*H"
"229","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","leafDrop",2015,258,1,"12843*H"
"231","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","leafDrop",2015,282,1,"12843*H"
"232","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","leafout",2015,138,1,"12843*H"
"237","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","coloredLeaves",2015,282,1,"12843*H"
"239","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","flowers",2015,167,1,"12843*H"
"240","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","flowers",2015,178,1,"12843*H"
"241","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","flowers",2015,250,1,"12843*H"
"254","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","openFlowers",2015,167,1,"12843*H"
"257","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","recentFruitOrSeedDrop",2015,289,1,"12843*H"
"264","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","fruits",2015,194,1,"12843*H"
"266","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","fruits",2015,249,1,"12843*H"
"267","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","BEAL2","fruits",2015,262,1,"12843*H"
"333","Betula","nigra","Betula nigra","River birch","BENI","budburst",2015,138,1,"1199*D"
"336","Betula","nigra","Betula nigra","River birch","BENI","budburst",2015,177,1,"1199*D"
"352","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2015,282,1,"1199*D"
"353","Betula","nigra","Betula nigra","River birch","BENI","leafout",2015,138,1,"1199*D"
"354","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2015,202,1,"1199*D"
"360","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2015,282,1,"1199*D"
"363","Betula","nigra","Betula nigra","River birch","BENI","flowers",2015,172,1,"1199*D"
"367","Betula","nigra","Betula nigra","River birch","BENI","flowers",2015,258,1,"1199*D"
"370","Betula","nigra","Betula nigra","River birch","BENI","flowers",2015,288,1,"1199*D"
"383","Betula","nigra","Betula nigra","River birch","BENI","budburst",2015,138,1,"1251-79*A"
"386","Betula","nigra","Betula nigra","River birch","BENI","budburst",2015,177,1,"1251-79*A"
"388","Betula","nigra","Betula nigra","River birch","BENI","budburst",2015,191,1,"1251-79*A"
"403","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2015,258,1,"1251-79*A"
"404","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2015,270,1,"1251-79*A"
"405","Betula","nigra","Betula nigra","River birch","BENI","leafout",2015,138,1,"1251-79*A"
"408","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2015,218,1,"1251-79*A"
"412","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2015,258,1,"1251-79*A"
"413","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2015,270,1,"1251-79*A"
"415","Betula","nigra","Betula nigra","River birch","BENI","flowers",2015,150,1,"1251-79*A"
"422","Betula","nigra","Betula nigra","River birch","BENI","flowers",2015,258,1,"1251-79*A"
"439","Betula","nigra","Betula nigra","River birch","BENI","recentFruitOrSeedDrop",2015,164,1,"1251-79*A"
"441","Betula","nigra","Betula nigra","River birch","BENI","budburst",2015,142,1,"1251-79*B"
"444","Betula","nigra","Betula nigra","River birch","BENI","budburst",2015,177,1,"1251-79*B"
"456","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2015,240,1,"1251-79*B"
"457","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2015,254,1,"1251-79*B"
"458","Betula","nigra","Betula nigra","River birch","BENI","leafout",2015,138,1,"1251-79*B"
"459","Betula","nigra","Betula nigra","River birch","BENI","leafout",2015,313,1,"1251-79*B"
"460","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2015,218,1,"1251-79*B"
"461","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2015,240,1,"1251-79*B"
"462","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2015,254,1,"1251-79*B"
"464","Betula","nigra","Betula nigra","River birch","BENI","flowers",2015,150,1,"1251-79*B"
"474","Betula","nigra","Betula nigra","River birch","BENI","flowers",2015,258,1,"1251-79*B"
"487","Betula","nigra","Betula nigra","River birch","BENI","openFlowers",2015,158,1,"1251-79*B"
"491","Betula","nigra","Betula nigra","River birch","BENI","recentFruitOrSeedDrop",2015,158,1,"1251-79*B"
"493","Betula","nigra","Betula nigra","River birch","BENI","budburst",2015,139,1,"1199*J"
"500","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2015,270,1,"1199*J"
"501","Betula","nigra","Betula nigra","River birch","BENI","leafout",2015,138,1,"1199*J"
"504","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2015,250,1,"1199*J"
"505","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2015,270,1,"1199*J"
"507","Betula","nigra","Betula nigra","River birch","BENI","flowers",2015,150,1,"1199*J"
"512","Betula","nigra","Betula nigra","River birch","BENI","openFlowers",2015,158,1,"1199*J"
"520","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafout",2015,148,1,"20098*A"
"525","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafout",2015,150,1,"6990*A"
"526","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","fruits",2015,161,1,"6990*A"
"527","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafout",2015,148,1,"2019*S"
"532","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","fruits",2015,161,1,"2019*S"
"536","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","leafout",2015,148,1,"2019*R"
"541","Carya","glabra","Carya glabra","Pignut hickory","CAGL8","fruits",2015,148,1,"2019*R"
"545","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafout",2015,148,1,"12907*B"
"550","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","fruits",2015,161,1,"12907*B"
"554","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafout",2015,148,1,"12907*D"
"557","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","fruits",2015,226,1,"12907*D"
"565","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafout",2015,148,1,"12907*G"
"572","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","fruits",2015,169,1,"12907*G"
"580","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafout",2015,148,1,"12907*I"
"588","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","fruits",2015,161,1,"12907*I"
"589","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","budburst",2015,150,1,"12907*N"
"595","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","leafout",2015,148,1,"12907*N"
"602","Carya","ovata","Carya ovata","Shagbark hickory","CAOV2","fruits",2015,161,1,"12907*N"
"636","Populus","deltoides","Populus deltoides","Eastern cottonwood","PODE3","increasingLeafSize",2015,172,1,"16611*F"
"640","Populus","deltoides","Populus deltoides","Eastern cottonwood","PODE3","leafDrop",2015,256,1,"16611*F"
"641","Populus","deltoides","Populus deltoides","Eastern cottonwood","PODE3","leafout",2015,138,1,"16611*F"
"642","Populus","deltoides","Populus deltoides","Eastern cottonwood","PODE3","coloredLeaves",2015,248,1,"16611*F"
"647","Populus","deltoides","Populus deltoides","Eastern cottonwood","PODE3","increasingLeafSize",2015,172,1,"16611*J"
"650","Populus","deltoides","Populus deltoides","Eastern cottonwood","PODE3","leafDrop",2015,248,1,"16611*J"
"651","Populus","deltoides","Populus deltoides","Eastern cottonwood","PODE3","leafout",2015,138,1,"16611*J"
"652","Populus","deltoides","Populus deltoides","Eastern cottonwood","PODE3","coloredLeaves",2015,220,1,"16611*J"
"657","Populus","deltoides","Populus deltoides","Eastern cottonwood","PODE3","increasingLeafSize",2015,172,1,"16611*K"
"660","Populus","deltoides","Populus deltoides","Eastern cottonwood","PODE3","leafDrop",2015,248,1,"16611*K"
"661","Populus","deltoides","Populus deltoides","Eastern cottonwood","PODE3","leafout",2015,138,1,"16611*K"
"663","Populus","deltoides","Populus deltoides","Eastern cottonwood","PODE3","coloredLeaves",2015,249,1,"16611*K"
"680","Populus","deltoides","Populus deltoides","Eastern cottonwood","PODE3","leafDrop",2015,248,1,"22099*A"
"681","Populus","deltoides","Populus deltoides","Eastern cottonwood","PODE3","leafout",2015,138,1,"22099*A"
"682","Populus","deltoides","Populus deltoides","Eastern cottonwood","PODE3","coloredLeaves",2015,248,1,"22099*A"
"691","Quercus","rubra","Quercus rubra","Northern red oak","QURU","ripeFruits",2015,278,1,"11253*A"
"694","Quercus","rubra","Quercus rubra","Northern red oak","QURU","leafout",2015,252,1,"11253*A"
"695","Quercus","rubra","Quercus rubra","Northern red oak","QURU","coloredLeaves",2015,278,1,"11253*A"
"696","Quercus","rubra","Quercus rubra","Northern red oak","QURU","recentFruitOrSeedDrop",2015,278,1,"11253*A"
"698","Quercus","rubra","Quercus rubra","Northern red oak","QURU","leafout",2015,218,1,"5859*B"
"706","Quercus","rubra","Quercus rubra","Northern red oak","QURU","leafout",2015,252,1,"8197*A"
"714","Tilia","americana","Tilia americana","American basswood","TIAM","ripeFruits",2015,248,1,"1323-82*A"
"718","Tilia","americana","Tilia americana","American basswood","TIAM","leafDrop",2015,256,1,"1323-82*A"
"719","Tilia","americana","Tilia americana","American basswood","TIAM","leafout",2015,144,1,"1323-82*A"
"720","Tilia","americana","Tilia americana","American basswood","TIAM","coloredLeaves",2015,256,1,"1323-82*A"
"721","Tilia","americana","Tilia americana","American basswood","TIAM","flowers",2015,154,1,"1323-82*A"
"726","Tilia","americana","Tilia americana","American basswood","TIAM","fruits",2015,202,1,"1323-82*A"
"727","Tilia","americana","Tilia americana","American basswood","TIAM","fruits",2015,248,1,"1323-82*A"
"731","Tilia","americana","Tilia americana","American basswood","TIAM","leafDrop",2015,255,1,"19804*A"
"732","Tilia","americana","Tilia americana","American basswood","TIAM","leafout",2015,137,1,"19804*A"
"734","Tilia","americana","Tilia americana","American basswood","TIAM","coloredLeaves",2015,255,1,"19804*A"
"739","Betula","nigra","Betula nigra","River birch","BENI","budburst",2015,138,1,"1251-79*E"
"742","Betula","nigra","Betula nigra","River birch","BENI","budburst",2015,177,1,"1251-79*E"
"753","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2015,202,1,"1251-79*E"
"755","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2015,228,1,"1251-79*E"
"756","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2015,240,1,"1251-79*E"
"757","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2015,258,1,"1251-79*E"
"759","Betula","nigra","Betula nigra","River birch","BENI","leafDrop",2015,278,1,"1251-79*E"
"761","Betula","nigra","Betula nigra","River birch","BENI","leafout",2015,138,1,"1251-79*E"
"763","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2015,202,1,"1251-79*E"
"764","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2015,218,1,"1251-79*E"
"765","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2015,240,1,"1251-79*E"
"766","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2015,258,1,"1251-79*E"
"768","Betula","nigra","Betula nigra","River birch","BENI","coloredLeaves",2015,278,1,"1251-79*E"
"771","Betula","nigra","Betula nigra","River birch","BENI","flowers",2015,150,1,"1251-79*E"
"778","Betula","nigra","Betula nigra","River birch","BENI","openFlowers",2015,158,1,"1251-79*E"
"781","Betula","nigra","Betula nigra","River birch","BENI","recentFruitOrSeedDrop",2015,164,1,"1251-79*E"
"788","Quercus","alba","Quercus alba","White oak","QUAL","leafDrop",2015,248,1,"611-2010*A"
"789","Quercus","alba","Quercus alba","White oak","QUAL","leafDrop",2015,279,1,"611-2010*A"
"790","Quercus","alba","Quercus alba","White oak","QUAL","leafout",2015,144,1,"611-2010*A"
"791","Quercus","alba","Quercus alba","White oak","QUAL","coloredLeaves",2015,248,1,"611-2010*A"
"792","Quercus","alba","Quercus alba","White oak","QUAL","coloredLeaves",2015,279,1,"611-2010*A"
"793","Quercus","alba","Quercus alba","White oak","QUAL","recentFruitOrSeedDrop",2015,279,1,"611-2010*A"
"803","Tilia","americana","Tilia americana","American basswood","TIAM","leafDrop",2015,279,1,"17538*A"
"804","Tilia","americana","Tilia americana","American basswood","TIAM","leafout",2015,144,1,"17538*A"
"806","Tilia","americana","Tilia americana","American basswood","TIAM","coloredLeaves",2015,279,1,"17538*A"
"810","Quercus","alba","Quercus alba","White oak","QUAL","leafout",2015,252,1,"21815*E"
"813","Quercus","alba","Quercus alba","White oak","QUAL","leafout",2015,252,1,"227-2011*A"
"817","Quercus","rubra","Quercus rubra","Northern red oak","QURU","leafout",2015,252,1,"5859*A"
"819","Quercus","rubra","Quercus rubra","Northern red oak","QURU","recentFruitOrSeedDrop",2015,252,1,"5859*A"
"821","Quercus","alba","Quercus alba","White oak","QUAL","leafout",2015,252,1,"358-82*A"
"826","Tilia","americana","Tilia americana","American basswood","TIAM","leafDrop",2015,255,1,"7141*A"
"827","Tilia","americana","Tilia americana","American basswood","TIAM","leafout",2015,137,1,"7141*A"
"829","Tilia","americana","Tilia americana","American basswood","TIAM","coloredLeaves",2015,255,1,"7141*A"
"838","Tilia","americana","Tilia americana","American basswood","TIAM","leafDrop",2015,255,1,"17527*D"
"839","Tilia","americana","Tilia americana","American basswood","TIAM","leafout",2015,137,1,"17527*D"
"840","Tilia","americana","Tilia americana","American basswood","TIAM","coloredLeaves",2015,230,1,"17527*D"
"842","Quercus","alba","Quercus alba","White oak","QUAL","leafout",2015,252,1,"22886*D"
"844","Acer","saccharum","Acer saccharum","Sugar maple","ACSA3","leafDrop",2015,287,1,"187-2006*B"
"845","Acer","saccharum","Acer saccharum","Sugar maple","ACSA3","leafout",2015,218,1,"187-2006*B"
"846","Acer","saccharum","Acer saccharum","Sugar maple","ACSA3","coloredLeaves",2015,280,1,"187-2006*B"
"849","Acer","saccharum","Acer saccharum","Sugar maple","ACSA3","leafDrop",2015,280,1,"22834*B"
"850","Acer","saccharum","Acer saccharum","Sugar maple","ACSA3","leafout",2015,148,1,"22834*B"
"851","Acer","saccharum","Acer saccharum","Sugar maple","ACSA3","coloredLeaves",2015,280,1,"22834*B"
"858","Acer","saccharum","Acer saccharum","Sugar maple","ACSA3","leafDrop",2015,280,1,"20645*A"
"859","Acer","saccharum","Acer saccharum","Sugar maple","ACSA3","leafout",2015,148,1,"20645*A"
