Plant ID,Plant Lineage,Family,Genus,Specific epithet,Cultivar,Scientific Name,Name Status,Reference(s),Parentage,Alternate Name(s),Common Name(s),Habit,Accession Number,Accession Date,Received How,Received As,Abbreviated Name,Infraspecific Rank,Infraspecific Epithet,Provenance,Sampling Technique,Seed Source,Propagation History,Plant Source,Plant Source Accession Number,Plant Source Accession Date,Plant Source Misc.,Index Seminum Year,Index Seminum Item,Collector,Collector Number,Date Collected,Country,Sublocality,Geographic Area,Locality,Georeference Source,Accuracy,Certainty,Collection Latitude,Collection Longitude,Altitude,Altitude Unit,Slope Aspect,Habitat,Soil,Description,Collection Miscellaneous,Associated Taxa,Garden Location,Grid,Quadrant,Garden Latitude,Garden Longitude,Condition Check Date,Condition,Sex,Measurement Date,DBH,DBH Unit,DBH Misc,DBH Accuracy,Height,Height Unit,Height Accuracy,Spread,Spread Unit,Spread Accuracy,Verification,Horticulture Zone,Of Conservation Concern
1251-79*A,1251-79,Betulaceae,Betula,nigra,,Betula nigra,Accepted name,1993. Flora of North America Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Http://www.Efloras.Org/florataxon.Aspx?flora_id=1&amp;taxon_id=220006616.,,,River Birch,Tree,1251-79,12-20-1979,Seedling,Betula nigra,Bet. nigra,,,Collected directly from the wild; origin known,XX,X,SA,1979 Missouri and Illinois Collecti,,,,,,"Koller, G.L., Alexander, J.H.",,01-25-1979,United States,Missouri,,Approximately 3 mile SE of Zalma,,,,,,,,,Along south bank of Castor River,,,,,13-SE,13,SE,42.30223154,-71.12410601,2017-12-31,Alive,,,78,C,basal,,,,,,,,"Hugh McAllister, 18 Jun 2009, Betula nigra, 3",2.10,No
1251-79*E,1251-79,Betulaceae,Betula,nigra,,Betula nigra,Accepted name,1993. Flora of North America Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Http://www.Efloras.Org/florataxon.Aspx?flora_id=1&amp;taxon_id=220006616.,,,River Birch,Tree,1251-79,12-20-1979,Seedling,Betula nigra,Bet. nigra,,,Collected directly from the wild; origin known,XX,X,SA,1979 Missouri and Illinois Collecti,,,,,,"Koller, G.L., Alexander, J.H.",,01-25-1979,United States,Missouri,,Approximately 3 mile SE of Zalma,,,,,,,,,Along south bank of Castor River,,,,,13-SE,13,SE,42.3022236,-71.12398789,2017-12-31,Alive,,2017-06-14,70,C,,,,,,,,,"Hugh McAllister, 18 Jun 2009, Betula nigra, 3",2.10,No
1251-79*B,1251-79,Betulaceae,Betula,nigra,,Betula nigra,Accepted name,1993. Flora of North America Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Http://www.Efloras.Org/florataxon.Aspx?flora_id=1&amp;taxon_id=220006616.,,,River Birch,Tree,1251-79,12-20-1979,Seedling,Betula nigra,Bet. nigra,,,Collected directly from the wild; origin known,XX,X,SA,1979 Missouri and Illinois Collecti,,,,,,"Koller, G.L., Alexander, J.H.",,01-25-1979,United States,Missouri,,Approximately 3 mile SE of Zalma,,,,,,,,,Along south bank of Castor River,,,,,13-SE,13,SE,42.30228781,-71.12445659,2021-09-09,Good,,2017-10-11,70.8,C,at 1m,,,,,,,,,2.9,No
12565*C,12565,Sapindaceae,Acer,saccharum,,Acer saccharum,Accepted name,"New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London.",,"Acer saccharophorum, Aster saccharum",Sugar Maple,Tree,12565,10-15-1883,Plant,Acer saccharinum; A. barbatum; A. saccharum glaucum,A. saccharum,,,Collected directly from the wild; origin known,,,,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Dawson, J. T.",828-833,10-15-1883,United States,"Massachusetts, Malden",,,,,,,,,,,,,,,,11-SE,11,SE,42.30346585,-71.12008242,2023-11-08,Good,,2019-10-07,97.6,C,at 0.8m,,,,,,,,"Delendick,T.J., 01 May 1986, Acer saccharum, 2",1.6,No
12651*D,12651,Sapindaceae,Aesculus,flava,,Aesculus flava,Accepted name,"Hillier Nurseries 1991. The Hillier Manual of Trees &amp; Shrubs, Ed. 6. Ampfiled House, Ampfield: Hillier Nurseries (Winchester) Ltd. 1-704 pp.",,"Aesculus octandra, Aesculus octandra forma vestita, Aesculus octandra forma virginica","Yellow Buckeye, Sweet Buckeye",Tree,12651,07-01-1906,Seed,Aesculus octandra f. vestita,Aesc. flava,,,Collected directly from the wild; origin known,,,,"Mr. Thomas Grant Harbison, Highlands, NC, United States",,,,,,"Harbison, T. G.",,07-01-1906,United States,"North Carolina, Buncombe County",,Craggy Mt.,,,,,,,,,,,,,,11-SW,11,SW,42.30351523,-71.12133382,2019-09-17,Good,,2019-09-17,60.2,C,,,,,,,,,"Michener, D., 01 Jan 1987, Aesculus flava, 2",1.15,No
12651*C,12651,Sapindaceae,Aesculus,flava,,Aesculus flava,Accepted name,"Hillier Nurseries 1991. The Hillier Manual of Trees &amp; Shrubs, Ed. 6. Ampfiled House, Ampfield: Hillier Nurseries (Winchester) Ltd. 1-704 pp.",,"Aesculus octandra, Aesculus octandra forma vestita, Aesculus octandra forma virginica","Yellow Buckeye, Sweet Buckeye",Tree,12651,07-01-1906,Seed,Aesculus octandra f. vestita,Aesc. flava,,,Collected directly from the wild; origin known,,,,"Mr. Thomas Grant Harbison, Highlands, NC, United States",,,,,,"Harbison, T. G.",,07-01-1906,United States,"North Carolina, Buncombe County",,Craggy Mt.,,,,,,,,,,,,,,11-NW,11,NW,42.30355576,-71.1212595,2019-09-17,Good,,2019-09-17,35.3,C,,,,,,,,,,1.15,No
1323-82*A,1323-82,Malvaceae,Tilia,americana,,Tilia americana,Accepted name,"Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,"American Linden, American Basswood",Tree,1323-82,10-08-1982,Plant,Tilia americana,T. americana,,,Collected directly from the wild; origin known,XX,X,SA,"Ms. Ida Hay, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Hay, I., Geary, S.",,10-05-1982,United States,"Massachusetts, Franklin County, West Whately",,,,,,,,,,,,,,,,51-NW,51,NW,42.29514117,-71.12601307,2021-06-07,Good,,2021-06-07,94.3,C,,,,,,,,,,4.13,No
19804*A,19804,Malvaceae,Tilia,americana,,Tilia americana,Accepted name,"Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,"American Linden, American Basswood",Tree,19804,07-01-1916,Seed,"Tilia sp., Tilia heterophylla",T. americana,,,Collected directly from the wild; origin known,S,X,SA,"Mr. Charles C. Deam, Bluffton, IN, United States",,,,,,"Deam, C. C.",18806,,United States,Indiana,,,,,,,,,,,,,,,,7-SE,7,SE,42.30440146,-71.12199832,2021-07-06,Good,,2019-09-11,80.5,C,,,,,,,,,"Mazzeo, P., 01 Jan 1986, Tilia americana, 2",1.16,No
22947*B,22947,Hamamelidaceae,Hamamelis,virginiana,,Hamamelis virginiana,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp.",,Hamamelis macrophylla,Common Witch-hazel,Shrub,22947,07-01-1951,Unknown,Hamamelis virginiana,Ham. virg.,,,Uncertain origin,XX,X,U,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,25-SW,25,SW,42.30000187,-71.1252044,2017-10-17,Good,,2017-10-17,8.2,C,largest stem,,,,,,,,,2.7,No
525-2009*A,525-2009,Sapindaceae,Acer,rubrum,,Acer rubrum,Accepted name,"New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London.",,,Red Maple,Tree,525-2009,09-09-2009,Existing plant,Acer rubrum,A. rubrum,,,Uncertain origin,,,,"Unknown via Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,,,,,,,,,,,,,,,,,,,,,11-SW,11,SW,42.30320004,-71.12119722,2019-09-17,Good,,2019-09-17,55.7,C,,,,,,,,,,1.15,No
