 ,Label,Area,Mean,Min,Max,Angle,Length
1,ACRU_15350_A_II.tif:03418-00786,6.896E-6,166.081,98.835,183.442,-94.736,0.059
2,ACRU_15350_A_II.tif:04129-00762,1.230E-5,169.984,147.253,191.359,-96.445,0.106
3,ACRU_15350_A_II.tif:04841-00705,7.139E-6,166.157,146.377,192.250,-97.853,0.061
4,ACRU_15350_A_II.tif:05639-00657,1.422E-5,165.511,148.644,188.178,-96.557,0.122
5,ACRU_15350_A_II.tif:06403-00687,6.260E-6,167.983,149.293,183.227,-95.970,0.054
6,ACRU_15350_A_II.tif:07056-00684,1.111E-5,168.308,144.346,188.937,-95.030,0.095
7,ACRU_15350_A_II.tif:07968-00651,1.335E-5,165.106,144.841,192.169,-95.005,0.115
8,ACRU_15350_A_II.tif:08875-00659,1.059E-5,165.532,147.774,182.737,-98.980,0.091
9,ACRU_15350_A_II.tif:09621-00636,9.181E-6,160.822,140.068,188.694,-97.461,0.079
10,ACRU_15350_A_II.tif:10493-00649,1.431E-5,165.109,146.078,185.532,-95.538,0.123
11,ACRU_15350_A_II.tif:11662-00701,1.652E-5,163.137,144.206,182.364,-97.626,0.142
12,ACRU_15350_A_II.tif:12877-00668,1.621E-5,165.785,143.014,191.857,-97.291,0.139
13,ACRU_15350_A_II.tif:14075-00710,1.606E-5,162.584,142.314,187.348,-94.058,0.138
14,ACRU_15350_A_II.tif:15124-00740,1.237E-5,160.932,143.379,185.185,-91.254,0.106
15,ACRU_15350_A_II.tif:15991-00740,1.099E-5,162.468,143.146,188.425,-90.282,0.094
16,ACRU_15350_A_II.tif:16952-00724,1.497E-5,158.129,134.802,194.223,-89.171,0.129
17,ACRU_15350_A_II.tif:18115-00769,1.656E-5,157.717,136.000,192.828,-89.157,0.142
18,ACRU_15350_A_II.tif:19206-00817,1.293E-5,159.139,136.283,185.557,-87.479,0.111
19,ACRU_15350_A_II.tif:20238-00813,1.483E-5,155.849,133.851,183.813,-86.548,0.127
20,ACRU_15350_A_II.tif:21253-00908,1.260E-5,156.603,134.476,180.802,-85.073,0.108
21,ACRU_15350_A_II.tif:22056-00940,9.072E-6,158.065,131.517,187.202,-83.830,0.078
22,ACRU_15350_A_II.tif:22880-00921,1.293E-5,155.191,135.702,186.323,-84.349,0.111
23,ACRU_15350_A_II.tif:23904-00950,1.481E-5,159.915,131.178,187.870,-84.967,0.127
24,ACRU_15350_A_II.tif:25040-00983,1.595E-5,159.270,135.830,187.394,-87.958,0.137
25,ACRU_15350_A_II.tif:26485-00984,2.305E-5,163.332,141.235,186.554,-89.193,0.198
26,ACRU_15350_A_II.tif:27793-01043,1.209E-5,161.262,139.422,189.111,-92.183,0.104
27,ACRU_15350_A_II.tif:28845-01006,1.622E-5,164.367,139.381,188.496,-94.018,0.139
28,ACRU_15350_A_II.tif:29788-00996,8.897E-6,159.185,137.593,182.532,-95.589,0.076
29,ACRU_15350_A_II.tif:30772-00959,1.762E-5,159.282,128.628,181.816,-94.318,0.151
30,ACRU_15350_A_II.tif:31893-00952,1.228E-5,156.012,134.221,185.343,-97.094,0.105
31,ACRU_15350_A_II.tif:32936-00948,1.543E-5,153.837,132.086,183.313,-95.841,0.133
32,ACRU_15350_A_II.tif:34040-01027,1.363E-5,149.671,126.406,177.878,-92.391,0.117
33,ACRU_15350_A_II.tif:35167-01023,1.670E-5,153.094,135.378,171.331,-92.881,0.143
34,ACRU_15350_A_II.tif:36244-01006,1.253E-5,153.472,134.784,179.184,-91.237,0.108
35,ACRU_15350_A_II.tif:37327-01024,1.678E-5,152.961,129.323,177.962,-90.924,0.144
36,ACRU_15350_A_II.tif:38681-01049,1.997E-5,153.894,131.333,179.507,-90.388,0.172
37,ACRU_15350_A_II.tif:40158-01064,2.006E-5,154.238,130.319,183.309,-91.701,0.172
38,ACRU_15350_A_II.tif:41381-01047,1.312E-5,152.945,121.699,176.870,-92.484,0.113
39,ACRU_15350_A_II.tif:42394-01077,1.437E-5,154.609,126.024,184.514,-91.618,0.124
40,ACRU_15350_A_II.tif:43519-01090,1.602E-5,151.080,130.667,178.180,-91.548,0.138
41,ACRU_15350_A_II.tif:44793-01165,1.813E-5,155.246,95.672,183.884,-90.770,0.156
42,ACRU_15350_A_II.tif:45836-01183,1.005E-5,148.393,132.975,179.604,-91.081,0.086
