 ,Label,Area,Mean,Min,Max,Angle,Length
1,ACRU_525-2069_A_I.tif:03351-01268,5.166E-6,166.900,125.667,197.519,-71.200,0.055
2,ACRU_525-2069_A_I.tif:04171-01320,8.558E-6,175.831,152.681,196.287,-75.457,0.092
3,ACRU_525-2069_A_I.tif:05062-01359,6.352E-6,169.497,153.242,191.956,-72.380,0.068
4,ACRU_525-2069_A_I.tif:06092-01427,1.076E-5,164.285,139.413,190.239,-73.884,0.116
5,ACRU_525-2069_A_I.tif:06977-01452,3.262E-6,167.582,152.333,192.770,-70.408,0.035
6,ACRU_525-2069_A_I.tif:07487-01521,5.391E-6,166.396,147.996,194.892,-70.866,0.058
7,ACRU_525-2069_A_I.tif:08033-01395,3.565E-6,167.514,146.530,191.194,-83.290,0.038
8,ACRU_525-2069_A_I.tif:08479-01496,4.422E-6,166.921,143.445,195.492,-79.484,0.047
9,ACRU_525-2069_A_I.tif:09025-01400,4.526E-6,159.048,139.741,200.425,-79.077,0.049
10,ACRU_525-2069_A_I.tif:09532-01434,4.396E-6,164.565,145.391,190.805,-74.894,0.047
11,ACRU_525-2069_A_I.tif:10144-01500,6.317E-6,159.020,142.440,194.596,-79.569,0.068
12,ACRU_525-2069_A_I.tif:10850-01586,6.092E-6,164.984,142.345,197.600,-78.930,0.065
13,ACRU_525-2069_A_I.tif:11623-01635,7.182E-6,162.746,139.289,195.949,-78.731,0.077
14,ACRU_525-2069_A_I.tif:12205-01616,2.985E-6,152.157,133.591,179.496,-75.358,0.032
15,ACRU_525-2069_A_I.tif:12551-01548,2.544E-6,156.363,136.372,187.367,-74.539,0.027
16,ACRU_525-2069_A_I.tif:13028-01566,5.651E-6,162.178,129.424,189.876,-77.242,0.061
17,ACRU_525-2069_A_I.tif:13642-01605,4.855E-6,162.221,139.757,194.042,-78.871,0.052
18,ACRU_525-2069_A_I.tif:14038-01578,1.886E-6,166.871,142.000,189.651,-78.845,0.020
19,ACRU_525-2069_A_I.tif:14266-01547,2.094E-6,161.200,140.598,187.575,-79.249,0.022
20,ACRU_525-2069_A_I.tif:14551-01571,2.873E-6,166.482,145.062,192.358,-81.135,0.031
21,ACRU_525-2069_A_I.tif:14903-01584,3.306E-6,163.434,139.466,191.223,-82.763,0.035
22,ACRU_525-2069_A_I.tif:15448-01517,6.023E-6,162.427,140.403,187.329,-81.310,0.065
23,ACRU_525-2069_A_I.tif:16132-01581,6.023E-6,158.674,130.918,186.627,-81.066,0.065
24,ACRU_525-2069_A_I.tif:16954-01602,8.108E-6,155.497,126.920,183.261,-82.260,0.087
25,ACRU_525-2069_A_I.tif:18269-01587,1.468E-5,152.346,117.463,188.730,-82.472,0.158
26,ACRU_525-2069_A_I.tif:19556-01670,7.511E-6,148.471,128.560,181.940,-77.407,0.081
27,ACRU_525-2069_A_I.tif:21088-01701,1.848E-5,153.701,125.623,181.418,-78.327,0.199
28,ACRU_525-2069_A_I.tif:22916-01718,1.187E-5,148.745,119.326,184.651,-77.485,0.127
29,ACRU_525-2069_A_I.tif:24682-01563,1.781E-5,151.602,120.030,191.718,-83.300,0.191
30,ACRU_525-2069_A_I.tif:26299-01655,1.048E-5,149.912,120.700,189.962,-87.868,0.113
31,ACRU_525-2069_A_I.tif:27833-01721,1.612E-5,146.502,114.839,183.142,-92.309,0.173
32,ACRU_525-2069_A_I.tif:29852-01622,1.918E-5,148.780,113.774,181.558,-96.143,0.206
33,ACRU_525-2069_A_I.tif:31945-01572,1.685E-5,146.024,115.275,175.450,-94.067,0.181
34,ACRU_525-2069_A_I.tif:33815-01592,1.473E-5,149.130,120.284,183.664,-95.771,0.158
35,ACRU_525-2069_A_I.tif:35321-01580,1.104E-5,148.669,125.259,178.480,-93.913,0.119
36,ACRU_525-2069_A_I.tif:36931-01650,1.678E-5,146.154,125.832,180.016,-86.628,0.180
37,ACRU_525-2069_A_I.tif:38795-01614,1.544E-5,142.682,121.851,172.363,-83.042,0.166
38,ACRU_525-2069_A_I.tif:40430-01575,1.294E-5,148.799,117.634,184.661,-84.931,0.139
39,ACRU_525-2069_A_I.tif:41944-01590,1.354E-5,149.054,122.912,183.067,-82.507,0.146
40,ACRU_525-2069_A_I.tif:43364-01518,1.088E-5,143.889,113.471,180.562,-77.026,0.117
41,ACRU_525-2069_A_I.tif:44410-01565,7.329E-6,142.879,112.825,185.545,-75.422,0.079
42,ACRU_525-2069_A_I.tif:45290-01583,7.909E-6,148.884,127.200,166.388,-74.959,0.085
43,ACRU_525-2069_A_I.tif:46444-01613,1.163E-5,140.377,112.411,180.604,-77.485,0.125
44,ACRU_525-2069_A_I.tif:47752-01659,1.082E-5,141.950,102.684,188.084,-76.665,0.116
45,ACRU_525-2069_A_I.tif:48899-01677,8.489E-6,147.341,119.486,174.917,-68.459,0.091
46,ACRU_525-2069_A_I.tif:50170-01685,1.263E-5,135.324,109.712,185.675,-68.658,0.136
