 ,Label,Area,Mean,Min,Max,Angle,Length
1,ACSA_20645_A_I.tif:05413-01442,1.150E-5,170.509,142.571,191.925,-83.603,0.124
2,ACSA_20645_A_I.tif:06437-01484,6.542E-6,168.175,136.807,191.967,-85.135,0.070
3,ACSA_20645_A_I.tif:07153-01482,5.902E-6,163.736,148.949,194.391,-86.298,0.063
4,ACSA_20645_A_I.tif:07853-01562,6.378E-6,169.176,143.024,203.159,-89.066,0.068
5,ACSA_20645_A_I.tif:08405-01514,3.470E-6,164.280,146.040,183.367,-90.573,0.037
6,ACSA_20645_A_I.tif:08743-01562,2.605E-6,156.263,123.133,192.733,-90.764,0.028
7,ACSA_20645_A_I.tif:09109-01438,3.678E-6,163.535,143.252,191.447,-90.541,0.039
8,ACSA_20645_A_I.tif:09541-01522,3.816E-6,165.690,141.279,191.776,-88.438,0.041
9,ACSA_20645_A_I.tif:09945-01470,3.401E-6,165.953,142.667,190.997,-89.415,0.036
10,ACSA_20645_A_I.tif:10711-01522,9.804E-6,164.242,122.093,195.104,-88.988,0.105
11,ACSA_20645_A_I.tif:11829-01522,9.579E-6,158.127,139.435,195.035,-86.889,0.103
12,ACSA_20645_A_I.tif:12871-01624,8.645E-6,157.739,136.939,185.437,-86.782,0.093
13,ACSA_20645_A_I.tif:13853-01586,8.186E-6,159.906,133.638,192.216,-87.816,0.088
14,ACSA_20645_A_I.tif:14697-01668,6.654E-6,155.706,131.146,187.562,-88.210,0.071
15,ACSA_20645_A_I.tif:15497-01614,7.001E-6,163.722,133.937,179.931,-88.582,0.075
16,ACSA_20645_A_I.tif:16569-01708,1.144E-5,153.300,134.762,187.118,-87.571,0.123
17,ACSA_20645_A_I.tif:17631-01687,7.035E-6,157.176,134.755,184.227,-88.307,0.076
18,ACSA_20645_A_I.tif:18503-01739,8.074E-6,172.144,155.857,188.471,-88.525,0.087
19,ACSA_20645_A_I.tif:19465-01702,8.593E-6,168.704,134.804,183.183,-88.845,0.092
20,ACSA_20645_A_I.tif:20607-01766,1.119E-5,156.559,133.857,188.704,-88.758,0.120
21,ACSA_20645_A_I.tif:21695-01746,7.676E-6,154.875,132.054,188.625,-86.634,0.082
22,ACSA_20645_A_I.tif:22439-01828,5.452E-6,158.748,139.396,183.334,-86.356,0.059
23,ACSA_20645_A_I.tif:23267-01812,8.636E-6,163.465,141.837,194.376,-87.241,0.093
24,ACSA_20645_A_I.tif:24787-01790,1.751E-5,157.853,131.937,198.901,-87.619,0.188
25,ACSA_20645_A_I.tif:26631-01808,1.441E-5,156.100,134.048,195.695,-86.140,0.155
26,ACSA_20645_A_I.tif:27911-01832,7.598E-6,156.993,126.729,191.885,-87.386,0.082
27,ACSA_20645_A_I.tif:28707-01912,6.274E-6,153.034,132.184,184.936,-88.101,0.067
28,ACSA_20645_A_I.tif:29495-01890,7.329E-6,158.147,128.524,188.376,-85.934,0.079
29,ACSA_20645_A_I.tif:30467-01992,9.536E-6,151.552,130.509,180.965,-87.501,0.102
30,ACSA_20645_A_I.tif:31413-01942,6.871E-6,152.499,132.753,183.283,-86.820,0.074
31,ACSA_20645_A_I.tif:32213-02028,7.009E-6,156.978,135.090,189.369,-87.732,0.075
32,ACSA_20645_A_I.tif:33197-02008,9.934E-6,156.268,133.566,180.821,-85.601,0.107
33,ACSA_20645_A_I.tif:34287-02146,9.147E-6,166.695,136.641,186.368,-85.002,0.098
34,ACSA_20645_A_I.tif:35235-02090,6.802E-6,157.274,127.306,196.792,-83.853,0.073
35,ACSA_20645_A_I.tif:36219-02076,1.006E-5,159.463,130.018,193.261,-84.074,0.108
36,ACSA_20645_A_I.tif:37603-02116,1.368E-5,161.929,140.603,188.186,-84.188,0.147
37,ACSA_20645_A_I.tif:38669-02146,4.413E-6,158.953,139.649,187.805,-82.316,0.047
38,ACSA_20645_A_I.tif:39283-02126,5.902E-6,162.247,141.176,182.499,-82.917,0.063
39,ACSA_20645_A_I.tif:40179-02114,9.449E-6,157.856,133.626,184.442,-83.474,0.101
40,ACSA_20645_A_I.tif:41387-02172,1.141E-5,157.122,129.874,192.045,-83.372,0.122
41,ACSA_20645_A_I.tif:42587-02189,9.025E-6,155.289,131.849,188.977,-84.049,0.097
42,ACSA_20645_A_I.tif:43699-02171,9.692E-6,154.366,131.436,194.703,-85.491,0.104
43,ACSA_20645_A_I.tif:45411-02160,1.958E-5,159.522,128.662,203.866,-87.365,0.210
44,ACSA_20645_A_I.tif:47091-02180,9.692E-6,154.855,118.251,190.970,-85.491,0.104
45,ACSA_20645_A_I.tif:47735-02191,1.462E-6,135.954,121.905,152.389,-88.636,0.016
46,ACSA_20645_A_I.tif:48600-02273,1.355E-5,159.042,138.535,186.848,-87.510,0.146
47,ACSA_20645_A_I.tif:50412-02266,1.779E-5,159.062,137.000,204.738,-86.987,0.191
48,ACSA_20645_A_I.tif:51578-02280,2.302E-6,155.928,134.802,192.909,-84.806,0.025
49,ACSA_20645_A_I.tif:52424-02268,1.198E-5,160.824,140.368,187.438,-85.690,0.129
50,ACSA_20645_A_I.tif:53994-02334,1.516E-5,159.714,140.715,185.126,-84.889,0.163
51,ACSA_20645_A_I.tif:56020-02368,1.960E-5,156.005,136.582,188.569,-84.118,0.211
