 ,Label,Area,Mean,Min,Max,Angle,Length
1,ACSA_689-2010_A_II.tif:03611-00823,1.244E-5,163.724,128.667,192.523,-82.875,0.107
2,ACSA_689-2010_A_II.tif:04430-00894,9.803E-6,172.305,151.245,196.801,-80.460,0.084
3,ACSA_689-2010_A_II.tif:05163-00936,9.924E-6,166.367,147.736,197.765,-83.418,0.085
4,ACSA_689-2010_A_II.tif:05931-00979,1.055E-5,168.162,143.318,197.279,-82.182,0.091
5,ACSA_689-2010_A_II.tif:06904-01059,1.595E-5,170.900,149.983,189.203,-88.152,0.137
6,ACSA_689-2010_A_II.tif:08231-01046,1.986E-5,157.580,137.158,191.539,-89.844,0.171
7,ACSA_689-2010_A_II.tif:09554-01084,1.589E-5,164.187,138.314,192.219,-88.439,0.137
8,ACSA_689-2010_A_II.tif:10295-01060,4.232E-6,166.233,144.487,194.154,-91.469,0.036
9,ACSA_689-2010_A_II.tif:10650-01070,5.287E-6,155.773,138.974,181.333,-91.762,0.045
10,ACSA_689-2010_A_II.tif:11402-01059,1.499E-5,164.232,140.045,191.350,-93.828,0.129
11,ACSA_689-2010_A_II.tif:12467-01012,1.372E-5,158.015,136.883,190.373,-93.619,0.118
12,ACSA_689-2010_A_II.tif:13512-01021,1.443E-5,160.157,135.103,194.311,-89.033,0.124
13,ACSA_689-2010_A_II.tif:14628-01067,1.574E-5,166.619,134.238,188.837,-88.127,0.135
14,ACSA_689-2010_A_II.tif:15623-01142,1.128E-5,157.760,131.169,187.320,-85.042,0.097
15,ACSA_689-2010_A_II.tif:16872-01202,2.255E-5,161.784,137.043,192.307,-81.306,0.194
16,ACSA_689-2010_A_II.tif:18389-01255,1.816E-5,159.140,138.037,190.911,-81.858,0.156
17,ACSA_689-2010_A_II.tif:19787-01315,1.920E-5,160.019,133.705,184.825,-84.418,0.165
18,ACSA_689-2010_A_II.tif:20818-01342,8.261E-6,161.995,144.056,181.239,-80.569,0.071
19,ACSA_689-2010_A_II.tif:21443-01357,8.342E-6,157.215,136.432,188.715,-80.477,0.072
20,ACSA_689-2010_A_II.tif:22045-01378,7.409E-6,165.566,142.990,198.220,-80.744,0.064
21,ACSA_689-2010_A_II.tif:23121-01441,2.143E-5,154.314,126.936,190.505,-84.419,0.184
22,ACSA_689-2010_A_II.tif:24338-01478,1.168E-5,168.027,143.598,192.900,-87.343,0.100
23,ACSA_689-2010_A_II.tif:25313-01473,1.489E-5,149.929,122.864,180.081,-90.729,0.128
24,ACSA_689-2010_A_II.tif:26043-01435,4.719E-6,140.393,120.625,167.858,-88.354,0.040
25,ACSA_689-2010_A_II.tif:26930-01485,1.946E-5,149.675,122.979,181.527,-82.727,0.167
26,ACSA_689-2010_A_II.tif:28540-01584,2.389E-5,144.431,117.306,172.001,-79.034,0.205
27,ACSA_689-2010_A_II.tif:29778-01567,8.045E-6,149.725,124.192,185.312,-74.982,0.069
28,ACSA_689-2010_A_II.tif:30470-01602,1.024E-5,149.257,127.471,186.675,-76.221,0.088
29,ACSA_689-2010_A_II.tif:31349-01606,1.301E-5,147.657,117.012,178.903,-74.055,0.112
30,ACSA_689-2010_A_II.tif:32625-01619,1.852E-5,148.481,126.898,181.145,-77.426,0.159
31,ACSA_689-2010_A_II.tif:33874-01699,1.426E-5,149.077,126.382,181.216,-77.837,0.123
32,ACSA_689-2010_A_II.tif:34831-01613,1.087E-5,151.679,129.959,181.207,-85.284,0.093
33,ACSA_689-2010_A_II.tif:35503-01686,7.436E-6,152.766,126.767,184.067,-85.825,0.064
34,ACSA_689-2010_A_II.tif:35975-01665,5.097E-6,162.019,142.333,173.050,-88.477,0.044
35,ACSA_689-2010_A_II.tif:36478-01732,8.532E-6,147.097,120.978,177.469,-88.545,0.073
36,ACSA_689-2010_A_II.tif:37110-01768,8.478E-6,154.954,126.072,175.589,-88.902,0.073
37,ACSA_689-2010_A_II.tif:37911-01772,1.317E-5,150.429,123.384,175.121,-92.121,0.113
38,ACSA_689-2010_A_II.tif:38679-01715,7.639E-6,152.716,130.000,184.279,-92.234,0.066
39,ACSA_689-2010_A_II.tif:39249-01701,7.883E-6,152.390,131.185,183.710,-94.142,0.068
40,ACSA_689-2010_A_II.tif:39987-01689,1.167E-5,147.523,118.569,179.620,-93.858,0.100
41,ACSA_689-2010_A_II.tif:40700-01682,7.491E-6,150.924,126.731,180.770,-96.226,0.064
42,ACSA_689-2010_A_II.tif:41125-01647,3.745E-6,152.357,133.928,174.167,-99.599,0.032
43,ACSA_689-2010_A_II.tif:41500-01704,5.584E-6,153.784,124.684,184.469,-99.508,0.048
44,ACSA_689-2010_A_II.tif:41900-01692,5.206E-6,147.904,125.408,170.123,-100.198,0.045
45,ACSA_689-2010_A_II.tif:42315-01682,6.071E-6,150.553,124.818,191.335,-97.696,0.052
46,ACSA_689-2010_A_II.tif:42725-01651,5.124E-6,151.193,126.622,184.051,-100.061,0.044
47,ACSA_689-2010_A_II.tif:43085-01630,4.665E-6,160.210,134.067,174.717,-98.696,0.040
48,ACSA_689-2010_A_II.tif:43422-01604,4.489E-6,156.571,133.341,171.228,-99.747,0.038
49,ACSA_689-2010_A_II.tif:43758-01596,4.367E-6,143.632,130.871,154.148,-98.584,0.037
50,ACSA_689-2010_A_II.tif:44196-01546,7.436E-6,151.982,125.426,186.599,-101.351,0.064
51,ACSA_689-2010_A_II.tif:44780-01484,8.383E-6,148.106,118.157,182.636,-101.564,0.072
52,ACSA_689-2010_A_II.tif:45402-01519,7.734E-6,147.046,120.702,184.570,-100.287,0.066
53,ACSA_689-2010_A_II.tif:45826-01571,3.921E-6,154.252,126.146,187.742,-98.354,0.034
