 ,Label,Area,Mean,Min,Max,Angle,Length
1,BEAL_12843_A_I.tif:06448-00487,6.260E-6,154.070,134.709,186.080,-85.278,0.054
2,BEAL_12843_A_I.tif:07070-00526,1.067E-5,154.024,130.948,190.073,-83.884,0.092
3,BEAL_12843_A_I.tif:07789-00583,8.667E-6,150.446,129.590,182.894,-81.921,0.074
4,BEAL_12843_A_I.tif:08456-00587,9.072E-6,153.173,132.967,189.052,-86.061,0.078
5,BEAL_12843_A_I.tif:09006-00587,5.652E-6,140.652,115.876,165.157,-86.424,0.048
6,BEAL_12843_A_I.tif:09566-00601,9.492E-6,151.163,124.140,194.717,-86.566,0.082
7,BEAL_12843_A_I.tif:10083-00612,4.543E-6,150.585,124.351,180.390,-85.890,0.039
8,BEAL_12843_A_I.tif:10484-00617,6.152E-6,146.529,122.963,192.892,-85.194,0.053
9,BEAL_12843_A_I.tif:10812-00604,2.610E-6,158.920,135.917,189.500,-87.614,0.022
10,BEAL_12843_A_I.tif:11140-00651,6.409E-6,147.172,123.963,187.167,-86.847,0.055
11,BEAL_12843_A_I.tif:11646-00646,6.950E-6,153.036,132.223,189.966,-85.978,0.060
12,BEAL_12843_A_I.tif:12229-00666,8.613E-6,159.345,136.049,193.556,-85.311,0.074
13,BEAL_12843_A_I.tif:12849-00683,7.937E-6,154.887,127.494,186.609,-83.530,0.068
14,BEAL_12843_A_I.tif:13317-00691,4.611E-6,152.400,130.627,185.935,-83.585,0.040
15,BEAL_12843_A_I.tif:13705-00709,5.773E-6,153.315,125.853,193.753,-82.174,0.050
16,BEAL_12843_A_I.tif:14457-00765,1.455E-5,152.604,129.356,188.586,-82.624,0.125
17,BEAL_12843_A_I.tif:15283-00746,7.463E-6,146.433,118.199,191.173,-82.076,0.064
18,BEAL_12843_A_I.tif:15780-00747,5.841E-6,150.987,126.457,183.982,-83.337,0.050
19,BEAL_12843_A_I.tif:16375-00735,1.011E-5,144.869,118.004,186.268,-83.084,0.087
20,BEAL_12843_A_I.tif:17003-00771,6.855E-6,149.891,125.576,184.554,-82.510,0.059
21,BEAL_12843_A_I.tif:17529-00788,7.288E-6,139.279,121.105,175.854,-82.743,0.063
22,BEAL_12843_A_I.tif:18206-00821,1.111E-5,141.446,119.023,179.800,-83.984,0.095
23,BEAL_12843_A_I.tif:18914-00805,7.761E-6,140.613,112.477,188.929,-86.199,0.067
24,BEAL_12843_A_I.tif:19590-00798,1.038E-5,142.784,114.391,185.605,-84.914,0.089
25,BEAL_12843_A_I.tif:20405-00837,1.172E-5,143.162,112.266,187.961,-84.830,0.101
26,BEAL_12843_A_I.tif:21036-00869,5.233E-6,140.947,116.084,169.878,-84.349,0.045
27,BEAL_12843_A_I.tif:21673-00862,1.184E-5,142.845,120.244,188.860,-87.118,0.102
28,BEAL_12843_A_I.tif:22288-00874,4.732E-6,137.006,122.922,180.430,-84.746,0.041
29,BEAL_12843_A_I.tif:22592-00861,3.272E-6,145.411,119.120,184.983,-84.763,0.028
30,BEAL_12843_A_I.tif:22760-00855,1.312E-6,151.589,116.792,185.333,-86.424,0.011
31,BEAL_12843_A_I.tif:22937-00892,3.367E-6,128.850,107.495,173.673,-83.506,0.029
32,BEAL_12843_A_I.tif:23236-00895,4.800E-6,131.782,111.608,176.132,-83.196,0.041
33,BEAL_12843_A_I.tif:23760-00907,9.289E-6,141.946,113.517,191.496,-85.486,0.080
34,BEAL_12843_A_I.tif:24312-00900,5.395E-6,142.638,116.898,181.542,-84.232,0.046
35,BEAL_12843_A_I.tif:24834-00913,8.599E-6,139.867,121.838,167.214,-84.397,0.074
36,BEAL_12843_A_I.tif:25605-00922,1.198E-5,141.478,121.560,173.618,-85.591,0.103
37,BEAL_12843_A_I.tif:26258-00924,5.611E-6,140.979,125.323,174.143,-85.006,0.048
38,BEAL_12843_A_I.tif:26719-00924,6.801E-6,142.664,128.491,164.496,-84.516,0.058
