 ,Label,Area,Mean,Min,Max,Angle,Length
1,BEAL_12843_D_II.tif:04523-00431,4.191E-6,146.997,113.005,185.865,-81.634,0.036
2,BEAL_12843_D_II.tif:04910-00444,6.233E-6,147.853,130.333,166.818,-82.504,0.053
3,BEAL_12843_D_II.tif:05313-00454,4.827E-6,146.140,131.135,164.984,-79.479,0.041
4,BEAL_12843_D_II.tif:05589-00474,2.474E-6,150.053,125.356,182.279,-79.864,0.021
5,BEAL_12843_D_II.tif:05842-00487,4.300E-6,142.556,127.651,169.579,-80.924,0.037
6,BEAL_12843_D_II.tif:06313-00519,8.532E-6,147.322,130.978,178.914,-81.793,0.073
7,BEAL_12843_D_II.tif:06777-00540,4.137E-6,149.921,129.129,177.516,-80.383,0.035
8,BEAL_12843_D_II.tif:07193-00552,6.760E-6,148.585,123.886,190.799,-80.198,0.058
9,BEAL_12843_D_II.tif:07604-00569,4.246E-6,159.033,132.617,187.397,-79.515,0.036
10,BEAL_12843_D_II.tif:08018-00593,6.990E-6,144.370,124.310,180.880,-80.410,0.060
11,BEAL_12843_D_II.tif:08422-00591,3.894E-6,142.972,130.505,162.855,-77.710,0.033
12,BEAL_12843_D_II.tif:08710-00577,3.786E-6,150.517,128.768,183.840,-78.207,0.032
13,BEAL_12843_D_II.tif:09033-00562,4.746E-6,149.629,129.667,185.955,-79.300,0.041
14,BEAL_12843_D_II.tif:09309-00573,2.920E-6,154.317,132.685,187.595,-79.266,0.025
15,BEAL_12843_D_II.tif:09595-00580,4.949E-6,150.187,126.480,193.675,-84.024,0.042
16,BEAL_12843_D_II.tif:10037-00589,7.031E-6,148.794,125.069,186.240,-85.356,0.060
17,BEAL_12843_D_II.tif:10392-00574,2.731E-6,128.753,115.585,145.667,-85.711,0.023
18,BEAL_12843_D_II.tif:10723-00574,6.233E-6,137.393,112.116,184.725,-87.635,0.054
19,BEAL_12843_D_II.tif:11042-00617,2.393E-6,157.377,127.674,185.356,-86.748,0.020
20,BEAL_12843_D_II.tif:11420-00593,7.842E-6,148.264,119.200,186.207,-88.912,0.067
21,BEAL_12843_D_II.tif:11932-00620,6.071E-6,139.004,112.000,186.333,-90.000,0.052
22,BEAL_12843_D_II.tif:12522-00605,9.870E-6,145.224,113.901,188.852,-88.114,0.085
23,BEAL_12843_D_II.tif:13058-00579,4.584E-6,145.370,116.397,186.672,-90.509,0.039
24,BEAL_12843_D_II.tif:13475-00597,6.774E-6,138.813,112.309,190.727,-89.312,0.058
25,BEAL_12843_D_II.tif:13997-00571,7.436E-6,138.328,116.177,189.000,-90.522,0.064
26,BEAL_12843_D_II.tif:14418-00597,3.989E-6,145.005,116.000,188.728,-88.247,0.034
27,BEAL_12843_D_II.tif:14868-00584,8.234E-6,142.030,114.202,183.860,-88.493,0.071
28,BEAL_12843_D_II.tif:15275-00616,2.826E-6,135.619,110.000,171.667,-90.000,0.024
29,BEAL_12843_D_II.tif:15512-00591,3.705E-6,145.312,107.988,185.901,-91.049,0.032
30,BEAL_12843_D_II.tif:15744-00572,2.623E-6,147.095,114.888,184.793,-90.891,0.022
31,BEAL_12843_D_II.tif:15995-00589,4.273E-6,138.978,114.317,182.524,-91.091,0.037
32,BEAL_12843_D_II.tif:16351-00559,5.489E-6,140.877,118.070,187.216,-90.566,0.047
33,BEAL_12843_D_II.tif:16810-00582,6.814E-6,130.067,108.319,180.322,-91.708,0.059
34,BEAL_12843_D_II.tif:17255-00592,5.260E-6,139.274,109.755,186.378,-91.624,0.045
35,BEAL_12843_D_II.tif:17812-00607,9.749E-6,140.286,112.397,199.536,-92.310,0.084
36,BEAL_12843_D_II.tif:18509-00611,9.194E-6,133.371,105.766,174.636,-91.771,0.079
37,BEAL_12843_D_II.tif:19017-00620,4.462E-6,144.716,117.921,179.726,-94.706,0.038
