 ,Label,Area,Mean,Min,Max,Angle,Length
1,BEAL_12843_E_I.tif:04521-00979,3.786E-6,133.710,98.597,169.546,-95.343,0.032
2,BEAL_12843_E_I.tif:04933-00964,7.315E-6,154.717,128.327,193.909,-94.675,0.063
3,BEAL_12843_E_I.tif:05389-00921,5.178E-6,141.523,116.501,185.070,-92.698,0.044
4,BEAL_12843_E_I.tif:05741-00927,4.205E-6,145.786,119.456,183.849,-91.109,0.036
5,BEAL_12843_E_I.tif:06031-00887,4.002E-6,156.676,126.750,189.244,-93.504,0.034
6,BEAL_12843_E_I.tif:06450-00881,7.423E-6,142.216,119.186,173.808,-92.299,0.064
7,BEAL_12843_E_I.tif:06861-00903,3.772E-6,146.223,123.388,175.468,-90.412,0.032
8,BEAL_12843_E_I.tif:07155-00872,4.313E-6,143.488,118.294,179.956,-91.441,0.037
9,BEAL_12843_E_I.tif:07402-00885,2.285E-6,144.675,124.083,176.548,-92.045,0.020
10,BEAL_12843_E_I.tif:07768-00891,7.815E-6,143.222,117.481,178.228,-92.585,0.067
11,BEAL_12843_E_I.tif:08360-00890,8.342E-6,148.046,123.939,183.554,-91.860,0.072
12,BEAL_12843_E_I.tif:08890-00840,6.193E-6,135.862,120.468,171.950,-93.514,0.053
13,BEAL_12843_E_I.tif:09232-00834,3.326E-6,151.407,115.088,179.685,-94.686,0.028
14,BEAL_12843_E_I.tif:09541-00787,5.246E-6,140.645,124.090,175.967,-93.853,0.045
15,BEAL_12843_E_I.tif:09835-00792,2.691E-6,133.762,122.141,144.182,-93.468,0.023
16,BEAL_12843_E_I.tif:09987-00765,1.555E-6,142.415,115.877,174.561,-93.013,0.013
17,BEAL_12843_E_I.tif:10206-00767,4.394E-6,141.954,118.263,185.704,-92.474,0.038
18,BEAL_12843_E_I.tif:10572-00771,5.598E-6,132.922,118.444,171.262,-93.611,0.048
19,BEAL_12843_E_I.tif:11034-00762,7.071E-6,141.999,116.059,179.579,-94.399,0.061
20,BEAL_12843_E_I.tif:11473-00763,4.705E-6,143.968,124.937,182.195,-94.955,0.040
21,BEAL_12843_E_I.tif:11843-00753,5.516E-6,138.685,119.227,176.019,-94.787,0.047
22,BEAL_12843_E_I.tif:12274-00739,6.044E-6,136.581,114.691,186.626,-94.892,0.052
23,BEAL_12843_E_I.tif:12639-00770,3.637E-6,130.483,107.990,166.641,-96.860,0.031
24,BEAL_12843_E_I.tif:12939-00775,4.394E-6,123.343,109.589,162.115,-96.028,0.038
25,BEAL_12843_E_I.tif:13189-00774,2.434E-6,152.909,116.907,184.686,-96.411,0.021
26,BEAL_12843_E_I.tif:13496-00785,5.692E-6,140.762,115.249,187.853,-97.937,0.049
27,BEAL_12843_E_I.tif:13765-00783,1.514E-6,148.506,119.333,178.407,-97.253,0.013
28,BEAL_12843_E_I.tif:13850-00793,8.383E-7,151.546,117.333,183.500,-99.462,0.007
29,BEAL_12843_E_I.tif:13950-00799,1.825E-6,143.500,119.722,179.469,-99.462,0.016
30,BEAL_12843_E_I.tif:14140-00810,3.569E-6,132.035,111.408,177.021,-98.746,0.031
31,BEAL_12843_E_I.tif:14380-00830,3.083E-6,140.676,112.182,190.768,-99.130,0.026
32,BEAL_12843_E_I.tif:14622-00820,3.556E-6,139.375,113.457,171.093,-97.883,0.031
33,BEAL_12843_E_I.tif:14884-00815,3.569E-6,129.521,107.306,184.937,-98.315,0.031
34,BEAL_12843_E_I.tif:15220-00828,5.165E-6,134.329,109.326,176.711,-99.067,0.044
35,BEAL_12843_E_I.tif:15591-00795,4.840E-6,119.342,104.140,155.643,-97.404,0.042
36,BEAL_12843_E_I.tif:15840-00790,1.879E-6,127.110,110.357,144.913,-100.008,0.016
37,BEAL_12843_E_I.tif:16094-00800,4.881E-6,151.978,107.667,190.150,-98.940,0.042
38,BEAL_12843_E_I.tif:16523-00764,6.693E-6,131.790,101.835,194.592,-97.441,0.057
39,BEAL_12843_E_I.tif:16937-00736,4.300E-6,119.161,102.681,136.384,-97.977,0.037
40,BEAL_12843_E_I.tif:17253-00793,3.691E-6,135.274,107.569,188.054,-97.177,0.032
41,BEAL_12843_E_I.tif:17609-00833,5.489E-6,143.042,111.190,191.960,-96.528,0.047
42,BEAL_12843_E_I.tif:18182-00833,9.694E-6,131.539,103.767,180.992,-98.831,0.083
43,BEAL_12843_E_I.tif:18686-00841,3.732E-6,136.858,97.446,181.758,-98.778,0.032
44,BEAL_12843_E_I.tif:19013-00858,5.178E-6,137.013,101.266,181.761,-97.833,0.044
45,BEAL_12843_E_I.tif:19396-00837,5.206E-6,131.724,101.316,188.391,-98.678,0.045
46,BEAL_12843_E_I.tif:19706-00831,3.177E-6,129.447,102.708,181.044,-98.337,0.027
47,BEAL_12843_E_I.tif:20028-00856,5.408E-6,129.607,104.436,180.243,-100.408,0.046
48,BEAL_12843_E_I.tif:20410-00825,5.057E-6,125.776,102.342,169.736,-99.563,0.043
49,BEAL_12843_E_I.tif:20874-00845,7.220E-6,117.414,100.436,160.006,-100.593,0.062
50,BEAL_12843_E_I.tif:21438-00855,7.518E-6,129.346,96.396,182.409,-99.327,0.065
51,BEAL_12843_E_I.tif:22207-00860,1.272E-5,125.569,102.263,177.883,-98.561,0.109
